Year,Week,date,age_group,ILI,ILI_per_100k,flu_samples,prop_flu,smooth_total_samples,smooth_flu_samples,smooth_prop,ILI_flu
2022,2,2022-01-16,0-4,6.144486000000001,0.20000000000000004,0,0,11,0,0,0
2022,3,2022-01-23,0-4,18.433457999999998,0.6,0,0,12,0,0,0
2022,4,2022-01-30,0-4,24.577944000000002,0.8000000000000002,0,0,12.333333333333334,0.3333333333333333,0.027027027027027025,0.6642687567567568
2022,5,2022-02-06,0-4,30.72243,1,1,0.08333333333333333,11,0.3333333333333333,0.0303030303030303,0.9309827272727271
2022,6,2022-02-13,0-4,33.794673,1.1,0,0,8.666666666666666,0.3333333333333333,0.038461538461538464,1.2997951153846157
2022,7,2022-02-20,0-4,12.288972000000001,0.4000000000000001,0,0,9.333333333333334,0,0,0
2022,8,2022-02-27,0-4,18.433457999999998,0.6,0,0,13.666666666666666,0,0,0
2022,9,2022-03-06,0-4,21.505701,0.6999999999999998,0,0,15,0.3333333333333333,0.02222222222222222,0.4779044666666666
2022,10,2022-03-13,0-4,21.505701,0.6999999999999998,1,0.09090909090909091,17.333333333333332,0.3333333333333333,0.019230769230769232,0.4135711730769231
2022,11,2022-03-20,0-4,18.433457999999998,0.6,0,0,15.666666666666666,0.6666666666666666,0.0425531914893617,0.7844024680851063
2022,12,2022-03-27,0-4,39.939159000000004,1.3,1,0.06666666666666667,15.333333333333334,0.6666666666666666,0.043478260869565216,1.7364851739130436
2022,13,2022-04-03,0-4,30.72243,1,1,0.1,14.333333333333334,1.6666666666666667,0.11627906976744186,3.572375581395349
2022,14,2022-04-10,0-4,36.866915999999996,1.2,3,0.16666666666666666,12,1.3333333333333333,0.1111111111111111,4.096323999999999
2022,15,2022-04-17,0-4,12.288972000000001,0.4000000000000001,0,0,12,1.3333333333333333,0.1111111111111111,1.3654413333333333
2022,16,2022-04-24,0-4,24.577944000000002,0.8000000000000002,1,0.1,8.333333333333334,0.3333333333333333,0.039999999999999994,0.98311776
2022,17,2022-05-01,0-4,9.216728999999999,0.3,0,0,9.333333333333334,0.6666666666666666,0.07142857142857142,0.6583377857142856
2022,18,2022-05-08,0-4,24.577944000000002,0.8000000000000002,1,0.09090909090909091,11,0.6666666666666666,0.0606060606060606,1.4895723636363636
2022,19,2022-05-15,0-4,36.866915999999996,1.2,1,0.06666666666666667,12.666666666666666,1,0.07894736842105264,2.910546
2022,20,2022-05-22,0-4,52.228131,1.7,1,0.08333333333333333,12,0.6666666666666666,0.05555555555555555,2.901562833333333
2022,21,2022-05-29,0-4,33.794673,1.1,0,0,9,0.3333333333333333,0.037037037037037035,1.2516545555555556
2022,22,2022-06-05,0-4,9.216728999999999,0.3,0,0,10.333333333333334,0,0,0
2022,23,2022-06-12,0-4,21.505701,0.6999999999999998,0,0,14.666666666666666,0,0,0
2022,24,2022-06-19,0-4,39.939159000000004,1.3,0,0,17.666666666666668,0,0,0
2022,25,2022-06-26,0-4,15.361215,0.5,0,0,18,0,0,0
2022,26,2022-07-03,0-4,39.939159000000004,1.3,0,0,16,0,0,0
2022,27,2022-07-10,0-4,21.505701,0.6999999999999998,0,0,15,0,0,0
2022,28,2022-07-17,0-4,21.505701,0.6999999999999998,0,0,15,0,0,0
2022,29,2022-07-24,0-4,15.361215,0.5,0,0,16.666666666666668,0,0,0
2022,30,2022-07-31,0-4,12.288972000000001,0.4000000000000001,0,0,16.333333333333332,0,0,0
2022,31,2022-08-07,0-4,9.216728999999999,0.3,0,0,13.666666666666666,0,0,0
2022,32,2022-08-14,0-4,9.216728999999999,0.3,0,0,8.666666666666666,0,0,0
2022,33,2022-08-21,0-4,6.144486000000001,0.20000000000000004,0,0,7.333333333333333,0,0,0
2022,34,2022-08-28,0-4,6.144486000000001,0.20000000000000004,0,0,6.666666666666667,0,0,0
2022,35,2022-09-04,0-4,6.144486000000001,0.20000000000000004,0,0,7.333333333333333,0,0,0
2022,36,2022-09-11,0-4,6.144486000000001,0.20000000000000004,0,0,8.333333333333334,0,0,0
2022,37,2022-09-18,0-4,30.72243,1,0,0,6,0,0,0
2022,39,2022-10-02,0-4,27.650187000000003,0.9,0,0,18.666666666666668,0.6666666666666666,0.03571428571428571,0.9875066785714286
2022,40,2022-10-09,0-4,58.372617,1.9000000000000001,2,0.06060606060606061,27.666666666666668,1,0.03614457831325301,2.109853626506024
