date,H3_sum,flu_pos_sum,Year,Week
2012-01-08,65,65,2012,1
2012-01-15,25,25,2012,2
2012-01-22,62,62,2012,3
2012-01-29,66,66,2012,4
2012-02-05,83,85,2012,5
2012-02-12,89,89,2012,6
2012-02-19,140,140,2012,7
2012-02-26,251,251,2012,8
2012-03-04,218,218,2012,9
2012-03-11,168,170,2012,10
2012-03-18,158,158,2012,11
2012-03-25,148,148,2012,12
2012-04-01,237,243,2012,13
2012-04-08,55,55,2012,14
2012-04-15,54,54,2012,15
2012-04-22,44,44,2012,16
2012-04-29,45,48,2012,17
2012-05-06,15,15,2012,18
2012-05-13,18,18,2012,19
2012-05-20,8,8,2012,20
2012-05-27,5,5,2012,21
2012-06-03,3,6,2012,22
2012-06-10,11,11,2012,23
2012-06-17,0,9,2012,24
2012-06-24,2,2,2012,25
2012-07-01,0,1,2012,26
2012-07-08,0,4,2012,27
2012-07-15,0,3,2012,28
2012-07-22,0,1,2012,29
2012-07-29,0,2,2012,30
2012-08-05,0,2,2012,31
2012-08-12,0,4,2012,32
2012-08-19,0,1,2012,33
2012-08-26,4,4,2012,34
2012-09-02,0,0,2012,35
2012-09-09,0,2,2012,36
2012-09-16,0,1,2012,37
2012-09-23,0,3,2012,38
2012-09-30,0,5,2012,39
2012-10-07,0,1,2012,40
2012-10-14,0,4,2012,41
2012-10-21,0,1,2012,42
2012-10-28,4,7,2012,43
2012-11-04,10,10,2012,44
2012-11-11,13,13,2012,45
2012-11-18,11,16,2012,46
2012-11-25,9,12,2012,47
2012-12-02,3,7,2012,48
2012-12-09,20,20,2012,49
2012-12-16,11,18,2012,50
2012-12-23,44,55,2012,51
2012-12-30,31,41,2012,52
2013-01-06,41,61,2012,1
2013-01-13,69,105,2013,2
2013-01-20,48,67,2013,3
2013-01-27,52,75,2013,4
2013-02-03,101,128,2013,5
2013-02-10,175,207,2013,6
2013-02-17,112,170,2013,7
2013-02-24,157,218,2013,8
2013-03-03,126,162,2013,9
2013-03-10,141,261,2013,10
2013-03-17,127,216,2013,11
2013-03-24,104,154,2013,12
2013-03-31,120,172,2013,13
2013-04-07,61,98,2013,14
2013-04-14,104,135,2013,15
2013-04-21,106,149,2013,16
2013-04-28,31,55,2013,17
2013-05-05,10,31,2013,18
2013-05-12,0,23,2013,19
2013-05-19,9,9,2013,20
2013-05-26,0,13,2013,21
2013-06-02,14,14,2013,22
2013-06-09,4,4,2013,23
2013-06-16,2,2,2013,24
2013-06-23,0,2,2013,25
2013-06-30,0,1,2013,26
2013-07-07,0,8,2013,27
2013-07-14,0,0,2013,28
2013-07-21,0,2,2013,29
2013-07-28,3,3,2013,30
2013-08-04,0,2,2013,31
2013-08-11,0,0,2013,32
2013-08-18,0,2,2013,33
2013-08-25,0,2,2013,34
2013-09-01,0,1,2013,35
2013-09-08,0,3,2013,36
2013-10-06,0,3,2013,40
2013-10-13,3,3,2013,41
2013-10-20,2,4,2013,42
2013-10-27,0,4,2013,43
2013-11-03,6,8,2013,44
2013-11-10,13,17,2013,45
2013-11-17,2,6,2013,46
2013-11-24,0,4,2013,47
2013-12-01,0,8,2013,48
2013-12-08,2,10,2013,49
2013-12-15,16,24,2013,50
2013-12-22,16,22,2013,51
2013-12-29,14,22,2013,52
2014-01-05,14,61,2013,1
2014-01-12,7,64,2014,2
2014-01-19,22,88,2014,3
2014-01-26,12,76,2014,4
2014-02-02,49,119,2014,5
2014-02-09,33,179,2014,6
2014-02-16,29,178,2014,7
2014-02-23,19,175,2014,8
2014-03-02,62,228,2014,9
2014-03-09,50,190,2014,10
2014-03-16,30,209,2014,11
2014-03-23,20,153,2014,12
2014-03-30,16,123,2014,13
2014-04-06,33,107,2014,14
2014-04-13,17,93,2014,15
2014-04-20,17,36,2014,16
2014-04-27,8,48,2014,17
2014-05-04,14,44,2014,18
2014-05-11,0,27,2014,19
2014-05-18,19,19,2014,20
2014-06-01,1,1,2014,22
2014-09-28,0,3,2014,39
2014-10-05,0,3,2014,40
2014-10-12,2,2,2014,41
2014-10-19,7,7,2014,42
2014-10-26,0,5,2014,43
2014-11-02,8,8,2014,44
2014-11-09,8,8,2014,45
2014-11-16,13,13,2014,46
2014-11-23,1,7,2014,47
2014-11-30,15,15,2014,48
2014-12-07,32,32,2014,49
2014-12-14,43,43,2014,50
2015-06-07,0,0,2015,23
2015-10-04,8,8,2015,40
2015-10-11,7,29,2015,41
2015-10-18,0,13,2015,42
2015-10-25,2,12,2015,43
2015-11-01,13,13,2015,44
2015-11-08,0,17,2015,45
2015-11-15,6,12,2015,46
2015-11-22,6,19,2015,47
2015-11-29,0,13,2015,48
2015-12-06,1,27,2015,49
2015-12-13,0,28,2015,50
2015-12-20,5,90,2015,51
2015-12-27,0,97,2015,52
2016-01-03,0,116,2015,53
2016-01-10,9,222,2016,1
2016-01-17,10,182,2016,2
2016-01-24,4,237,2016,3
2016-01-31,2,451,2016,4
2016-02-07,8,499,2016,5
2016-02-14,3,475,2016,6
2016-02-21,8,532,2016,7
2016-02-28,0,529,2016,8
2016-03-06,2,547,2016,9
