Year,Week,date,group,ILI,N,ILI_per_100k,positivity,Season,percentage_h3,Influenza_cases,ILIplus
2023,1,2023-01-08,1-4,557.150113,2498431,22.3,0.19,2022 to 2023,0.6195652173913044,105.85852147000001,65.58625786728263
2023,2,2023-01-15,1-4,339.786616,2498431,13.600000000000001,0.08900000000000001,2022 to 2023,0.5581395348837209,30.241008824,16.878702599441862
2023,3,2023-01-22,1-4,204.87134199999997,2498431,8.199999999999998,0.035,2022 to 2023,0.4736842105263158,7.170496969999999,3.3965511963157895
2023,4,2023-01-29,1-4,157.401153,2498431,6.3,0.034,2022 to 2023,0.42857142857142855,5.351639202,2.293559658
2023,5,2023-02-05,1-4,159.899584,2498431,6.4,0.025,2022 to 2023,0.2631578947368421,3.9974896,1.0519709473684211
2023,6,2023-02-12,1-4,177.38860099999997,2498431,7.099999999999999,0.018000000000000002,2022 to 2023,0.125,3.192994818,0.39912435225
2023,7,2023-02-19,1-4,154.90272199999998,2498431,6.199999999999999,0.023,2022 to 2023,0.05,3.5627626059999997,0.1781381303
2023,8,2023-02-26,1-4,139.912136,2498431,5.6,0.028999999999999998,2022 to 2023,0.10526315789473684,4.057451943999999,0.4271002046315789
2023,9,2023-03-05,1-4,132.416843,2498431,5.300000000000001,0.019999999999999997,2022 to 2023,0.11764705882352942,2.6483368599999997,0.3115690423529412
2023,10,2023-03-12,1-4,127.41998099999998,2498431,5.099999999999999,0.024,2022 to 2023,0.11111111111111112,3.0580795439999995,0.339786616
2023,11,2023-03-19,1-4,134.915274,2498431,5.4,0.027000000000000007,2022 to 2023,0.05555555555555556,3.6427123980000014,0.2023729110000001
2023,12,2023-03-26,1-4,124.92155,2498431,5,0.019999999999999997,2022 to 2023,0.06666666666666667,2.4984309999999996,0.16656206666666665
2023,13,2023-04-02,1-4,109.930964,2498431,4.4,0.019999999999999997,2022 to 2023,0,2.1986192799999995,0
2023,14,2023-04-09,1-4,64.959206,2498431,2.5999999999999996,0.009999999999999998,2022 to 2023,0,0.6495920599999998,0
2023,15,2023-04-16,1-4,67.457637,2498431,2.7,0.013000000000000001,2022 to 2023,0,0.8769492810000001,0
2023,16,2023-04-23,1-4,74.95293,2498431,2.9999999999999996,0.011000000000000001,2022 to 2023,0,0.82448223,0
2023,17,2023-04-30,1-4,54.965482,2498431,2.2,0.013999999999999997,2022 to 2023,0,0.7695167479999998,0
2023,18,2023-05-07,1-4,44.971758,2498431,1.7999999999999998,0.009999999999999998,2022 to 2023,0,0.44971757999999995,0
2023,19,2023-05-14,1-4,19.987448,2498431,0.8,0.004,2022 to 2023,0,0.079949792,0
2023,20,2023-05-21,1-4,29.981171999999997,2498431,1.2,0.006,2022 to 2023,0,0.17988703199999997,0
2023,21,2023-05-28,1-4,19.987448,2498431,0.8,0.008,2022 to 2023,0.2,0.159899584,0.0319799168
2023,22,2023-06-04,1-4,12.492154999999999,2498431,0.4999999999999999,0.003,2022 to 2023,0.3333333333333333,0.037476464999999994,0.012492154999999998
2023,23,2023-06-11,1-4,17.489017,2498431,0.7,0.004,2022 to 2023,0.5,0.06995606800000001,0.034978034000000005
2023,24,2023-06-18,1-4,22.485879,2498431,0.8999999999999999,0.002,2022 to 2023,0.5,0.044971758,0.022485879
2023,25,2023-06-25,1-4,14.990585999999999,2498431,0.6,0.006,2022 to 2023,0.25,0.08994351599999999,0.022485878999999997
2023,26,2023-07-02,1-4,17.489017,2498431,0.7,0,2022 to 2023,0.3333333333333333,0,0
2023,27,2023-07-09,1-4,24.984309999999997,2498431,0.9999999999999998,0.002,2023 to 2024,0.25,0.04996862,0.012492155
2023,28,2023-07-16,1-4,24.984309999999997,2498431,0.9999999999999998,0.004,2023 to 2024,0.3333333333333333,0.09993724,0.03331241333333333
2023,29,2023-07-23,1-4,44.971758,2498431,1.7999999999999998,0.008,2023 to 2024,0.3333333333333333,0.359774064,0.119924688
2023,30,2023-07-30,1-4,34.978034,2498431,1.4,0.008,2023 to 2024,0.5,0.27982427200000004,0.13991213600000002
2023,31,2023-08-06,1-4,14.990585999999999,2498431,0.6,0.002,2023 to 2024,0.5,0.029981171999999997,0.014990585999999998
2023,32,2023-08-13,1-4,2.498431,2498431,0.1,0.004,2023 to 2024,0.25,0.009993724,0.002498431
2023,33,2023-08-20,1-4,14.990585999999999,2498431,0.6,0.002,2023 to 2024,0.25,0.029981171999999997,0.007495292999999999
2023,34,2023-08-27,1-4,9.993724,2498431,0.4,0.002,2023 to 2024,0.4,0.019987448,0.0079949792
2023,35,2023-09-03,1-4,7.495292999999999,2498431,0.3,0,2023 to 2024,0.6666666666666666,0,0
2023,36,2023-09-10,1-4,27.482741,2498431,1.1,0.006,2023 to 2024,0.6,0.164896446,0.09893786759999999
2023,37,2023-09-17,1-4,14.990585999999999,2498431,0.6,0.004,2023 to 2024,0.4999999999999999,0.059962343999999994,0.02998117199999999
2023,38,2023-09-24,1-4,39.974896,2498431,1.6,0.011000000000000001,2023 to 2024,0.6666666666666667,0.4397238560000001,0.2931492373333334
2023,39,2023-10-01,1-4,57.463913,2498431,2.3,0.004999999999999999,2023 to 2024,0.5,0.28731956499999994,0.14365978249999997
2023,40,2023-10-08,1-4,67.457637,2498431,2.7,0.008,2023 to 2024,0.37499999999999994,0.539661096,0.20237291099999996
2023,41,2023-10-15,1-4,82.448223,2498431,3.3,0.018000000000000002,2023 to 2024,0.28571428571428575,1.4840680140000002,0.4240194325714287
