Age_group,UNITED KINGDOM,GREAT BRITAIN,ENGLAND AND WALES,ENGLAND
All ages,"69,281,437","67,353,582","61,806,682","58,620,101"
0,"667,994","648,105","601,329","573,812"
1,"690,113","669,724","622,020","593,575"
2,"732,532","710,426","660,624","630,059"
3,"728,400","706,322","656,038","625,948"
4,"755,117","732,313","680,640","648,849"
5,"769,993","746,520","692,020","659,421"
6,"779,267","755,411","701,206","667,251"
7,"797,192","772,753","716,976","682,421"
8,"819,098","793,849","735,470","699,257"
9,"813,307","788,085","729,196","693,374"
10,"816,457","791,355","731,966","695,901"
11,"835,063","809,512","748,974","712,018"
12,"854,833","828,579","766,611","728,659"
13,"854,532","828,178","765,782","727,289"
14,"843,967","818,094","755,622","717,865"
15,"838,259","812,216","750,135","712,549"
16,"845,961","819,892","757,454","719,178"
17,"817,099","792,314","731,972","695,590"
18,"806,916","783,071","722,638","686,352"
19,"818,350","795,462","734,584","695,486"
20,"821,170","799,077","734,370","695,274"
21,"818,799","798,186","729,813","691,406"
22,"823,027","803,056","734,770","697,351"
23,"839,316","819,014","747,236","710,646"
24,"863,943","843,286","767,919","731,341"
25,"892,223","869,727","796,919","759,095"
26,"905,498","882,244","811,490","773,516"
27,"923,421","899,681","828,149","788,460"
28,"909,004","885,900","815,612","777,372"
29,"918,824","895,529","825,868","787,128"
30,"940,405","916,617","844,937","805,239"
31,"941,624","917,652","845,544","805,672"
32,"965,013","940,263","866,055","824,590"
33,"976,481","951,378","875,619","833,482"
34,"973,104","947,386","873,675","832,161"
35,"965,382","939,737","866,146","824,692"
36,"974,673","948,577","873,611","831,419"
37,"952,137","925,868","853,665","812,545"
38,"944,946","918,427","845,863","805,362"
39,"938,632","912,425","839,735","799,440"
40,"908,350","882,699","812,004","773,610"
41,"907,303","881,753","810,700","772,141"
42,"899,769","874,414","803,664","765,546"
43,"906,682","881,244","809,857","771,457"
44,"907,018","880,818","811,348","772,526"
45,"868,755","843,722","775,640","738,963"
46,"806,022","782,421","719,973","686,219"
47,"790,242","767,347","705,899","672,429"
48,"806,960","783,665","718,916","684,749"
49,"821,405","798,283","732,997","697,407"
50,"831,075","807,059","740,377","703,813"
51,"862,822","838,005","768,140","729,388"
52,"894,577","869,587","796,062","754,938"
53,"927,472","901,787","824,659","780,892"
54,"904,147","878,640","801,895","759,767"
55,"924,411","898,531","819,206","775,106"
56,"921,696","895,567","815,099","771,539"
57,"925,871","899,912","819,318","774,808"
58,"920,651","894,588","814,684","770,180"
59,"924,094","897,871","815,392","769,707"
60,"910,372","884,768","802,979","757,491"
61,"888,080","863,209","782,730","738,322"
62,"863,911","839,722","762,220","718,569"
63,"830,550","806,535","731,561","689,549"
64,"795,464","772,752","699,513","658,848"
65,"772,753","750,893","679,055","639,143"
66,"748,741","727,297","657,246","618,514"
67,"713,842","693,519","627,124","589,882"
68,"683,935","664,166","599,969","564,430"
69,"653,386","635,062","573,799","539,673"
70,"648,219","630,417","571,304","536,645"
71,"632,318","614,857","557,391","523,049"
72,"606,812","590,461","536,072","503,524"
73,"604,393","588,088","534,102","501,510"
74,"605,012","589,151","536,427","503,580"
75,"611,491","596,106","542,659","509,713"
76,"634,565","619,480","565,829","531,492"
77,"673,831","658,804","602,734","567,237"
78,"505,224","491,907","450,851","424,408"
79,"476,740","463,952","426,602","401,145"
80,"461,977","449,800","413,064","388,753"
81,"414,914","403,452","369,527","347,609"
82,"357,410","347,774","318,021","298,656"
83,"305,273","296,936","271,613","255,001"
84,"300,816","293,200","268,602","253,116"
85,"281,337","274,184","251,783","237,616"
86,"256,103","249,746","229,508","216,590"
87,"224,742","219,033","201,631","190,245"
88,"195,365","190,506","175,142","165,268"
89,"167,231","163,096","149,932","141,650"
90+,"625,236","610,585","563,609","532,643"
