Year ,Week,<15yrs,15-64yrs,65+yrs,All ages
2023,1,22.3,32.9,9.5,21.9
,2,13.6,16.6,7.2,13
,3,8.2,9,5.4,7.9
,4,6.3,4.6,4.5,5.7
,5,6.4,5.5,4.8,6
,6,7.1,4,4.9,6.2
,7,6.2,4.5,3.6,5.5
,8,5.6,4.1,3.4,5
,9,5.3,4.1,3.5,4.8
,10,5.1,3.8,2.4,4.4
,11,5.4,2.7,3.7,4.6
,12,5,2.4,3.1,4.3
,13,4.4,3.1,2.6,3.9
,14,2.6,2,1.5,2.3
,15,2.7,2.2,0.8,2.3
,16,3,1.8,1.1,2.5
,17,2.2,1.2,0.7,1.7
,18,1.8,1.5,0.6,1.5
,19,0.8,1.7,1.1,1.5
,20,1.2,1.6,0.8,1.4
,21,0.8,1.7,0.7,1.4
,22,0.5,1.4,0.6,1.1
,23,0.7,1.8,0.7,1.4
,24,0.9,1,0.6,0.9
,25,0.6,0.8,0.4,0.7
,26,0.9,1,0.5,0.9
2022,1,0.5,1.5,1.2,1.3
,2,0.2,1.8,1.1,1.4
,3,0.6,1.3,0.6,1.1
,4,0.8,1.1,1,1
,5,1,1,0.2,0.9
,6,1.1,1.9,1.2,1.6
,7,0.4,1.7,0.3,1.2
,8,0.6,1.2,0.8,1
,9,0.7,1.6,1,1.3
,10,0.7,2.6,0.7,2
,11,0.6,1.5,0.8,1.2
,12,1.3,2.3,1.6,2
,13,1,3,1.4,2.4
,14,1.2,2,2,1.8
,15,0.4,1.7,0.9,1.4
,16,0.8,1.6,1.6,1.5
,17,0.3,1.4,1.6,1
,18,0.8,1.4,1.1,1.2
,19,1.2,1.6,0.9,1.4
,20,1.7,1.4,0.8,1.4
,21,1.1,1.4,0.7,1.2
,22,0.3,0.7,0.2,0.6
,23,0.7,1.5,1.2,1.3
,24,1.3,1.5,0.3,1.2
,25,0.5,1.1,0.5,0.9
,26,1.3,1.4,0.9,1.3
,27,0.7,1.8,0.6,1.4
,28,0.7,1,0.4,0.9
,29,0.5,0.5,0.4,0.5
,30,0.4,1.2,0.6,0.9
,31,0.3,1.1,0.4,0.8
,32,0.3,0.8,0.4,0.6
,33,0.2,1,0.8,0.7
,34,0.2,0.8,0.4,0.7
,35,0.2,0.9,0.1,0.6
,36,0.2,1,1,0.8
,37,1,1.3,0.9,1.2
,38,0.8,1.5,1.1,1.3
,39,0.9,3,1.4,2.4
,40,1.9,3.6,1.8,3
,41,2.2,4.3,2.7,3.7
,42,2.8,3.7,2.5,3.3
,43,3.2,4,2.6,3.6
,44,2.7,3.9,2.9,3.5
,45,3.8,5.2,2.6,4.5
,46,7,5.7,2.3,5.3
,47,8.3,7.2,2.7,6.6
,48,12.7,9.9,4.5,9.4
,49,19.7,16.3,8.6,15.5
,50,26.6,25.6,14.7,23.9
,51,29,33.5,24.8,31.3
,52,13,19.8,32.6,20.9
2021,1,0.2,1.6,1.4,1.3
,2,0.3,1.2,1.3,1.1
,3,0.4,0.9,1,0.9
,4,0.2,1.3,0.6,1
,5,0.4,1.1,1.2,1
,6,0.1,0.7,1.6,0.6
,7,0.4,1,1,0.9
,8,0.4,0.4,0.5,0.4
,9,0.1,0.6,0.1,0.4
,10,0.3,0.9,0.5,0.7
,11,0.8,0.7,0.1,0.6
,12,0.5,0.7,0.1,0.6
,13,0.3,0.4,0.2,0.3
,14,0.1,0.6,0.6,0.5
,15,0.3,0.8,0.6,0.6
,16,0.3,0.5,0.9,0.5
,17,0.4,0.5,0.4,0.5
,18,0.1,0.4,0.3,0.4
,19,0.5,0.6,0.6,0.6
,20,1.1,0.9,0.4,0.9
,21,1.2,0.6,0.8,0.7
,22,0.2,0.6,0.2,0.5
,23,0.5,0.3,0.4,0.7
,24,0.4,0.9,0.1,0.3
,25,1.4,1.2,0.8,1
,26,0.2,0.8,0.5,0.9
,27,0.8,0.7,0.4,0.7
,28,1,0.8,0.3,0.7
,29,0.5,0.8,0.3,0.7
,30,1,0.7,0.4,0.7
,31,0.6,0.8,0.4,0.6
,32,0.9,0.9,0.4,0.6
,33,0.9,1.2,0.6,1
,34,0.6,1.1,0.8,1
,35,0.4,1,0.6,0.8
