Date,percent_positive_samples_H3,age_group
2025-10-27,10.932,less than 5
2025-10-20,30.492,less than 5
2025-10-13,15.547,less than 5
2025-10-06,15.547,less than 5
2025-10-06,36.426,less than 5
2025-09-29,27.635,less than 5
2025-09-22,27.635,less than 5
2025-09-22,35.987,less than 5
2025-09-15,35.987,less than 5
2025-09-15,34.228,less than 5
2025-09-08,34.228,less than 5
2025-09-08,41.041,less than 5
2025-09-01,41.701,less than 5
2025-08-25,39.723,less than 5
2025-08-18,33.13,less than 5
2025-08-18,32.91,less than 5
2025-08-04,16.427,less than 5
2025-07-28,10.932,less than 5
2025-07-21,49.613,less than 5
2025-06-16,19.723,less than 5
2023-11-20,5.218,less than 5
2023-10-02,3.02,less than 5
2023-07-24,19.723,less than 5
2023-06-19,8.734,less than 5
2023-05-22,22.8,less than 5
2023-05-08,16.427,less than 5
2023-04-24,14.009,less than 5
2023-04-17,8.734,less than 5
2023-02-13,10.712,less than 5
2022-11-21,11.592,less than 5
2022-11-14,6.317,less than 5
2022-11-07,7.636,less than 5
2022-10-31,11.811,less than 5
2022-10-24,13.35,less than 5
2022-10-17,5.877,less than 5
2022-10-10,12.471,less than 5
2022-10-10,11.152,less than 5
2022-10-03,6.097,less than 5
2022-09-26,5.877,less than 5
2022-09-19,8.295,less than 5
2022-09-19,23.24,less than 5
2022-09-12,19.064,less than 5
2022-09-12,20.602,less than 5
2022-09-05,21.921,less than 5
2022-09-05,26.976,less than 5
2022-08-29,27.635,less than 5
2022-08-29,30.492,less than 5
2022-08-22,30.053,less than 5
2022-08-15,15.767,less than 5
2022-08-08,7.636,less than 5
2022-06-06,2.801,less than 5
2021-11-08,4.339,less than 5
2021-11-08,4.119,less than 5
2021-10-18,0,less than 5
2021-10-18,1.262,less than 5
2021-10-11,1.482,less than 5
2021-10-04,0.603,less than 5
2021-09-27,2.141,less than 5
2021-09-20,3.899,less than 5
2021-09-13,4.559,less than 5
2021-09-06,13.13,less than 5
2021-08-30,7.636,less than 5
2021-08-23,4.339,less than 5
2021-08-16,31.152,less than 5
2021-08-09,23.459,less than 5
2021-08-09,19.284,less than 5
2021-08-02,14.449,less than 5
2021-07-26,17.306,less than 5
2021-07-19,17.086,less than 5
2021-07-12,20.602,less than 5
2021-07-05,9.833,less than 5
2021-06-28,9.614,less than 5
2021-06-21,5.438,less than 5
2021-06-14,5.877,less than 5
2021-06-07,4.998,less than 5
2021-04-12,9.174,less than 5
2020-12-28,10.932,less than 5
2020-12-14,4.998,less than 5
2020-12-07,2.581,less than 5
2020-11-30,4.998,less than 5
2020-11-23,6.537,less than 5
2020-11-23,1.921,less than 5
2020-11-16,1.921,less than 5
2020-11-09,6.756,less than 5
2020-11-02,3.68,less than 5
2020-10-26,4.559,less than 5
2020-09-28,4.559,less than 5
2020-09-14,17.525,less than 5
2020-09-07,26.317,less than 5
2020-09-07,14.888,less than 5
2020-08-31,18.624,less than 5
2020-08-31,23.24,less than 5
2020-08-24,23.24,less than 5
2020-08-17,46.975,less than 5
2020-08-03,41.261,less than 5
2020-07-27,41.261,less than 5
2020-07-20,20.822,less than 5
2020-06-29,24.778,less than 5
2020-06-29,24.558,less than 5
2020-06-22,12.69,less than 5
2020-06-22,9.614,less than 5
2020-06-15,17.745,less than 5
2020-06-08,12.251,less than 5
2020-06-08,6.537,less than 5
2020-06-01,6.537,less than 5
2020-05-18,9.614,less than 5
2020-03-30,8.734,less than 5
2020-02-24,9.614,less than 5
2020-02-17,9.614,less than 5
2019-12-16,7.196,less than 5
2019-12-09,7.196,less than 5
2019-11-25,21.042,less than 5
2019-11-18,21.042,less than 5
2019-11-18,25.877,less than 5
2019-11-11,25.877,less than 5
2019-11-11,18.405,less than 5
2019-11-04,18.405,less than 5
2019-10-28,29.174,less than 5
2025-10-27,99.526,5to18
2025-10-20,99.526,5to18
2025-10-20,99.527,5to18
2025-10-13,39.54,5to18
2025-10-06,39.54,5to18
2025-10-06,39.541,5to18
2025-10-06,99.528,5to18
2025-09-29,69.657,5to18
2025-09-29,69.658,5to18
2025-09-22,69.658,5to18
2025-09-22,90.47,5to18
2025-09-15,77.739,5to18
2025-09-08,77.739,5to18
2025-09-08,99.531,5to18
2025-09-01,85.33,5to18
2025-08-25,85.33,5to18
2025-08-25,84.107,5to18
2025-08-18,84.107,5to18
2025-08-18,73.824,5to18
2025-08-11,73.824,5to18
2025-08-11,99.533,5to18
2025-08-04,99.534,5to18
2025-08-04,82.884,5to18
2025-07-28,82.885,5to18
2025-07-28,74.56,5to18
2025-07-21,74.561,5to18
2025-07-21,99.535,5to18
2025-07-14,69.665,5to18
2025-07-07,69.665,5to18
2025-06-30,69.666,5to18
2025-06-30,35.143,5to18
2025-06-23,35.143,5to18
2025-06-09,49.591,5to18
2025-06-02,49.591,5to18
2023-07-03,13.908,5to18
2023-05-29,19.543,5to18
2023-05-22,29.582,5to18
2023-05-15,16.116,5to18
2023-05-15,16.117,5to18
2023-05-08,8.772,5to18
2023-04-24,33.013,5to18
2023-04-17,39.624,5to18
2023-03-27,99.614,5to18
2023-03-20,99.614,5to18
2023-02-06,33.02,5to18
2022-11-28,49.676,5to18
2022-11-07,5.116,5to18
2022-10-31,25.683,5to18
2022-10-31,25.684,5to18
2022-10-24,13.932,5to18
2022-10-17,37.192,5to18
2022-10-17,37.193,5to18
2022-10-10,64.616,5to18
2022-10-03,43.07,5to18
2022-09-26,10.751,5to18
2022-09-19,25.442,5to18
2022-09-19,27.891,5to18
2022-09-12,29.85,5to18
2022-09-12,29.851,5to18
2022-09-05,30.83,5to18
2022-09-05,33.279,5to18
2022-08-29,45.032,5to18
2022-08-22,10.754,5to18
2022-08-22,47.481,5to18
2022-08-15,49.196,5to18
2022-08-15,49.686,5to18
2022-08-01,51.89,5to18
2022-08-01,51.891,5to18
2022-07-25,23.489,5to18
2022-07-18,20.551,5to18
2022-07-18,20.552,5to18
2022-07-11,4.392,5to18
2022-07-11,4.393,5to18
2022-07-04,8.8,5to18
2022-05-30,15.659,5to18
2022-02-07,21.79,5to18
2022-02-07,21.791,5to18
2021-11-08,2.211,5to18
2021-11-08,2.212,5to18
2021-10-25,7.11,5to18
2021-10-18,4.662,5to18
2021-10-11,4.173,5to18
2021-10-11,8.335,5to18
2021-09-20,6.623,5to18
2021-09-06,1.972,5to18
2021-09-06,1.973,5to18
2021-08-30,9.808,5to18
2021-08-23,9.074,5to18
2021-08-16,21.562,5to18
2021-08-09,13.238,5to18
2021-08-02,11.28,5to18
2021-07-26,32.092,5to18
2021-07-19,31.113,5to18
2021-07-19,31.114,5to18
2021-07-12,36.746,5to18
2021-07-05,36.012,5to18
2021-06-28,20.342,5to18
2021-06-28,27.443,5to18
2021-06-21,47.521,5to18
2021-06-14,17.405,5to18
2021-06-14,17.406,5to18
2021-06-07,31.117,5to18
2021-06-07,31.118,5to18
2021-05-31,26.956,5to18
2021-05-24,17.407,5to18
2021-05-24,17.408,5to18
2021-05-17,16.918,5to18
2021-05-17,16.919,5to18
2021-05-10,15.45,5to18
2021-05-03,19.123,5to18
2021-05-03,5.412,5to18
2021-03-22,12.516,5to18
2021-03-22,12.517,5to18
2021-02-15,2.481,5to18
2021-02-01,6.645,5to18
2021-01-11,7.381,5to18
2020-11-23,4.937,5to18
2020-11-09,4.449,5to18
2020-10-19,8.368,5to18
