year ,week ,0 to 4 years,5 to 14 years,15 to 44 years,45 to 64 years,65 years and over
2023,1,19.0,18.9,17.8,11.1,14.7
,2,8.9,7.3,10.0,5.5,6.7
,3,3.5,5.0,5.5,3.1,2.5
,4,3.4,3.0,7.3,2.9,1.8
,5,2.5,4.3,5.2,2.3,1.8
,6,1.8,4.6,5.3,1.5,0.9
,7,2.3,4.3,7.7,0.9,0.9
,8,2.9,2.6,6.9,1.5,1.0
,9,2.0,3.1,5.3,1.0,0.7
,10,2.4,3.6,6.0,1.0,0.5
,11,2.7,3.1,5.4,1.5,0.7
,12,2.0,3.1,4.7,0.7,0.4
,13,2.0,3.2,4.9,1.3,0.3
,14,1.0,2.6,4.9,0.6,0.5
,15,1.3,1.1,3.6,1.3,0.2
,16,1.1,0.6,3.2,0.5,0.2
,17,1.4,1.5,2.5,0.7,0.4
,18,1.0,2.8,2.1,0.3,0.5
,19,0.4,0.6,2.0,0.2,0.2
,20,0.6,0.3,1.0,0.4,0.1
,21,0.8,0.3,1.2,0.7,0.4
,22,0.3,0.4,1.2,0.2,0.2
,23,0.4,0.0,0.0,0.2,0.4
,24,0.2,0.4,0.7,0.3,0.7
,25,0.6,0.0,1.1,0.6,0.3
,26,0.0,0.0,0.9,0.2,0.2
,27,0.2,0.9,0.8,0.9,0.2
,28,0.4,1.4,0.9,0.8,0.3
,29,0.8,1.4,1.4,0.3,0.5
,30,0.8,0.0,0.6,0.4,0.2
,31,0.2,1.6,0.9,0.1,0.1
,32,0.4,0.5,0.9,0.7,0.6
,33,0.2,0.6,0.8,0.4,0.4
,34,0.2,0.6,1.2,0.9,0.2
,35,0.0,0.0,1.4,0.3,0.3
,36,0.6,1.3,0.7,0.6,0.9
,37,0.4,1.1,1.1,0.3,0.6
,38,1.1,1.0,0.7,0.9,0.9
,39,0.5,0.9,1.2,0.5,0.5
,40,0.8,1.8,1.4,1.2,0.9
,41,1.8,1.9,1.1,0.7,0.9
,42,1.7,1.2,1.7,0.5,0.7
,43,1.4,1.3,2.3,0.6,0.6
,44,1.8,1.5,2.4,1.2,0.8
,45,2.0,3.7,3.2,1.6,1.0
,46,1.3,3.3,2.8,1.4,1.1
,47,1.9,2.5,4.2,1.2,0.9
,48,2.3,4.0,4.6,2.4,1.8
,49,5.8,8.8,8.5,4.6,3.5
,50,12.4,13.1,14.8,8.1,6.3
,51,12.8,14.8,16.7,10.5,8.2
,52,13.3,9.0,15.3,11.7,9.6
2024,1,9.8,7.6,15.6,9.9,7.3
,2,11.6,9.7,11.5,9.2,8.6
,3,15.1,15.3,19.9,11.7,12.0
,4,18.3,21.0,22.4,16.6,15.0
,5,16.6,16.2,19.2,12.8,13.3
,6,15.8,15.3,17.0,9.8,11.6
,7,12.0,11.2,14.2,9.6,8.1
,8,9.1,8.3,11.8,7.7,6.3
,9,7.0,7.4,9.1,5.5,4.7
,10,5.1,6.3,9.9,5.0,3.3
,11,5.9,6.0,10.8,5.9,4.8
,12,4.0,5.7,8.0,4.3,3.3
,13,3.7,4.8,5.8,3.4,1.9
,14,2.5,3.4,5.6,3.4,2.8
,15,3.4,0.9,4.1,1.7,2.2
,16,2.3,3.5,2.7,2.2,1.5
,17,1.0,2.4,3.8,2.5,1.8
,18,2.1,3.8,3.7,1.8,2.2
,19,1.9,3.8,4.1,0.9,1.0
,20,1.7,1.4,2.0,1.0,0.7
,21,1.3,1.1,1.5,0.8,0.6
,22,0.8,1.6,1.0,0.1,0.7
,23,0.3,0.3,2.2,1.1,0.5
,24,0.9,0.8,1.2,0.2,0.3
,25,0.5,1.7,2.5,0.8,0.2
,26,0.2,0.0,0.8,0.6,0.5
