Date,Week number,Season,Influenza A(H1N1)pdm09,Influenza A(H3N2),Influenza A(not subtype),Influenza B
01-Jul-19,27,2019 to 2020,0.2,0.6,0.2,0.2
08-Jul-19,28,2019 to 2020,0.1,0.4,0.4,0.1
15-Jul-19,29,2019 to 2020,0.2,0.4,0.3,0.2
22-Jul-19,30,2019 to 2020,0.3,0.3,0.1,0.1
29-Jul-19,31,2019 to 2020,0.2,0.4,0.3,0.2
05-Aug-19,32,2019 to 2020,0,0.2,0.4,0.3
12-Aug-19,33,2019 to 2020,0.2,0.6,1.1,0
19-Aug-19,34,2019 to 2020,0.4,1,1.1,0.1
26-Aug-19,35,2019 to 2020,0.3,0.7,1.1,0.2
02-Sep-19,36,2019 to 2020,0.2,0.6,0.4,0
09-Sep-19,37,2019 to 2020,0.2,0.7,0.3,0.1
16-Sep-19,38,2019 to 2020,0.1,0.7,0.2,0.1
23-Sep-19,39,2019 to 2020,0.2,1.1,0.7,0.2
30-Sep-19,40,2019 to 2020,0.1,0.7,0.3,0.2
07-Oct-19,41,2019 to 2020,0.2,1.1,1.1,0.2
14-Oct-19,42,2019 to 2020,0.2,1.2,1,0.2
21-Oct-19,43,2019 to 2020,0.1,1.2,1.4,0.1
28-Oct-19,44,2019 to 2020,0.2,1.4,1.7,0.2
04-Nov-19,45,2019 to 2020,0.3,1.3,1.9,0.3
11-Nov-19,46,2019 to 2020,0.2,3.8,2.7,0.6
18-Nov-19,47,2019 to 2020,0.4,8.4,6,0.4
25-Nov-19,48,2019 to 2020,0.5,11,5.1,0.4
02-Dec-19,49,2019 to 2020,0.5,13.9,5.4,0.4
09-Dec-19,50,2019 to 2020,0.4,12.7,7.6,0.4
16-Dec-19,51,2019 to 2020,0.8,12.7,8.6,0.6
23-Dec-19,52,2019 to 2020,1.3,16.1,7.9,0.6
30-Dec-19,1,2019 to 2020,1.4,10.1,7,0.8
06-Jan-20,2,2019 to 2020,1.7,4.6,6.1,0.6
13-Jan-20,3,2019 to 2020,1.5,3.2,3.6,0.9
20-Jan-20,4,2019 to 2020,1.6,2.5,1.9,0.9
27-Jan-20,5,2019 to 2020,1.6,2,2.7,1.6
03-Feb-20,6,2019 to 2020,1.6,1.3,1.4,1.4
10-Feb-20,7,2019 to 2020,1.5,1,2.8,1.4
17-Feb-20,8,2019 to 2020,1.5,1.1,2.2,1.7
24-Feb-20,9,2019 to 2020,1.5,0.8,1.6,1.9
02-Mar-20,10,2019 to 2020,1.8,0.5,1.5,1.8
09-Mar-20,11,2019 to 2020,0.9,0.3,1.2,1.6
16-Mar-20,12,2019 to 2020,0.5,0.1,0.7,0.7
23-Mar-20,13,2019 to 2020,0.2,0,0.4,0.2
30-Mar-20,14,2019 to 2020,0,0,0,0
06-Apr-20,15,2019 to 2020,0,0,0.1,0.1
13-Apr-20,16,2019 to 2020,0,0,0,0
20-Apr-20,17,2019 to 2020,0,0,0,0
27-Apr-20,18,2019 to 2020,0,0,0.1,0
04-May-20,19,2019 to 2020,0,0,0,0
11-May-20,20,2019 to 2020,0,0,0,0
18-May-20,21,2019 to 2020,0,0,0,0
25-May-20,22,2019 to 2020,0,0,0,0
01-Jun-20,23,2019 to 2020,0,0,0,0
08-Jun-20,24,2019 to 2020,0,0,0,0
15-Jun-20,25,2019 to 2020,0,0,0,0
22-Jun-20,26,2019 to 2020,0,0,0,0
04-Jul-22,27,2022 to 2023,0,0.2,0.5,0
11-Jul-22,28,2022 to 2023,0.1,0.2,1,0.1
18-Jul-22,29,2022 to 2023,0.1,0.1,0.4,0
25-Jul-22,30,2022 to 2023,0.1,0.2,0.3,0
01-Aug-22,31,2022 to 2023,0.2,0.2,0.4,0
08-Aug-22,32,2022 to 2023,0.1,0.1,1.7,0.1
