"","Country area or territory","Surveillance site type","Year-week (ISO 8601 calendar)","Week start date (ISO 8601 calendar)","Specimen tested","Influenza positive","Influenza negative","A (H3)","A not subtyped"
"1","United Kingdom, England","Non-sentinel","2013-40",2013-09-30,7,3,0,0,3
"2","United Kingdom, England","Non-sentinel","2013-41",2013-10-07,4,3,0,2,1
"3","United Kingdom, England","Non-sentinel","2013-42",2013-10-14,4,3,0,1,2
"4","United Kingdom, England","Non-sentinel","2013-43",2013-10-21,4,4,0,0,4
"5","United Kingdom, England","Non-sentinel","2013-44",2013-10-28,8,7,0,3,4
"6","United Kingdom, England","Non-sentinel","2013-45",2013-11-04,16,12,0,10,2
"7","United Kingdom, England","Non-sentinel","2013-46",2013-11-11,11,4,0,1,3
"8","United Kingdom, England","Non-sentinel","2013-47",2013-11-18,9,4,0,0,4
"9","United Kingdom, England","Non-sentinel","2013-48",2013-11-25,18,6,0,0,6
"10","United Kingdom, England","Non-sentinel","2013-49",2013-12-02,10,6,0,1,5
"11","United Kingdom, England","Non-sentinel","2013-50",2013-12-09,18,17,0,2,15
"12","United Kingdom, England","Non-sentinel","2013-51",2013-12-16,24,16,0,3,13
"13","United Kingdom, England","Non-sentinel","2013-52",2013-12-23,23,19,0,4,15
"14","United Kingdom, England","Non-sentinel","2014-01",2013-12-30,59,47,0,3,44
"15","United Kingdom, England","Non-sentinel","2014-02",2014-01-06,55,42,0,1,41
"16","United Kingdom, England","Non-sentinel","2014-03",2014-01-13,79,63,0,4,59
"17","United Kingdom, England","Non-sentinel","2014-04",2014-01-20,71,47,0,3,44
"18","United Kingdom, England","Non-sentinel","2014-05",2014-01-27,110,94,0,12,82
"19","United Kingdom, England","Non-sentinel","2014-06",2014-02-03,152,115,0,8,107
"20","United Kingdom, England","Non-sentinel","2014-07",2014-02-10,153,117,0,6,111
"21","United Kingdom, England","Non-sentinel","2014-08",2014-02-17,161,117,0,4,113
"22","United Kingdom, England","Non-sentinel","2014-09",2014-02-24,215,185,0,9,176
"23","United Kingdom, England","Non-sentinel","2014-10",2014-03-03,170,138,0,12,126
"24","United Kingdom, England","Non-sentinel","2014-11",2014-03-10,194,163,0,4,159
"25","United Kingdom, England","Non-sentinel","2014-12",2014-03-17,144,122,0,3,119
"26","United Kingdom, England","Non-sentinel","2014-13",2014-03-24,119,95,0,2,93
"27","United Kingdom, England","Non-sentinel","2014-14",2014-03-31,102,85,0,7,78
"28","United Kingdom, England","Non-sentinel","2014-15",2014-04-07,94,79,0,2,77
"29","United Kingdom, England","Non-sentinel","2014-16",2014-04-14,37,32,0,2,30
"30","United Kingdom, England","Non-sentinel","2014-17",2014-04-21,62,43,0,1,42
"31","United Kingdom, England","Non-sentinel","2014-18",2014-04-28,56,35,0,4,31
"32","United Kingdom, England","Non-sentinel","2014-19",2014-05-05,30,27,0,0,27
"33","United Kingdom, England","Non-sentinel","2014-20",2014-05-12,25,19,0,2,17
"34","United Kingdom, England","Non-sentinel","2014-40",2014-09-29,5,3,0,0,3
"35","United Kingdom, England","Non-sentinel","2014-41",2014-10-06,3,2,0,1,1
"36","United Kingdom, England","Non-sentinel","2014-42",2014-10-13,8,6,0,2,4
"37","United Kingdom, England","Non-sentinel","2014-43",2014-10-20,7,5,0,0,5
"38","United Kingdom, England","Non-sentinel","2014-44",2014-10-27,12,7,0,1,6
"39","United Kingdom, England","Non-sentinel","2014-45",2014-11-03,9,8,0,2,6
"40","United Kingdom, England","Non-sentinel","2014-46",2014-11-10,14,11,0,5,6
"41","United Kingdom, England","Non-sentinel","2014-47",2014-11-17,9,6,0,0,6
"42","United Kingdom, England","Non-sentinel","2014-48",2014-11-24,14,13,0,4,9
"43","United Kingdom, England","Non-sentinel","2014-49",2014-12-01,31,30,0,2,28
"44","United Kingdom, England","Non-sentinel","2014-50",2014-12-08,27,27,0,3,24
"45","United Kingdom, England","Non-sentinel","2015-40",2015-09-28,14,8,0,3,5
"46","United Kingdom, England","Non-sentinel","2015-41",2015-10-05,31,23,0,2,21
"47","United Kingdom, England","Non-sentinel","2015-42",2015-10-12,18,6,0,0,6
"48","United Kingdom, England","Non-sentinel","2015-43",2015-10-19,15,6,0,1,5
"49","United Kingdom, England","Non-sentinel","2015-44",2015-10-26,21,13,0,1,12
"50","United Kingdom, England","Non-sentinel","2015-45",2015-11-02,20,16,0,0,16
"51","United Kingdom, England","Non-sentinel","2015-46",2015-11-09,22,10,0,2,8
"52","United Kingdom, England","Non-sentinel","2015-47",2015-11-16,20,13,0,1,12
"53","United Kingdom, England","Non-sentinel","2015-48",2015-11-23,22,10,0,0,10
"54","United Kingdom, England","Non-sentinel","2015-49",2015-11-30,37,23,0,0,23
"55","United Kingdom, England","Non-sentinel","2015-50",2015-12-07,34,16,0,0,16
"56","United Kingdom, England","Non-sentinel","2015-51",2015-12-14,85,60,0,1,59
"57","United Kingdom, England","Non-sentinel","2015-52",2015-12-21,98,71,0,0,71
"58","United Kingdom, England","Non-sentinel","2015-53",2015-12-28,117,92,0,0,92
"59","United Kingdom, England","Non-sentinel","2016-01",2016-01-04,217,138,0,3,135
"60","United Kingdom, England","Non-sentinel","2016-02",2016-01-11,184,130,0,2,128
"61","United Kingdom, England","Non-sentinel","2016-03",2016-01-18,231,164,0,1,163
"62","United Kingdom, England","Non-sentinel","2016-04",2016-01-25,425,333,0,0,333
"63","United Kingdom, England","Non-sentinel","2016-05",2016-02-01,484,371,0,1,370
"64","United Kingdom, England","Non-sentinel","2016-06",2016-02-08,472,349,0,0,349
"65","United Kingdom, England","Non-sentinel","2016-07",2016-02-15,543,434,0,1,433
"66","United Kingdom, England","Non-sentinel","2016-08",2016-02-22,544,425,0,0,425
"67","United Kingdom, England","Non-sentinel","2016-09",2016-02-29,613,472,0,0,472
"68","United Kingdom, England","Non-sentinel","2016-10",2016-03-07,659,450,0,1,449
"69","United Kingdom, England","Non-sentinel","2016-11",2016-03-14,899,595,0,0,595
"70","United Kingdom, England","Non-sentinel","2016-12",2016-03-21,729,405,0,1,404
"71","United Kingdom, England","Non-sentinel","2016-13",2016-03-28,688,342,0,0,342
"72","United Kingdom, England","Non-sentinel","2016-14",2016-04-04,491,188,0,0,188
"73","United Kingdom, England","Non-sentinel","2016-15",2016-04-11,415,156,0,0,156
"74","United Kingdom, England","Non-sentinel","2016-16",2016-04-18,222,52,0,1,51
"75","United Kingdom, England","Non-sentinel","2016-17",2016-04-25,187,63,0,2,61
"76","United Kingdom, England","Non-sentinel","2016-18",2016-05-02,157,52,0,0,52
"77","United Kingdom, England","Non-sentinel","2016-19",2016-05-09,110,38,0,1,37
"78","United Kingdom, England","Non-sentinel","2016-20",2016-05-16,63,20,0,0,20
"79","United Kingdom, England","Non-sentinel","2016-21",2016-05-23,30,5,0,0,5
"80","United Kingdom, England","Non-sentinel","2016-22",2016-05-30,23,12,0,0,12
"81","United Kingdom, England","Non-sentinel","2016-40",2016-10-03,14,9,0,1,8
"82","United Kingdom, England","Non-sentinel","2016-41",2016-10-10,10,8,0,1,7
"83","United Kingdom, England","Non-sentinel","2016-42",2016-10-17,14,10,0,0,10
"84","United Kingdom, England","Non-sentinel","2016-43",2016-10-24,9,8,0,3,5
"85","United Kingdom, England","Non-sentinel","2016-44",2016-10-31,21,17,0,4,13
"86","United Kingdom, England","Non-sentinel","2016-45",2016-11-07,20,18,0,1,17
"87","United Kingdom, England","Non-sentinel","2016-46",2016-11-14,46,43,0,2,41
"88","United Kingdom, England","Non-sentinel","2016-47",2016-11-21,23,23,0,1,22
"89","United Kingdom, England","Non-sentinel","2016-48",2016-11-28,61,59,0,7,52
"90","United Kingdom, England","Non-sentinel","2016-49",2016-12-05,135,128,0,7,121
"91","United Kingdom, England","Non-sentinel","2016-50",2016-12-12,204,198,0,12,186
"92","United Kingdom, England","Non-sentinel","2016-51",2016-12-19,374,365,0,17,348
"93","United Kingdom, England","Non-sentinel","2016-52",2016-12-26,416,407,0,11,396
"94","United Kingdom, England","Non-sentinel","2017-01",2017-01-02,646,638,0,13,625
"95","United Kingdom, England","Non-sentinel","2017-02",2017-01-09,897,870,0,5,865
"96","United Kingdom, England","Non-sentinel","2017-03",2017-01-16,681,670,0,13,657
"97","United Kingdom, England","Non-sentinel","2017-04",2017-01-23,794,772,0,8,764
"98","United Kingdom, England","Non-sentinel","2017-05",2017-01-30,824,785,0,12,773
"99","United Kingdom, England","Non-sentinel","2017-06",2017-02-06,579,556,0,9,547
"100","United Kingdom, England","Non-sentinel","2017-07",2017-02-13,379,355,0,7,348
"101","United Kingdom, England","Non-sentinel","2017-08",2017-02-20,445,418,0,11,407
"102","United Kingdom, England","Non-sentinel","2017-09",2017-02-27,321,295,0,2,293
"103","United Kingdom, England","Non-sentinel","2017-10",2017-03-06,162,136,0,13,123
"104","United Kingdom, England","Non-sentinel","2017-11",2017-03-13,95,80,0,7,73
"105","United Kingdom, England","Non-sentinel","2017-12",2017-03-20,78,60,0,2,58
"106","United Kingdom, England","Non-sentinel","2017-13",2017-03-27,68,34,0,1,33
"107","United Kingdom, England","Non-sentinel","2017-14",2017-04-03,64,38,0,2,36
"108","United Kingdom, England","Non-sentinel","2017-15",2017-04-10,38,17,0,0,17
"109","United Kingdom, England","Non-sentinel","2017-16",2017-04-17,41,16,0,1,15
"110","United Kingdom, England","Non-sentinel","2017-17",2017-04-24,49,18,0,1,17
"111","United Kingdom, England","Non-sentinel","2017-18",2017-05-01,36,6,0,0,6
"112","United Kingdom, England","Non-sentinel","2017-19",2017-05-08,36,11,0,0,11
"113","United Kingdom, England","Non-sentinel","2017-20",2017-05-15,49,16,0,0,16
"114","United Kingdom, England","Non-sentinel","2017-40",2017-10-02,34,23,0,1,22
"115","United Kingdom, England","Non-sentinel","2017-41",2017-10-09,36,23,0,2,21
"116","United Kingdom, England","Non-sentinel","2017-42",2017-10-16,21,15,0,1,14
"117","United Kingdom, England","Non-sentinel","2017-43",2017-10-23,23,18,0,1,17
"118","United Kingdom, England","Non-sentinel","2017-44",2017-10-30,26,20,0,2,18
"119","United Kingdom, England","Non-sentinel","2017-45",2017-11-06,29,21,0,3,18
"120","United Kingdom, England","Non-sentinel","2017-46",2017-11-13,51,34,0,9,25
"121","United Kingdom, England","Non-sentinel","2017-47",2017-11-20,78,47,0,1,46
"122","United Kingdom, England","Non-sentinel","2017-48",2017-11-27,73,49,0,5,44
"123","United Kingdom, England","Non-sentinel","2017-49",2017-12-04,166,95,0,5,90
"124","United Kingdom, England","Non-sentinel","2017-50",2017-12-11,296,146,0,7,139
"125","United Kingdom, England","Non-sentinel","2017-51",2017-12-18,765,348,0,10,338
"126","United Kingdom, England","Non-sentinel","2017-52",2017-12-25,1075,429,0,4,425
"127","United Kingdom, England","Non-sentinel","2018-01",2018-01-01,1967,835,0,6,829
"128","United Kingdom, England","Non-sentinel","2018-02",2018-01-08,2289,905,0,3,902
"129","United Kingdom, England","Non-sentinel","2018-03",2018-01-15,2321,878,0,20,858
"130","United Kingdom, England","Non-sentinel","2018-04",2018-01-22,2404,977,0,16,961
"131","United Kingdom, England","Non-sentinel","2018-05",2018-01-29,2150,941,0,6,935
"132","United Kingdom, England","Non-sentinel","2018-06",2018-02-05,1776,781,0,3,778
"133","United Kingdom, England","Non-sentinel","2018-07",2018-02-12,1895,911,0,6,905
"134","United Kingdom, England","Non-sentinel","2018-08",2018-02-19,2488,1308,0,21,1287
"135","United Kingdom, England","Non-sentinel","2018-09",2018-02-26,1662,889,0,10,879
"136","United Kingdom, England","Non-sentinel","2018-10",2018-03-05,2026,1161,0,2,1159
"137","United Kingdom, England","Non-sentinel","2018-11",2018-03-12,1664,1008,0,8,1000
"138","United Kingdom, England","Non-sentinel","2018-12",2018-03-19,1312,917,0,6,911
"139","United Kingdom, England","Non-sentinel","2018-13",2018-03-26,994,720,0,8,712
"140","United Kingdom, England","Non-sentinel","2018-14",2018-04-02,843,653,0,6,647
"141","United Kingdom, England","Non-sentinel","2018-15",2018-04-09,590,465,0,8,457
"142","United Kingdom, England","Non-sentinel","2018-16",2018-04-16,282,217,0,1,216
"143","United Kingdom, England","Non-sentinel","2018-17",2018-04-23,117,82,0,2,80
"144","United Kingdom, England","Non-sentinel","2018-18",2018-04-30,68,58,0,0,58
"145","United Kingdom, England","Non-sentinel","2018-19",2018-05-07,61,43,0,0,43
"146","United Kingdom, England","Non-sentinel","2018-20",2018-05-14,44,33,0,0,33
"147","United Kingdom, England","Non-sentinel","2018-40",2018-10-01,17,11,0,0,11
"148","United Kingdom, England","Non-sentinel","2018-41",2018-10-08,18,18,0,0,18
"149","United Kingdom, England","Non-sentinel","2018-42",2018-10-15,23,15,0,0,15
"150","United Kingdom, England","Non-sentinel","2018-43",2018-10-22,38,30,0,1,29
"151","United Kingdom, England","Non-sentinel","2018-44",2018-10-29,46,34,0,0,34
"152","United Kingdom, England","Non-sentinel","2018-45",2018-11-05,85,66,0,1,65
"153","United Kingdom, England","Non-sentinel","2018-46",2018-11-12,93,79,0,0,79
"154","United Kingdom, England","Non-sentinel","2018-47",2018-11-19,110,81,0,0,81
"155","United Kingdom, England","Non-sentinel","2018-48",2018-11-26,160,143,0,2,141
"156","United Kingdom, England","Non-sentinel","2018-49",2018-12-03,211,174,0,2,172
"157","United Kingdom, England","Non-sentinel","2018-50",2018-12-10,281,243,0,0,243
"158","United Kingdom, England","Non-sentinel","2018-51",2018-12-17,569,503,0,0,503
"159","United Kingdom, England","Non-sentinel","2018-52",2018-12-24,733,697,0,0,697
