"","Country area or territory","Surveillance site type","Year-week (ISO 8601 calendar)","Week start date (ISO 8601 calendar)","Specimen tested","Influenza positive","Influenza negative","A (H3)","A not subtyped"
"1","United Kingdom, England","Non-sentinel","2020-02",2020-01-06,1678,1546,0,43,1503
"2","United Kingdom, England","Non-sentinel","2020-03",2020-01-13,930,802,0,13,789
"3","United Kingdom, England","Non-sentinel","2020-04",2020-01-20,587,490,0,27,463
"4","United Kingdom, England","Non-sentinel","2020-05",2020-01-27,599,453,0,11,442
"5","United Kingdom, England","Non-sentinel","2020-06",2020-02-03,502,373,0,4,369
"6","United Kingdom, England","Non-sentinel","2020-07",2020-02-10,521,373,0,2,371
"7","United Kingdom, England","Non-sentinel","2020-08",2020-02-17,527,356,0,13,343
"8","United Kingdom, England","Non-sentinel","2020-09",2020-02-24,537,344,0,1,343
"9","United Kingdom, England","Non-sentinel","2020-10",2020-03-02,520,294,0,1,293
"10","United Kingdom, England","Non-sentinel","2020-11",2020-03-09,373,236,0,8,228
"11","United Kingdom, England","Non-sentinel","2020-12",2020-03-16,395,236,0,0,236
"12","United Kingdom, England","Non-sentinel","2020-13",2020-03-23,155,78,0,2,76
"13","United Kingdom, England","Non-sentinel","2020-14",2020-03-30,73,46,0,0,46
"14","United Kingdom, England","Non-sentinel","2020-15",2020-04-06,21,13,0,0,13
"15","United Kingdom, England","Non-sentinel","2020-16",2020-04-13,3,1,0,0,1
"16","United Kingdom, England","Non-sentinel","2020-17",2020-04-20,7,4,0,0,4
"17","United Kingdom, England","Non-sentinel","2020-18",2020-04-27,1,1,0,0,1
"18","United Kingdom, England","Non-sentinel","2020-19",2020-05-04,0,0,0,0,0
"19","United Kingdom, England","Non-sentinel","2020-20",2020-05-11,0,0,0,0,0
"20","United Kingdom, England","Non-sentinel","2020-40",2020-09-28,0,4,-10,0,4
"21","United Kingdom, England","Non-sentinel","2020-41",2020-10-05,0,4,-8,0,4
"22","United Kingdom, England","Non-sentinel","2020-42",2020-10-12,0,13,-22,0,13
"23","United Kingdom, England","Non-sentinel","2020-43",2020-10-19,0,16,-24,0,16
