"","Country area or territory","Surveillance site type","Year-week (ISO 8601 calendar)","Week start date (ISO 8601 calendar)","Specimen tested","Influenza positive","Influenza negative","A (H1)","A (H1N1)pdm09","A (H3)","A not subtyped","B (Victoria)","B (Yamagata)","B (lineage not determined)"
"1","United Kingdom, England","Non-sentinel","2013-40",2013-09-30,7,7,0,0,0,0,3,0,0,4
"2","United Kingdom, England","Non-sentinel","2013-41",2013-10-07,4,4,0,0,0,2,1,0,0,1
"3","United Kingdom, England","Non-sentinel","2013-42",2013-10-14,4,4,0,0,1,1,2,0,0,0
"4","United Kingdom, England","Non-sentinel","2013-43",2013-10-21,4,4,0,0,0,0,4,0,0,0
"5","United Kingdom, England","Non-sentinel","2013-44",2013-10-28,8,8,0,0,1,3,4,0,0,0
"6","United Kingdom, England","Non-sentinel","2013-45",2013-11-04,16,16,0,0,3,10,2,0,0,1
"7","United Kingdom, England","Non-sentinel","2013-46",2013-11-11,11,11,0,0,2,1,3,0,0,5
"8","United Kingdom, England","Non-sentinel","2013-47",2013-11-18,9,9,0,0,0,0,4,0,0,5
"9","United Kingdom, England","Non-sentinel","2013-48",2013-11-25,18,18,0,0,2,0,6,0,0,10
"10","United Kingdom, England","Non-sentinel","2013-49",2013-12-02,10,10,0,0,3,1,5,0,0,1
"11","United Kingdom, England","Non-sentinel","2013-50",2013-12-09,18,18,0,0,1,2,15,0,0,0
"12","United Kingdom, England","Non-sentinel","2013-51",2013-12-16,24,24,0,0,1,3,13,0,0,7
"13","United Kingdom, England","Non-sentinel","2013-52",2013-12-23,23,23,0,0,2,4,15,0,0,2
"14","United Kingdom, England","Non-sentinel","2014-01",2013-12-30,59,59,0,0,11,3,44,0,0,1
"15","United Kingdom, England","Non-sentinel","2014-02",2014-01-06,55,55,0,0,9,1,41,0,0,4
"16","United Kingdom, England","Non-sentinel","2014-03",2014-01-13,79,79,0,0,13,4,59,0,0,3
"17","United Kingdom, England","Non-sentinel","2014-04",2014-01-20,71,71,0,0,18,3,44,0,0,6
"18","United Kingdom, England","Non-sentinel","2014-05",2014-01-27,110,110,0,0,16,12,82,0,0,0
"19","United Kingdom, England","Non-sentinel","2014-06",2014-02-03,152,152,0,0,33,8,107,0,0,4
"20","United Kingdom, England","Non-sentinel","2014-07",2014-02-10,153,153,0,0,32,6,111,0,0,4
"21","United Kingdom, England","Non-sentinel","2014-08",2014-02-17,161,161,0,0,39,4,113,0,0,5
"22","United Kingdom, England","Non-sentinel","2014-09",2014-02-24,215,215,0,0,24,9,176,0,0,6
"23","United Kingdom, England","Non-sentinel","2014-10",2014-03-03,170,170,0,0,32,12,126,0,0,0
"24","United Kingdom, England","Non-sentinel","2014-11",2014-03-10,194,194,0,0,26,4,159,0,0,5
"25","United Kingdom, England","Non-sentinel","2014-12",2014-03-17,144,144,0,0,20,3,119,0,0,2
"26","United Kingdom, England","Non-sentinel","2014-13",2014-03-24,119,119,0,0,16,2,93,0,0,8
"27","United Kingdom, England","Non-sentinel","2014-14",2014-03-31,102,102,0,0,17,7,78,0,0,0
"28","United Kingdom, England","Non-sentinel","2014-15",2014-04-07,94,94,0,0,10,2,77,0,0,5
"29","United Kingdom, England","Non-sentinel","2014-16",2014-04-14,37,37,0,0,2,2,30,0,0,3
"30","United Kingdom, England","Non-sentinel","2014-17",2014-04-21,62,62,0,0,5,1,42,0,0,14
"31","United Kingdom, England","Non-sentinel","2014-18",2014-04-28,56,56,0,0,9,4,31,0,0,12
"32","United Kingdom, England","Non-sentinel","2014-19",2014-05-05,30,30,0,0,0,0,27,0,0,3
"33","United Kingdom, England","Non-sentinel","2014-20",2014-05-12,25,25,0,0,0,2,17,0,0,6
"34","United Kingdom, England","Non-sentinel","2014-40",2014-09-29,5,5,0,0,0,0,3,0,0,2
"35","United Kingdom, England","Non-sentinel","2014-41",2014-10-06,3,3,0,0,0,1,1,0,0,1
"36","United Kingdom, England","Non-sentinel","2014-42",2014-10-13,8,8,0,0,0,2,4,0,0,2
"37","United Kingdom, England","Non-sentinel","2014-43",2014-10-20,7,7,0,0,0,0,5,0,0,2
"38","United Kingdom, England","Non-sentinel","2014-44",2014-10-27,12,12,0,0,0,1,6,0,0,5
"39","United Kingdom, England","Non-sentinel","2014-45",2014-11-03,9,9,0,0,0,2,6,0,0,1
"40","United Kingdom, England","Non-sentinel","2014-46",2014-11-10,14,14,0,0,0,5,6,0,0,3
"41","United Kingdom, England","Non-sentinel","2014-47",2014-11-17,9,9,0,0,0,0,6,0,0,3
"42","United Kingdom, England","Non-sentinel","2014-48",2014-11-24,14,14,0,0,0,4,9,0,0,1
"43","United Kingdom, England","Non-sentinel","2014-49",2014-12-01,31,31,0,0,0,2,28,0,0,1
"44","United Kingdom, England","Non-sentinel","2014-50",2014-12-08,27,27,0,0,0,3,24,0,0,0
"45","United Kingdom, England","Non-sentinel","2015-40",2015-09-28,14,14,0,0,0,3,5,0,0,6
"46","United Kingdom, England","Non-sentinel","2015-41",2015-10-05,31,31,0,0,6,2,21,0,0,2
"47","United Kingdom, England","Non-sentinel","2015-42",2015-10-12,18,18,0,0,7,0,6,0,0,5
"48","United Kingdom, England","Non-sentinel","2015-43",2015-10-19,15,15,0,0,5,1,5,0,0,4
"49","United Kingdom, England","Non-sentinel","2015-44",2015-10-26,21,21,0,0,0,1,12,0,0,8
"50","United Kingdom, England","Non-sentinel","2015-45",2015-11-02,20,20,0,0,1,0,16,0,0,3
"51","United Kingdom, England","Non-sentinel","2015-46",2015-11-09,22,22,0,0,2,2,8,0,0,10
"52","United Kingdom, England","Non-sentinel","2015-47",2015-11-16,20,20,0,0,2,1,12,0,0,5
"53","United Kingdom, England","Non-sentinel","2015-48",2015-11-23,22,22,0,0,3,0,10,0,0,9
"54","United Kingdom, England","Non-sentinel","2015-49",2015-11-30,37,37,0,0,1,0,23,0,0,13
"55","United Kingdom, England","Non-sentinel","2015-50",2015-12-07,34,34,0,0,9,0,16,0,0,9
"56","United Kingdom, England","Non-sentinel","2015-51",2015-12-14,85,85,0,0,17,1,59,0,0,8
"57","United Kingdom, England","Non-sentinel","2015-52",2015-12-21,98,98,0,0,17,0,71,0,0,10
"58","United Kingdom, England","Non-sentinel","2015-53",2015-12-28,117,117,0,0,11,0,92,0,0,14
"59","United Kingdom, England","Non-sentinel","2016-01",2016-01-04,217,217,0,0,69,3,135,0,0,10
"60","United Kingdom, England","Non-sentinel","2016-02",2016-01-11,184,184,0,0,32,2,128,0,0,22
"61","United Kingdom, England","Non-sentinel","2016-03",2016-01-18,231,231,0,0,47,1,163,0,0,20
"62","United Kingdom, England","Non-sentinel","2016-04",2016-01-25,425,425,0,0,65,0,333,0,0,27
"63","United Kingdom, England","Non-sentinel","2016-05",2016-02-01,484,484,0,0,69,1,370,0,0,44
"64","United Kingdom, England","Non-sentinel","2016-06",2016-02-08,472,472,0,0,79,0,349,0,0,44
"65","United Kingdom, England","Non-sentinel","2016-07",2016-02-15,543,543,0,0,58,1,433,0,0,51
"66","United Kingdom, England","Non-sentinel","2016-08",2016-02-22,544,544,0,0,46,0,425,0,0,73
"67","United Kingdom, England","Non-sentinel","2016-09",2016-02-29,613,613,0,0,28,0,472,0,0,113
"68","United Kingdom, England","Non-sentinel","2016-10",2016-03-07,659,659,0,0,26,1,449,0,0,183
"69","United Kingdom, England","Non-sentinel","2016-11",2016-03-14,899,899,0,0,23,0,595,0,0,281
"70","United Kingdom, England","Non-sentinel","2016-12",2016-03-21,729,729,0,0,11,1,404,0,0,313
"71","United Kingdom, England","Non-sentinel","2016-13",2016-03-28,688,688,0,0,16,0,342,0,0,330
"72","United Kingdom, England","Non-sentinel","2016-14",2016-04-04,491,491,0,0,11,0,188,0,0,292
"73","United Kingdom, England","Non-sentinel","2016-15",2016-04-11,415,415,0,0,8,0,156,0,0,251
"74","United Kingdom, England","Non-sentinel","2016-16",2016-04-18,222,222,0,0,1,1,51,0,0,169
"75","United Kingdom, England","Non-sentinel","2016-17",2016-04-25,187,187,0,0,1,2,61,0,0,123
"76","United Kingdom, England","Non-sentinel","2016-18",2016-05-02,157,157,0,0,1,0,52,0,0,104
"77","United Kingdom, England","Non-sentinel","2016-19",2016-05-09,110,110,0,0,0,1,37,0,0,72
"78","United Kingdom, England","Non-sentinel","2016-20",2016-05-16,63,63,0,0,0,0,20,0,0,43
"79","United Kingdom, England","Non-sentinel","2016-21",2016-05-23,30,30,0,0,0,0,5,0,0,25
"80","United Kingdom, England","Non-sentinel","2016-22",2016-05-30,23,23,0,0,0,0,12,0,0,11
"81","United Kingdom, England","Non-sentinel","2016-40",2016-10-03,14,14,0,0,1,1,8,0,0,4
"82","United Kingdom, England","Non-sentinel","2016-41",2016-10-10,10,10,0,0,0,1,7,0,0,2
"83","United Kingdom, England","Non-sentinel","2016-42",2016-10-17,14,14,0,0,0,0,10,0,0,4
"84","United Kingdom, England","Non-sentinel","2016-43",2016-10-24,9,9,0,0,0,3,5,0,0,1
"85","United Kingdom, England","Non-sentinel","2016-44",2016-10-31,21,21,0,0,0,4,13,0,0,4
"86","United Kingdom, England","Non-sentinel","2016-45",2016-11-07,20,20,0,0,0,1,17,0,0,2
"87","United Kingdom, England","Non-sentinel","2016-46",2016-11-14,46,46,0,0,0,2,41,0,0,3
"88","United Kingdom, England","Non-sentinel","2016-47",2016-11-21,23,23,0,0,0,1,22,0,0,0
"89","United Kingdom, England","Non-sentinel","2016-48",2016-11-28,61,61,0,0,0,7,52,0,0,2
"90","United Kingdom, England","Non-sentinel","2016-49",2016-12-05,135,135,0,0,0,7,121,0,0,7
"91","United Kingdom, England","Non-sentinel","2016-50",2016-12-12,204,204,0,0,0,12,186,0,0,6
"92","United Kingdom, England","Non-sentinel","2016-51",2016-12-19,374,374,0,0,1,17,348,0,0,8
"93","United Kingdom, England","Non-sentinel","2016-52",2016-12-26,416,416,0,0,0,11,396,0,0,9
"94","United Kingdom, England","Non-sentinel","2017-01",2017-01-02,646,646,0,0,0,13,625,0,0,8
"95","United Kingdom, England","Non-sentinel","2017-02",2017-01-09,897,897,0,0,0,5,865,0,0,27
"96","United Kingdom, England","Non-sentinel","2017-03",2017-01-16,681,681,0,0,0,13,657,0,0,11
"97","United Kingdom, England","Non-sentinel","2017-04",2017-01-23,794,794,0,0,0,8,764,0,0,22
"98","United Kingdom, England","Non-sentinel","2017-05",2017-01-30,824,824,0,0,1,12,773,0,0,38
"99","United Kingdom, England","Non-sentinel","2017-06",2017-02-06,579,579,0,0,1,9,547,0,0,22
"100","United Kingdom, England","Non-sentinel","2017-07",2017-02-13,379,379,0,0,0,7,348,0,0,24
"101","United Kingdom, England","Non-sentinel","2017-08",2017-02-20,445,445,0,0,0,11,407,0,0,27
"102","United Kingdom, England","Non-sentinel","2017-09",2017-02-27,321,321,0,0,0,2,293,0,0,26
"103","United Kingdom, England","Non-sentinel","2017-10",2017-03-06,162,162,0,0,1,13,123,0,0,25
"104","United Kingdom, England","Non-sentinel","2017-11",2017-03-13,95,95,0,0,0,7,73,0,0,15
"105","United Kingdom, England","Non-sentinel","2017-12",2017-03-20,78,78,0,0,0,2,58,0,0,18
"106","United Kingdom, England","Non-sentinel","2017-13",2017-03-27,68,68,0,0,0,1,33,0,0,34
"107","United Kingdom, England","Non-sentinel","2017-14",2017-04-03,64,64,0,0,0,2,36,0,0,26
"108","United Kingdom, England","Non-sentinel","2017-15",2017-04-10,38,38,0,0,1,0,17,0,0,20
"109","United Kingdom, England","Non-sentinel","2017-16",2017-04-17,41,41,0,0,0,1,15,0,0,25
"110","United Kingdom, England","Non-sentinel","2017-17",2017-04-24,49,49,0,0,0,1,17,0,0,31
"111","United Kingdom, England","Non-sentinel","2017-18",2017-05-01,36,36,0,0,0,0,6,0,0,30
"112","United Kingdom, England","Non-sentinel","2017-19",2017-05-08,36,36,0,0,0,0,11,0,0,25
"113","United Kingdom, England","Non-sentinel","2017-20",2017-05-15,49,49,0,0,0,0,16,0,0,33
"114","United Kingdom, England","Non-sentinel","2017-40",2017-10-02,34,34,0,0,2,1,22,0,0,9
"115","United Kingdom, England","Non-sentinel","2017-41",2017-10-09,36,36,0,0,1,2,21,0,0,12
"116","United Kingdom, England","Non-sentinel","2017-42",2017-10-16,21,21,0,0,0,1,14,0,0,6
"117","United Kingdom, England","Non-sentinel","2017-43",2017-10-23,23,23,0,0,0,1,17,0,0,5
"118","United Kingdom, England","Non-sentinel","2017-44",2017-10-30,26,26,0,0,0,2,18,0,0,6
"119","United Kingdom, England","Non-sentinel","2017-45",2017-11-06,29,29,0,0,0,3,18,0,0,8
"120","United Kingdom, England","Non-sentinel","2017-46",2017-11-13,51,51,0,0,2,9,25,0,0,15
"121","United Kingdom, England","Non-sentinel","2017-47",2017-11-20,78,78,0,0,3,1,46,0,0,28
"122","United Kingdom, England","Non-sentinel","2017-48",2017-11-27,73,73,0,0,5,5,44,0,0,19
"123","United Kingdom, England","Non-sentinel","2017-49",2017-12-04,166,166,0,0,12,5,90,0,0,59
"124","United Kingdom, England","Non-sentinel","2017-50",2017-12-11,296,296,0,0,13,7,139,0,0,137
"125","United Kingdom, England","Non-sentinel","2017-51",2017-12-18,765,765,0,0,17,10,338,0,0,400
"126","United Kingdom, England","Non-sentinel","2017-52",2017-12-25,1075,1075,0,0,3,4,425,0,0,643
"127","United Kingdom, England","Non-sentinel","2018-01",2018-01-01,1967,1967,0,0,11,6,829,0,0,1121
"128","United Kingdom, England","Non-sentinel","2018-02",2018-01-08,2289,2289,0,0,11,3,902,0,0,1373
"129","United Kingdom, England","Non-sentinel","2018-03",2018-01-15,2321,2321,0,0,26,20,858,0,0,1417
"130","United Kingdom, England","Non-sentinel","2018-04",2018-01-22,2404,2404,0,0,11,16,961,0,0,1416
