"Measure","Time","Time_type","Geography","Geography_type","Geography_code","Ethnicity","Ethnicity_type","Age_Group","Value1","Value1_type","Value2","Value2_type","Numerator","Denominator"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","All","All","All","100","% of Total Age Group Population","100","% of Total Ethnic Group Population","59597435","59597435"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","All","All","All","100","% of Total Age Group Population","100","% of Total Ethnic Group Population","56489930","56489930"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","All","All","All","100","% of Total Age Group Population","100","% of Total Ethnic Group Population","3106455","3106455"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","All","All","All","100","% of Total Age Group Population","100","% of Total Ethnic Group Population","4879330","4879330"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","All","All","All","100","% of Total Age Group Population","100","% of Total Ethnic Group Population","6334525","6334525"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","All","All","All","100","% of Total Age Group Population","100","% of Total Ethnic Group Population","8799600","8799600"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","All","All","All","100","% of Total Age Group Population","100","% of Total Ethnic Group Population","2645975","2645975"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","All","All","All","100","% of Total Age Group Population","100","% of Total Ethnic Group Population","7416625","7416625"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","All","All","All","100","% of Total Age Group Population","100","% of Total Ethnic Group Population","9277625","9277625"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","All","All","All","100","% of Total Age Group Population","100","% of Total Ethnic Group Population","5700670","5700670"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","All","All","All","100","% of Total Age Group Population","100","% of Total Ethnic Group Population","5950205","5950205"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","All","All","All","100","% of Total Age Group Population","100","% of Total Ethnic Group Population","5480000","5480000"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Asian","ONS 2021 5+1","All","9.254500634","% of Total Age Group Population","100","% of Total Ethnic Group Population","5515445","59597435"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Asian","ONS 2021 5+1","All","9.605897901","% of Total Age Group Population","100","% of Total Ethnic Group Population","5426365","56489930"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Asian","ONS 2021 5+1","All","2.858241951","% of Total Age Group Population","100","% of Total Ethnic Group Population","88790","3106455"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Asian","ONS 2021 5+1","All","8.01267797","% of Total Age Group Population","100","% of Total Ethnic Group Population","390965","4879330"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Asian","ONS 2021 5+1","All","6.405215861","% of Total Age Group Population","100","% of Total Ethnic Group Population","405740","6334525"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Asian","ONS 2021 5+1","All","20.65593891","% of Total Age Group Population","100","% of Total Ethnic Group Population","1817640","8799600"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Asian","ONS 2021 5+1","All","3.700904204","% of Total Age Group Population","100","% of Total Ethnic Group Population","97925","2645975"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Asian","ONS 2021 5+1","All","8.393642661","% of Total Age Group Population","100","% of Total Ethnic Group Population","622525","7416625"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Asian","ONS 2021 5+1","All","7.010953773","% of Total Age Group Population","100","% of Total Ethnic Group Population","650450","9277625"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Asian","ONS 2021 5+1","All","2.789672091","% of Total Age Group Population","100","% of Total Ethnic Group Population","159030","5700670"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Asian","ONS 2021 5+1","All","13.34727123","% of Total Age Group Population","100","% of Total Ethnic Group Population","794190","5950205"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Asian","ONS 2021 5+1","All","8.884854015","% of Total Age Group Population","100","% of Total Ethnic Group Population","486890","5480000"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Bangladeshi","ONS 2021 19+1","All","1.082059991","% of Total Age Group Population","100","% of Total Ethnic Group Population","644880","59597435"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Bangladeshi","ONS 2021 19+1","All","1.114455267","% of Total Age Group Population","100","% of Total Ethnic Group Population","629555","56489930"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Bangladeshi","ONS 2021 19+1","All","0.4901085","% of Total Age Group Population","100","% of Total Ethnic Group Population","15225","3106455"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Bangladeshi","ONS 2021 19+1","All","0.429259755","% of Total Age Group Population","100","% of Total Ethnic Group Population","20945","4879330"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Bangladeshi","ONS 2021 19+1","All","0.799823191","% of Total Age Group Population","100","% of Total Ethnic Group Population","50665","6334525"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Bangladeshi","ONS 2021 19+1","All","3.659825447","% of Total Age Group Population","100","% of Total Ethnic Group Population","322050","8799600"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Bangladeshi","ONS 2021 19+1","All","0.616030008","% of Total Age Group Population","100","% of Total Ethnic Group Population","16300","2645975"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Bangladeshi","ONS 2021 19+1","All","0.820049551","% of Total Age Group Population","100","% of Total Ethnic Group Population","60820","7416625"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Bangladeshi","ONS 2021 19+1","All","0.429420245","% of Total Age Group Population","100","% of Total Ethnic Group Population","39840","9277625"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Bangladeshi","ONS 2021 19+1","All","0.213220551","% of Total Age Group Population","100","% of Total Ethnic Group Population","12155","5700670"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Bangladeshi","ONS 2021 19+1","All","1.302476133","% of Total Age Group Population","100","% of Total Ethnic Group Population","77500","5950205"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Bangladeshi","ONS 2021 19+1","All","0.528923358","% of Total Age Group Population","100","% of Total Ethnic Group Population","28985","5480000"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Chinese","ONS 2021 19+1","All","0.747699964","% of Total Age Group Population","100","% of Total Ethnic Group Population","445610","59597435"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Chinese","ONS 2021 19+1","All","0.76325993","% of Total Age Group Population","100","% of Total Ethnic Group Population","431165","56489930"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Chinese","ONS 2021 19+1","All","0.464194717","% of Total Age Group Population","100","% of Total Ethnic Group Population","14420","3106455"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Chinese","ONS 2021 19+1","All","0.470248989","% of Total Age Group Population","100","% of Total Ethnic Group Population","22945","4879330"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Chinese","ONS 2021 19+1","All","0.606517458","% of Total Age Group Population","100","% of Total Ethnic Group Population","38420","6334525"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Chinese","ONS 2021 19+1","All","1.676212555","% of Total Age Group Population","100","% of Total Ethnic Group Population","147500","8799600"
