date,H3_sum,flu_pos_sum,Year,Week
2011-01-09,19,1990,2011,1
2011-01-16,35,1510,2011,2
2011-01-23,16,783,2011,3
2011-01-30,5,400,2011,4
2011-02-06,21,229,2011,5
2011-02-13,10,151,2011,6
2011-02-20,0,149,2011,7
2011-02-27,11,83,2011,8
2011-03-06,7,35,2011,9
2011-03-13,3,18,2011,10
2011-03-20,0,29,2011,11
2011-03-27,0,16,2011,12
2011-04-03,0,13,2011,13
2011-04-10,0,8,2011,14
2011-04-17,0,7,2011,15
2011-04-24,0,7,2011,16
2011-05-01,0,6,2011,17
2011-05-08,0,7,2011,18
2011-05-15,0,1,2011,19
2011-05-22,0,5,2011,20
2011-05-29,0,3,2011,21
2011-06-05,0,3,2011,22
2011-06-12,0,1,2011,23
2011-06-19,1,2,2011,24
2011-06-26,0,1,2011,25
2011-07-03,0,4,2011,26
2011-07-10,0,6,2011,27
2011-07-17,0,3,2011,28
2011-07-24,2,2,2011,29
2011-07-31,0,2,2011,30
2011-08-07,0,1,2011,31
2011-08-14,0,2,2011,32
2011-08-21,1,2,2011,33
2011-08-28,0,1,2011,34
2011-09-04,0,2,2011,35
2011-09-11,0,0,2011,36
2011-09-18,2,2,2011,37
2011-09-25,0,1,2011,38
2011-10-02,0,0,2011,39
2011-10-09,4,6,2011,40
2011-10-16,0,2,2011,41
2011-10-23,5,6,2011,42
2011-10-30,3,5,2011,43
2011-11-06,0,2,2011,44
2011-11-13,3,3,2011,45
2011-11-20,0,7,2011,46
2011-11-27,6,8,2011,47
2011-12-04,2,3,2011,48
2011-12-11,6,8,2011,49
2011-12-18,7,8,2011,50
2011-12-25,29,30,2011,51
2012-01-01,33,33,2011,52
2012-01-08,65,71,2012,1
2012-01-15,25,25,2012,2
2012-01-22,62,63,2012,3
2012-01-29,66,67,2012,4
2012-02-05,83,91,2012,5
2012-02-12,89,91,2012,6
2012-02-19,140,142,2012,7
2012-02-26,251,262,2012,8
2012-03-04,218,226,2012,9
2012-03-11,168,191,2012,10
2012-03-18,158,175,2012,11
2012-03-25,148,162,2012,12
2012-04-01,237,275,2012,13
2012-04-08,55,61,2012,14
2012-04-15,54,66,2012,15
2012-04-22,44,67,2012,16
2012-04-29,45,58,2012,17
2012-05-06,15,27,2012,18
2012-05-13,18,24,2012,19
2012-05-20,8,14,2012,20
2012-05-27,5,15,2012,21
2012-06-03,3,17,2012,22
2012-06-10,11,19,2012,23
2012-06-17,0,30,2012,24
2012-06-24,2,5,2012,25
2012-07-01,0,4,2012,26
2012-07-08,0,5,2012,27
2012-07-15,0,7,2012,28
2012-07-22,0,3,2012,29
2012-07-29,0,2,2012,30
2012-08-05,0,6,2012,31
2012-08-12,0,10,2012,32
2012-08-19,0,1,2012,33
2012-08-26,4,4,2012,34
2012-09-02,0,1,2012,35
2012-09-09,0,5,2012,36
2012-09-16,0,4,2012,37
2012-09-23,0,9,2012,38
2012-09-30,0,7,2012,39
2012-10-07,0,3,2012,40
2012-10-14,0,5,2012,41
2012-10-21,0,2,2012,42
2012-10-28,4,9,2012,43
2012-11-04,10,18,2012,44
2012-11-11,13,17,2012,45
2012-11-18,11,23,2012,46
2012-11-25,9,26,2012,47
2012-12-02,3,31,2012,48
2012-12-09,20,56,2012,49
2012-12-16,11,95,2012,50
2012-12-23,44,222,2012,51
2012-12-30,31,161,2012,52
2013-01-06,41,257,2012,1
2013-01-13,69,325,2013,2
2013-01-20,48,160,2013,3
2013-01-27,52,181,2013,4
2013-02-03,101,243,2013,5
2013-02-10,175,342,2013,6
2013-02-17,112,287,2013,7
2013-02-24,157,324,2013,8
2013-03-03,126,225,2013,9
2013-03-10,141,348,2013,10
2013-03-17,127,277,2013,11
2013-03-24,104,186,2013,12
2013-03-31,120,193,2013,13
2013-04-07,61,119,2013,14
2013-04-14,104,166,2013,15
2013-04-21,106,183,2013,16
2013-04-28,31,73,2013,17
2013-05-05,10,41,2013,18
2013-05-12,0,25,2013,19
2013-05-19,9,15,2013,20
2013-05-26,0,15,2013,21
2013-06-02,14,20,2013,22
2013-06-09,4,4,2013,23
2013-06-16,2,2,2013,24
2013-06-23,0,2,2013,25
2013-06-30,0,1,2013,26
2013-07-07,0,8,2013,27
2013-07-14,0,2,2013,28
2013-07-21,0,2,2013,29
2013-07-28,3,4,2013,30
2013-08-04,0,2,2013,31
2013-08-11,0,0,2013,32
2013-08-18,0,4,2013,33
2013-08-25,0,2,2013,34
2013-09-01,0,2,2013,35
2013-09-08,0,3,2013,36
2013-10-06,0,7,2013,40
2013-10-13,3,4,2013,41
2013-10-20,2,4,2013,42
2013-10-27,0,4,2013,43
2013-11-03,6,10,2013,44
2013-11-10,13,18,2013,45
2013-11-17,2,11,2013,46
2013-11-24,0,9,2013,47
2013-12-01,0,18,2013,48
2013-12-08,2,11,2013,49
2013-12-15,16,24,2013,50
2013-12-22,16,29,2013,51
2013-12-29,14,24,2013,52
2014-01-05,14,62,2013,1
2014-01-12,7,69,2014,2
2014-01-19,22,91,2014,3
2014-01-26,12,82,2014,4
2014-02-02,49,119,2014,5
