Date,Age,fluB,H1,H3,A
08/09/2025,5,0,0,0,0
15/09/2025,5,0,0,0,0
22/09/2025,5,0,0,0,0
29/09/2025,5,0,0.01,0.02,0
06/10/2025,5,0,0.01,0.05,0
13/10/2025,5,0,0.01,0.15,0.01
20/10/2025,5,0,0.04,0.28,0.02
27/10/2025,5,0,0.01,0.3,0
03/11/2025,5,0,0,0.13,0
10/11/2025,5,0,0.01,0.26,0.01
17/11/2025,5,0,0,0.31,0.01
24/11/2025,5,0.02,0,0.52,0.01
01/12/2025,5,0,0,0.54,0
08/12/2025,5,0,0.01,0.65,0
15/12/2025,5,0.02,0.01,0.44,0
22/12/2025,5,0,0,0.14,0.01
29/12/2025,5,0,0,0.08,0.01
05/01/2026,5,0,0.01,0.08,0
12/01/2026,5,0,0.03,0.07,0.01
19/01/2026,5,0,0.01,0.1,0
26/01/2026,5,0.01,0.01,0.1,0.01
02/02/2026,5,0.02,0,0.05,0
09/02/2026,5,0,0,0.02,0
16/02/2026,5,0.01,0,0,0
23/02/2026,5,0.01,0,0.02,0
02/03/2026,5,0,0,0.01,0
09/03/2026,5,0,0.02,0,0
16/03/2026,5,0,0.01,0.01,0
23/03/2026,5,0,0,0,0
30/03/2026,5,0.01,0,0,0
08/09/2025,<5,0,0,0,0
15/09/2025,<5,0,0.01,0.01,0
22/09/2025,<5,0,0,0,0
29/09/2025,<5,0,0,0,0
06/10/2025,<5,0,0.01,0.05,0
13/10/2025,<5,0,0.02,0.02,0.01
20/10/2025,<5,0,0,0.03,0
27/10/2025,<5,0,0.02,0.11,0
03/11/2025,<5,0,0,0.13,0
10/11/2025,<5,0,0.01,0.14,0
17/11/2025,<5,0.01,0,0.13,0
24/11/2025,<5,0,0.01,0.26,0
01/12/2025,<5,0,0,0.15,0.01
08/12/2025,<5,0,0,0.26,0
15/12/2025,<5,0,0.02,0.34,0
22/12/2025,<5,0,0,0.1,0
29/12/2025,<5,0,0.01,0.08,0
05/01/2026,<5,0,0,0.07,0.02
12/01/2026,<5,0,0,0.05,0
19/01/2026,<5,0,0.01,0.04,0
26/01/2026,<5,0,0.02,0.04,0
02/02/2026,<5,0,0,0.03,0
09/02/2026,<5,0,0.01,0.01,0
16/02/2026,<5,0,0,0.03,0
23/02/2026,<5,0,0.01,0,0
02/03/2026,<5,0,0.02,0,0
09/03/2026,<5,0,0,0,0
16/03/2026,<5,0,0,0,0
23/03/2026,<5,0,0,0,0
30/03/2026,<5,0,0,0,0
08/09/2025,18,0,0,0.03,0
15/09/2025,18,0,0,0,0
22/09/2025,18,0,0.01,0.02,0
29/09/2025,18,0.02,0.04,0.05,0
06/10/2025,18,0,0.04,0.08,0
13/10/2025,18,0,0.07,0.11,0
20/10/2025,18,0,0.04,0.24,0.01
27/10/2025,18,0,0.06,0.3,0
03/11/2025,18,0,0.03,0.35,0
10/11/2025,18,0,0.04,0.3,0
17/11/2025,18,0,0.05,0.47,0
24/11/2025,18,0,0.08,0.61,0.02
01/12/2025,18,0,0.07,1.16,0.02
08/12/2025,18,0,0.07,1.12,0.01
15/12/2025,18,0,0.1,1.14,0.03
22/12/2025,18,0,0.03,0.67,0.03
29/12/2025,18,0,0.08,0.51,0.02
05/01/2026,18,0.02,0.11,0.68,0
12/01/2026,18,0.01,0.12,0.28,0.03
19/01/2026,18,0.02,0.16,0.34,0.02
26/01/2026,18,0,0.06,0.13,0.01
02/02/2026,18,0.01,0.07,0.11,0.01
09/02/2026,18,0.01,0.04,0.12,0.01
16/02/2026,18,0,0.03,0.04,0
23/02/2026,18,0.01,0.06,0.01,0
02/03/2026,18,0,0.01,0.04,0
09/03/2026,18,0,0.02,0.01,0
16/03/2026,18,0.01,0.01,0,0
23/03/2026,18,0.01,0.05,0.02,0
30/03/2026,18,0,0,0,0.01
08/09/2025,65+,0,0,0.02,0
15/09/2025,65+,0,0,0,0
22/09/2025,65+,0,0.01,0,0
29/09/2025,65+,0,0.03,0,0
06/10/2025,65+,0,0.02,0.01,0
13/10/2025,65+,0,0.04,0,0
20/10/2025,65+,0,0.06,0.06,0
27/10/2025,65+,0,0,0.03,0
03/11/2025,65+,0,0.04,0.08,0
10/11/2025,65+,0,0,0.1,0
17/11/2025,65+,0,0.01,0.12,0.01
24/11/2025,65+,0,0.01,0.11,0
01/12/2025,65+,0,0.01,0.29,0
08/12/2025,65+,0,0,0.36,0.03
15/12/2025,65+,0,0.04,0.27,0
22/12/2025,65+,0,0.01,0.25,0
29/12/2025,65+,0,0.01,0.21,0
05/01/2026,65+,0,0.01,0.15,0
12/01/2026,65+,0,0.03,0.15,0.01
19/01/2026,65+,0,0.02,0.1,0.02
26/01/2026,65+,0,0.04,0.06,0.01
02/02/2026,65+,0,0.01,0.08,0
09/02/2026,65+,0,0.01,0.04,0
16/02/2026,65+,0,0,0,0
23/02/2026,65+,0,0,0.01,0
02/03/2026,65+,0,0,0.02,0
09/03/2026,65+,0,0.03,0.01,0
16/03/2026,65+,0,0.03,0.01,0
23/03/2026,65+,0,0,0,0
30/03/2026,65+,0,0,0,0.01
