i,name,Age,value,Date
89,fluB,5,0,08/09/2025
89,H1,5,0,08/09/2025
89,H3,5,0,08/09/2025
89,A,5,0,08/09/2025
90,fluB,5,0,15/09/2025
90,H1,5,0,15/09/2025
90,H3,5,0,15/09/2025
90,A,5,0,15/09/2025
91,fluB,5,0,22/09/2025
91,H1,5,0,22/09/2025
91,H3,5,0,22/09/2025
91,A,5,0,22/09/2025
92,fluB,5,0,29/09/2025
92,H1,5,0.01,29/09/2025
92,H3,5,0.02,29/09/2025
92,A,5,0,29/09/2025
93,fluB,5,0,06/10/2025
93,H1,5,0.01,06/10/2025
93,H3,5,0.05,06/10/2025
93,A,5,0,06/10/2025
94,fluB,5,0,13/10/2025
94,H1,5,0.01,13/10/2025
94,H3,5,0.15,13/10/2025
94,A,5,0.01,13/10/2025
95,fluB,5,0,20/10/2025
95,H1,5,0.04,20/10/2025
95,H3,5,0.28,20/10/2025
95,A,5,0.02,20/10/2025
96,fluB,5,0,27/10/2025
96,H1,5,0.01,27/10/2025
96,H3,5,0.3,27/10/2025
96,A,5,0,27/10/2025
97,fluB,5,0,03/11/2025
97,H1,5,0,03/11/2025
97,H3,5,0.13,03/11/2025
97,A,5,0,03/11/2025
98,fluB,5,0,10/11/2025
98,H1,5,0.01,10/11/2025
98,H3,5,0.26,10/11/2025
98,A,5,0.01,10/11/2025
99,fluB,5,0,17/11/2025
99,H1,5,0,17/11/2025
99,H3,5,0.31,17/11/2025
99,A,5,0.01,17/11/2025
100,fluB,5,0.02,24/11/2025
100,H1,5,0,24/11/2025
100,H3,5,0.52,24/11/2025
100,A,5,0.01,24/11/2025
101,fluB,5,0,01/12/2025
101,H1,5,0,01/12/2025
101,H3,5,0.54,01/12/2025
101,A,5,0,01/12/2025
102,fluB,5,0,08/12/2025
102,H1,5,0.01,08/12/2025
102,H3,5,0.65,08/12/2025
102,A,5,0,08/12/2025
103,fluB,5,0.02,15/12/2025
103,H1,5,0.01,15/12/2025
103,H3,5,0.44,15/12/2025
103,A,5,0,15/12/2025
104,fluB,5,0,22/12/2025
104,H1,5,0,22/12/2025
104,H3,5,0.14,22/12/2025
104,A,5,0.01,22/12/2025
105,fluB,5,0,29/12/2025
105,H1,5,0,29/12/2025
105,H3,5,0.08,29/12/2025
105,A,5,0.01,29/12/2025
106,fluB,5,0,05/01/2026
106,H1,5,0.01,05/01/2026
106,H3,5,0.08,05/01/2026
106,A,5,0,05/01/2026
107,fluB,5,0,12/01/2026
107,H1,5,0.03,12/01/2026
107,H3,5,0.07,12/01/2026
107,A,5,0.01,12/01/2026
108,fluB,5,0,19/01/2026
108,H1,5,0.01,19/01/2026
108,H3,5,0.1,19/01/2026
108,A,5,0,19/01/2026
109,fluB,5,0.01,26/01/2026
109,H1,5,0.01,26/01/2026
109,H3,5,0.1,26/01/2026
109,A,5,0.01,26/01/2026
110,fluB,5,0.02,02/02/2026
110,H1,5,0,02/02/2026
110,H3,5,0.05,02/02/2026
110,A,5,0,02/02/2026
111,fluB,5,0,09/02/2026
111,H1,5,0,09/02/2026
