date,Week,Influenza A not subtyped,Influenza A H1N1pdm09,Influenza A H3N2,Influenza B,Percentage testing positive for overall influenza,Year
27/04/2009,18,20,29,2,3,4.7,2009
04/05/2009,19,10,42,0,2,7,2009
11/05/2009,20,13,34,2,0,8.6,2009
18/05/2009,21,7,77,0,0,13.7,2009
25/05/2009,22,7,128,0,0,19.9,2009
01/06/2009,23,17,150,1,1,12.9,2009
08/06/2009,24,21,550,0,1,22.2,2009
15/06/2009,25,46,1680,0,2,27.2,2009
22/06/2009,26,68,3705,0,1,35.8,2009
29/06/2009,27,48,2098,0,0,28.3,2009
06/07/2009,28,17,627,0,1,22.5,2009
13/07/2009,29,10,664,1,0,17.5,2009
20/07/2009,30,16,577,1,0,15.5,2009
27/07/2009,31,8,315,0,0,11.1,2009
03/08/2009,32,2,200,0,0,9.6,2009
10/08/2009,33,3,105,1,0,7.7,2009
17/08/2009,34,2,86,0,0,8.3,2009
24/08/2009,35,6,78,0,0,9.2,2009
31/08/2009,36,2,56,0,0,7.9,2009
07/09/2009,37,2,99,0,0,10.7,2009
14/09/2009,38,6,126,0,0,12,2009
21/09/2009,39,16,190,1,0,14.1,2009
28/09/2009,40,26,250,0,0,18.2,2009
05/10/2009,41,25,372,0,0,22.9,2009
12/10/2009,42,26,725,0,0,33.7,2009
19/10/2009,43,34,952,0,0,34.8,2009
26/10/2009,44,34,1164,0,0,36,2009
02/11/2009,45,36,876,0,0,30,2009
09/11/2009,46,34,819,0,0,24.7,2009
16/11/2009,47,28,909,0,0,23.1,2009
23/11/2009,48,38,714,0,0,20.7,2009
30/11/2009,49,34,510,0,0,17.3,2009
07/12/2009,50,47,376,0,0,14.7,2009
14/12/2009,51,39,301,3,1,13.2,2009
21/12/2009,52,63,275,0,0,15.3,2009
04/01/2010,1,1,161,0,0,9.4,2010
11/01/2010,2,2,112,0,0,7.4,2010
18/01/2010,3,2,59,0,2,5.1,2010
25/01/2010,4,1,48,0,2,4.8,2010
01/02/2010,5,0,39,0,2,3.9,2010
08/02/2010,6,0,37,0,1,3.8,2010
15/02/2010,7,1,20,0,2,2.7,2010
22/02/2010,8,0,17,0,2,2.2,2010
01/03/2010,9,0,7,0,3,1.5,2010
08/03/2010,10,0,12,0,5,2.6,2010
15/03/2010,11,0,15,0,4,2.9,2010
22/03/2010,12,0,15,0,5,3.4,2010
29/03/2010,13,0,7,0,4,2.2,2010
05/04/2010,14,0,3,0,5,1.9,2010
12/04/2010,15,0,1,0,4,1,2010
19/04/2010,16,0,5,0,1,1.4,2010
26/04/2010,17,0,2,0,1,0.7,2010
03/05/2010,18,0,1,0,1,0.6,2010
10/05/2010,19,0,1,0,0,0.2,2010
17/05/2010,20,0,0,0,3,0.7,2010
24/05/2010,21,0,0,0,5,1.1,2010
31/05/2010,22,0,0,0,0,0,2010
07/06/2010,23,0,0,1,2,0.8,2010
14/06/2010,24,0,2,0,3,1.5,2010
21/06/2010,25,0,0,0,1,0.3,2010
28/06/2010,26,0,0,0,0,0,2010
05/07/2010,27,0,2,0,0,0.7,2010
12/07/2010,28,0,0,0,0,0,2010
19/07/2010,29,1,2,0,0,0.9,2010
26/07/2010,30,0,0,0,1,0.3,2010
02/08/2010,31,0,7,0,1,2.5,2010
09/08/2010,32,0,0,0,2,0.6,2010
16/08/2010,33,0,8,0,1,3,2010
23/08/2010,34,0,1,1,0,0.6,2010
30/08/2010,35,0,1,0,0,0.3,2010
06/09/2010,36,0,2,0,0,0.6,2010
13/09/2010,37,0,0,0,1,0.3,2010
20/09/2010,38,0,4,0,0,1,2010
27/09/2010,39,1,3,0,1,1.1,2010
04/10/2010,40,1,6,0,3,1.7,2010
11/10/2010,41,1,4,0,3,1.3,2010
18/10/2010,42,0,8,0,3,2.2,2010
25/10/2010,43,0,10,1,3,2.2,2010
01/11/2010,44,1,17,0,8,3.4,2010
08/11/2010,45,1,14,0,4,2.7,2010
15/11/2010,46,1,22,1,14,4.4,2010
22/11/2010,47,1,80,3,40,11.8,2010
29/11/2010,48,3,171,2,50,19.4,2010
06/12/2010,49,8,465,3,104,32.6,2010
13/12/2010,50,46,1441,4,336,46.8,2010
20/12/2010,51,90,2372,5,611,50,2010
27/12/2010,52,112,2309,10,642,47,2010
03/01/2011,1,87,1216,3,451,32.7,2011
10/01/2011,2,46,549,3,333,22.6,2011
17/01/2011,3,14,200,4,205,15.7,2011
24/01/2011,4,6,132,2,133,12.7,2011
31/01/2011,5,7,58,2,84,8.4,2011
07/02/2011,6,2,35,0,64,7.1,2011
14/02/2011,7,3,10,1,44,5.3,2011
21/02/2011,8,0,11,4,15,3,2011
28/02/2011,9,1,3,0,19,2.5,2011
07/03/2011,10,0,1,0,7,1,2011
14/03/2011,11,1,2,0,8,1.5,2011
21/03/2011,12,0,0,0,3,0.4,2011
