Year ,Week,1-4yrs,5-14yrs,15-64yrs,65+yrs,All ages
2025,1,33.8,9.2,21.5,32.3,22.4
,2,26.2,11.8,25.9,29.4,24.7
,3,28,14,18.8,18.1,18.3
,4,26.4,14.9,16.5,15.4,16.5
,5,26.6,12.1,15.1,11.1,14.8
,6,20.7,10.4,13.8,9.6,13.2
,7,15.7,7,12.6,9.3,11.9
,8,12.9,5.2,12,7.7,10.8
,10,11.1,5.2,9.3,5.8,8.3
,11,8.4,5.1,7.9,4.9,7.1
,12,6.7,5.4,7.3,4.5,6.6
,13,6.8,4.7,6.5,4.5,5.9
,14,5.6,3.2,5.5,5.4,5.2
,15,4.8,2,4.4,5.1,4.3
,16,1.9,0.8,3,2.5,2.7
,17,1.9,0.8,2.7,1.8,2.3
,18,2.1,0.8,2.2,1.9,2
,19,1,0.6,1.8,1.4,1.5
,20,2,0.9,2,1,1.7
,21,1.5,1.3,1.7,1.3,1.6
,22,1.6,0.3,1.6,1.2,1.4
,23,1.6,0.7,2.2,2,2
,24,0.5,1.2,2.1,1.5,1.8
,25,1.2,1,1.4,0.8,1.2
,26,0.6,0.8,1.4,0.8,1.2
,27,0.5,0.5,1.3,0.6,1
,28,1.3,0.7,1.3,0.9,1.2
,29,0.5,0.9,1.1,0.7,1
,30,0.7,0.3,1.4,0.6,1.1
,31,0.5,0.2,1.4,1.1,1.2
,32,0.8,0.3,1.3,0.9,1.1
,33,1.1,0.2,1.4,1,1.2
,34,0,0.3,1.4,1,1.2
,35,0.7,0.2,1.2,1.1,1
,36,0.7,0.7,1.9,1,1.6
,37,0.7,0.8,2,1.2,1.7
,38,2.8,1.7,2.2,1.6,2
,39,2.5,2.2,3.7,2.7,3.3
,40,3.2,2.8,4.8,3.1,4.2
,41,4.7,4.6,6,4.1,5.4
,42,7.2,4.8,6,4.1,5.6
,43,10.3,6.5,6,4.8,6
2024,1,4.3,3,8.6,7.2,7.5
,2,4.9,3.3,9.1,7.7,8
,3,7.1,5.7,8.4,5.5,7.5
,4,11.1,9.2,10.7,7,9.8
,5,15,8.1,9.8,8.5,9.6
,6,10.9,7.9,9.7,7.5,9.1
,7,9.9,5.5,8,6.9,7.6
,8,5.5,4.9,7.2,6,6.7
,9,6.6,4.2,6.2,6,5.7
,10,4.7,3.3,6,4.4,5.3
,11,5.4,4.2,6,4.2,5.5
,12,3,4.3,5.4,3.9,4.9
,13,2,2.5,3.9,2.5,3.4
,14,2.3,1.6,3.8,3.4,3.4
,15,1.5,1.6,3.8,3.1,3.3
,16,1.1,1.2,3.7,2.2,3
,17,0.9,1.6,3.5,2.1,2.9
,18,0.9,2,3.3,2.3,2.8
,19,1,1.7,2.1,0.8,1.7
,20,0.8,1.2,2.8,1.7,2.3
,21,1.4,1.1,2.1,1.2,1.8
,22,1.5,0.4,1.9,1.3,1.6
,23,1.4,1.1,2.2,1.3,1.9
,24,1.5,1.2,2.6,1.4,2.2
,25,1.5,1,2.3,1.5,2
,26,1,1,1.9,1,1.6
,27,1,0.6,1.8,1.6,1.6
,28,1.6,0.9,2.3,2.2,2
,29,1.3,0.8,2.1,2.1,2
,30,0.9,0.4,2.3,2.1,1.9
,31,0.9,0.3,1.7,1.4,2
,32,0.1,0.3,1.3,1,1.5
,33,0.9,0.2,1.2,1,1.1
,34,0.6,0.4,1.2,1,1.1
,35,0.6,0.2,1,0.9,0.9
