Week_commencing,B,H1N1,H3,A,age_group
2022-01-10,NA,NA,NA,NA,less than 5
2022-01-17,NA,NA,NA,NA,less than 5
2022-01-24,NA,NA,1,NA,less than 5
2022-01-31,NA,NA,NA,NA,less than 5
2022-02-07,NA,NA,NA,NA,less than 5
2022-02-14,NA,NA,NA,NA,less than 5
2022-02-21,NA,NA,NA,NA,less than 5
2022-02-28,NA,NA,NA,NA,less than 5
2022-03-07,NA,NA,1,NA,less than 5
2022-03-14,NA,NA,3,NA,less than 5
2022-03-21,NA,1,1,NA,less than 5
2022-03-28,NA,1,1,NA,less than 5
2022-04-04,NA,NA,NA,NA,less than 5
2022-04-11,NA,NA,1,NA,less than 5
2022-04-18,NA,NA,2,NA,less than 5
2022-04-25,NA,NA,NA,NA,less than 5
2022-05-02,NA,NA,1,NA,less than 5
2022-05-09,NA,NA,1,NA,less than 5
2022-05-16,NA,1,NA,NA,less than 5
2022-05-23,NA,NA,NA,NA,less than 5
2022-05-30,NA,NA,NA,NA,less than 5
2022-06-06,NA,NA,NA,NA,less than 5
2022-06-13,NA,NA,NA,NA,less than 5
2022-06-20,NA,NA,NA,NA,less than 5
2022-06-27,NA,NA,NA,NA,less than 5
2022-07-04,NA,NA,NA,NA,less than 5
2022-07-11,NA,NA,1,NA,less than 5
2022-07-18,NA,NA,NA,NA,less than 5
2022-07-25,NA,NA,NA,NA,less than 5
2022-08-01,NA,NA,NA,NA,less than 5
2022-08-08,NA,NA,NA,NA,less than 5
2022-08-15,NA,NA,NA,NA,less than 5
2022-08-22,NA,NA,1,NA,less than 5
2022-08-29,NA,NA,NA,NA,less than 5
2022-09-05,NA,NA,NA,NA,less than 5
2022-09-12,NA,NA,NA,NA,less than 5
2022-09-19,NA,NA,NA,NA,less than 5
2022-09-26,NA,NA,NA,NA,less than 5
2022-10-03,NA,NA,2,NA,less than 5
2022-10-10,NA,NA,1,NA,less than 5
2022-10-17,NA,NA,1,NA,less than 5
2022-10-24,NA,NA,2,NA,less than 5
2022-10-31,2,NA,1,NA,less than 5
2022-11-07,NA,NA,4,NA,less than 5
2022-11-14,NA,NA,4,1,less than 5
2022-11-21,NA,NA,2,NA,less than 5
