Week_commencing,H3_PositivityThisWeek,age_group
2022-01-24,1,less than 5
2022-03-07,1,less than 5
2022-03-21,1,less than 5
2022-03-28,1,less than 5
2022-04-11,3,less than 5
2022-04-25,1,less than 5
2022-05-02,1,less than 5
2022-05-09,1,less than 5
2022-05-16,1,less than 5
2022-07-11,1,less than 5
2022-08-22,1,less than 5
2022-10-10,2,less than 5
2022-10-17,1,less than 5
2022-10-24,2,less than 5
2022-10-31,3,less than 5
2022-11-07,4,less than 5
2022-11-14,4,less than 5
2022-11-21,2,less than 5
2022-11-28,3,less than 5
2022-12-05,17,less than 5
2022-12-12,18,less than 5
2022-12-19,27,less than 5
2022-12-26,13,less than 5
2023-01-02,7,less than 5
2023-01-09,4,less than 5
2023-01-16,2,less than 5
2023-02-20,1,less than 5
2023-02-27,2,less than 5
2023-03-13,1,less than 5
2023-03-27,1,less than 5
2023-04-03,1,less than 5
2023-10-16,1,less than 5
2023-10-23,2,less than 5
2023-10-30,3,less than 5
2023-11-06,1,less than 5
2023-11-13,1,less than 5
2023-11-20,3,less than 5
2023-11-27,3,less than 5
2023-12-04,3,less than 5
2023-12-11,7,less than 5
2023-12-18,3,less than 5
2023-12-25,3,less than 5
2022-01-24,1,5-18
2022-03-07,1,5-18
2022-03-14,3,5-18
2022-03-21,1,5-18
2022-03-28,1,5-18
2022-04-11,1,5-18
2022-04-18,2,5-18
2022-05-09,1,5-18
2022-06-13,1,5-18
2022-06-20,2,5-18
2022-06-27,1,5-18
2022-09-05,1,5-18
2022-10-03,5,5-18
2022-10-10,2,5-18
2022-10-17,8,5-18
2022-10-24,8,5-18
2022-10-31,9,5-18
2022-11-07,2,5-18
2022-11-14,7,5-18
2022-11-21,9,5-18
2022-11-28,14,5-18
2022-12-05,35,5-18
2022-12-12,56,5-18
2022-12-19,97,5-18
2022-12-26,27,5-18
2023-01-02,6,5-18
2023-01-09,2,5-18
2023-01-16,2,5-18
2023-01-23,2,5-18
2023-01-30,2,5-18
2023-02-06,NA,5-18
2023-02-13,NA,5-18
2023-02-20,1,5-18
2023-02-27,NA,5-18
2023-03-06,1,5-18
2023-03-13,NA,5-18
2023-03-27,NA,5-18
2023-04-03,NA,5-18
2023-04-24,NA,5-18
2023-05-08,1,5-18
2023-06-26,1,5-18
2023-09-11,1,5-18
2023-10-09,1,5-18
2023-10-16,1,5-18
2023-10-23,1,5-18
2023-10-30,1,5-18
2023-11-13,1,5-18
2023-12-04,3,5-18
2023-12-11,4,5-18
2023-12-18,9,5-18
2023-12-25,4,5-18
2022-02-21,1,19-64
2022-03-07,2,19-64
2022-03-14,1,19-64
2022-03-21,5,19-64
2022-03-28,2,19-64
2022-04-04,2,19-64
2022-04-11,2,19-64
2022-04-18,2,19-64
2022-04-25,2,19-64
2022-05-02,2,19-64
2022-05-09,1,19-64
2022-05-16,1,19-64
2022-06-06,1,19-64
2022-06-13,1,19-64
2022-06-20,2,19-64
2022-06-27,2,19-64
2022-07-25,1,19-64
2022-08-01,1,19-64
2022-08-08,1,19-64
2022-08-22,1,19-64
2022-08-29,1,19-64
2022-09-05,3,19-64
2022-09-12,2,19-64
2022-10-03,7,19-64
2022-10-10,4,19-64
2022-10-17,3,19-64
2022-10-24,4,19-64
2022-10-31,8,19-64
2022-11-07,6,19-64
2022-11-14,13,19-64
2022-11-21,5,19-64
2022-11-28,14,19-64
2022-12-05,21,19-64
2022-12-12,43,19-64
2022-12-19,101,19-64
2022-12-26,51,19-64
2023-01-02,46,19-64
2023-01-09,16,19-64
2023-01-16,4,19-64
2023-01-23,5,19-64
2023-01-30,1,19-64
2023-02-06,4,19-64
2023-02-13,4,19-64
2023-02-20,1,19-64
2023-02-27,1,19-64
2023-03-06,2,19-64
2023-03-13,2,19-64
2023-03-27,1,19-64
2023-04-03,1,19-64
2023-04-24,1,19-64
2023-05-01,1,19-64
2023-05-08,2,19-64
