Year ,Week,<15yrs,15-64yrs,65+yrs,All ages
2021,1,0.2,1.6,1.4,1.3
2021,2,0.3,1.2,1.3,1.1
2021,3,0.4,0.9,1,0.9
2021,4,0.2,1.3,0.6,1
2021,5,0.4,1.1,1.2,1
2021,6,0.1,0.7,0.6,0.6
2021,7,0.4,1,1,0.9
2021,8,0.4,0.4,0.5,0.4
2021,9,0.1,0.6,0.1,0.4
2021,10,0.3,0.9,0.5,0.7
2021,11,0.8,0.7,0.1,0.6
2021,12,0.5,0.7,0.1,0.6
2021,13,0.3,0.4,0.2,0.3
2021,14,0.1,0.6,0.6,0.5
2021,15,0.3,0.8,0.6,0.6
2021,16,0.3,0.5,0.9,0.5
2021,17,0.4,0.5,0.4,0.5
2021,18,0.1,0.4,0.3,0.4
2021,19,0.5,0.6,0.6,0.6
2021,20,1.1,0.9,0.4,0.9
2021,21,1.2,0.6,0.8,0.7
2021,22,0.2,0.6,0.2,0.5
2021,23,0.5,0.8,0.4,0.7
2021,24,0.4,0.3,0.1,0.3
2021,25,1.4,0.9,0.8,1
2021,26,0.2,1.2,0.5,0.9
2021,27,0.8,0.8,0.4,0.7
2021,28,1,0.7,0.3,0.7
2021,29,0.5,0.8,0.3,0.7
2021,30,1,0.8,0,0.7
2021,31,0.6,0.7,0.4,0.6
2021,32,0,0.9,0.4,0.6
2021,33,0.9,1.2,0.6,1
2021,34,0.6,1.1,0.8,1
2021,35,0.4,1,0.6,0.8
2021,36,0.3,1.3,1,1.1
2021,37,0.5,1.6,0.5,1.2
2021,38,0.7,2,1.7,1.7
2021,39,1.3,3.1,0.9,2.4
2021,40,2.7,4,0.9,3.3
2021,41,3.2,4,1.7,3.5
2021,42,1.9,3.5,3.5,3.3
2021,43,1.6,4.2,1.8,3.3
2021,44,1.6,3.9,1.9,3.1
2021,45,1.2,3.6,1.9,2.9
2021,46,2.3,3.1,1.6,2.7
2021,47,3,3.4,0.6,2.8
2021,48,1.6,4.3,1.7,3.4
2021,49,2.1,3.7,1.2,3
2021,50,1.7,2,1.4,2.4
2021,51,1,2.1,1.5,1.8
2021,52,0.6,1,1,0.9
2022,1,0.5,1.5,1.2,1.3
2022,2,0.2,1.8,1.1,1.4
2022,3,0.6,1.3,0.6,1.1
2022,4,0.8,1.1,1,1
2022,5,1,1,0.2,0.9
2022,6,1.1,1.9,1.2,1.6
2022,7,0.4,1.7,0.3,1.2
2022,8,0.6,1.2,0.8,1
2022,9,0.7,1.6,1,1.3
2022,10,0.7,2.6,0.7,2
2022,11,0.6,1.5,0.8,1.2
2022,12,1.3,2.3,1.6,2
2022,13,1,3,1.4,2.4
2022,14,1.2,2,2,1.8
2022,15,0.4,1.7,0.9,1.4
2022,16,0.8,1.6,1.6,1.5
2022,17,0.3,1.4,0.6,1
2022,18,0.8,1.4,1.1,1.2
2022,19,1.2,1.6,0.9,1.4
2022,20,1.7,1.4,0.8,1.4
2022,21,1.1,1.4,0.7,1.2
2022,22,0.3,0.7,0.2,0.6
2022,23,0.7,1.5,1.2,1.3
2022,24,1.3,1.5,0.3,1.2
2022,25,0.5,1.1,0.5,0.9
2022,26,1.3,1.4,0.9,1.3
2022,27,0.7,1.8,0.6,1.4
2022,28,0.7,1,0.4,0.9
2022,29,0.5,0.5,0.4,0.5
2022,30,0.4,1.2,0.6,0.9
2022,31,0.3,1.1,0.4,0.8
2022,32,0.3,0.8,0.4,0.6
2022,33,0.2,1,0.4,0.7
2022,34,0.2,0.8,0.8,0.7
2022,35,0.2,0.9,0.1,0.6
2022,36,0,1,1,0.8
2022,37,1,1.3,0.9,1.2
2022,38,0.8,1.5,1.1,1.3
2022,39,0.9,3,1.4,2.4
2022,40,1.9,3.6,1.8,3
2022,41,2.2,4.3,2.7,3.7
2022,42,2.8,3.7,2.5,3.3
2022,43,3.2,4,2.6,3.6
2022,44,2.7,3.9,2.9,3.5
2022,45,3.8,5.2,2.6,4.5
2022,46,7,5.7,2.3,5.3
2022,47,8.3,7.2,2.7,6.6
2022,48,12.7,9.9,4.5,9.4
2022,49,19.7,16.3,8.6,15.5
2022,50,26.6,25.6,14.7,23.9
2022,51,29,33.5,24.8,31.3
2022,52,13,19.8,32.6,20.9
2023,1,9.5,22.3,32.9,21.9
2023,2,7.2,13.6,16.6,13
2023,3,5.4,8.2,9,7.9
2023,4,4.5,6.3,4.6,5.7
2023,5,4.8,6.4,5.5,6
2023,6,4.9,7.1,4,6.2
2023,7,3.6,6.2,4.5,5.5
2023,8,3.4,5.6,4.1,5
2023,9,3.5,5.3,4.1,4.8
2023,10,2.4,5.1,3.8,4.4
2023,11,3.7,5.4,2.7,4.6
2023,12,3.1,5,2.4,4.3
2023,13,2.6,4.4,3.1,3.9
2023,14,1.5,2.6,2,2.3
2023,15,0.8,2.7,2.2,2.3
2023,16,1.1,3,1.8,2.5
2023,17,0.7,2.2,1.2,1.7
2023,18,0.6,1.8,1.5,1.5
2023,19,0.8,1.7,1.1,1.5
2023,20,1.2,1.6,0.8,1.4
2023,21,0.8,1.7,0.7,1.4
2023,22,0.5,1.4,0.6,1.1
2023,23,0.7,1.8,0.7,1.4
2023,24,0.9,1,0.6,0.9
2023,25,0.6,0.8,0.4,0.7
2023,26,0.9,1,0.5,0.9
2023,27,0.6,1.2,0.8,1
2023,28,1.6,1.8,1.2,1.7
2023,29,0.9,1.4,0.7,1.2
2023,30,0.7,1.8,1.1,1.5
2023,31,0.2,1.6,1.3,1.3
2023,32,0.4,1.7,1.2,1.4
