Year ,Week,1-4yrs,5-14yrs,15-64yrs,65+yrs,All ages
2023,33,0.6,0.2,1.6,1.6,1.4
2023,34,0.4,0.1,1.4,1.3,1.2
2023,35,0.3,0.2,1.4,1.2,1.1
2023,36,1.1,0.4,1.7,1.3,1.5
2023,37,0.6,0.5,1.8,1.5,1.6
2023,38,1.6,1,2,2.1,1.9
2023,39,2.3,1.8,3.3,2.5,2.9
2023,40,2.7,1.9,3.7,3.3,3.4
2023,41,3.3,1.6,4,3,3.5
2023,42,4,2.1,3.9,2.8,3.5
2023,43,2.9,1.7,3.7,2.7,3.3
2023,44,2.3,1.4,4.1,2.3,3.4
2023,45,4.3,2.3,4.4,2.6,3.9
2023,46,6,2.1,3.9,2.1,3.5
2023,47,3.5,3.2,4.3,2.3,3.8
2023,48,4.5,3.5,5.3,2.9,4.6
2023,49,4.9,4,6.3,3.1,5.3
2023,50,5.9,4.3,7.4,3.5,6.3
2023,51,8.4,4.8,8.6,6.1,7.7
2023,52,4.8,2.5,5.4,4.5,4.9
2024,1,4.3,3,8.6,7.2,7.5
2024,2,4.9,3.3,9.1,7.7,8
2024,3,7.1,5.7,8.4,5.5,7.5
2024,4,11.1,9.2,10.7,7,9.8
2024,5,15,8.1,9.8,8.5,9.6
2024,6,10.9,7.9,9.7,7.5,9.1
2024,7,9.9,5.5,8,6.9,7.6
2024,8,5.5,4.9,7.2,6,6.7
2024,9,6.6,4.2,6.2,4.4,5.7
2024,10,4.7,3.3,6,4.4,5.3
2024,11,5.4,4.2,6,4.2,5.5
2024,12,3,4.3,5.4,3.9,4.9
2024,13,2,2.5,3.9,2.5,3.4
2024,14,2.3,1.6,3.8,3.4,3.4
2024,15,1.5,1.6,3.8,3.1,3.3
2024,16,1.1,1.2,3.7,2.2,3
2024,17,0.9,1.6,3.5,2.1,2.9
2024,18,0.9,2,3.3,2.3,2.8
2024,19,1,1.7,2.1,0.8,1.7
2024,20,0.8,1.2,2.8,1.7,2.3
2024,21,1.4,1.1,2.1,1.2,1.8
2024,22,1.5,0.4,1.9,1.3,1.6
2024,23,1.4,1.1,2.2,1.3,1.9
2024,24,1.5,1.2,2.6,1.4,2.2
2024,25,1.5,1,2.3,1.5,2
2024,26,1,1,1.9,1,1.6
2024,27,1,0.6,1.8,1.6,1.6
2024,28,1.6,0.9,2.3,2.2,2
