Year,Week,date,group,ILI,N,ILI_per_100k,Season
2021,1,2021-01-10,0-4,6.144486000000001,3072243,0.20000000000000004,2020/21
2021,2,2021-01-17,0-4,9.216728999999999,3072243,0.3,2020/21
2021,3,2021-01-24,0-4,12.288972000000001,3072243,0.4000000000000001,2020/21
2021,4,2021-01-31,0-4,6.144486000000001,3072243,0.20000000000000004,2020/21
2021,5,2021-02-07,0-4,12.288972000000001,3072243,0.4000000000000001,2020/21
2021,6,2021-02-14,0-4,3.0722430000000003,3072243,0.10000000000000002,2020/21
2021,7,2021-02-21,0-4,12.288972000000001,3072243,0.4000000000000001,2020/21
2021,8,2021-02-28,0-4,12.288972000000001,3072243,0.4000000000000001,2020/21
2021,9,2021-03-07,0-4,3.0722430000000003,3072243,0.10000000000000002,2020/21
2021,10,2021-03-14,0-4,9.216728999999999,3072243,0.3,2020/21
2021,11,2021-03-21,0-4,24.577944000000002,3072243,0.8000000000000002,2020/21
2021,12,2021-03-28,0-4,15.361215,3072243,0.5,2020/21
2021,13,2021-04-04,0-4,9.216728999999999,3072243,0.3,2020/21
2021,14,2021-04-11,0-4,3.0722430000000003,3072243,0.10000000000000002,2020/21
2021,15,2021-04-18,0-4,9.216728999999999,3072243,0.3,2020/21
2021,16,2021-04-25,0-4,9.216728999999999,3072243,0.3,2020/21
2021,17,2021-05-02,0-4,12.288972000000001,3072243,0.4000000000000001,2020/21
2021,18,2021-05-09,0-4,3.0722430000000003,3072243,0.10000000000000002,2020/21
2021,19,2021-05-16,0-4,15.361215,3072243,0.5,2020/21
2021,20,2021-05-23,0-4,33.794673,3072243,1.1,2020/21
2021,21,2021-05-30,0-4,36.866915999999996,3072243,1.2,2020/21
2021,22,2021-06-06,0-4,6.144486000000001,3072243,0.20000000000000004,2020/21
2021,23,2021-06-13,0-4,15.361215,3072243,0.5,2020/21
2021,24,2021-06-20,0-4,12.288972000000001,3072243,0.4000000000000001,2020/21
2021,25,2021-06-27,0-4,43.011402,3072243,1.3999999999999997,2020/21
2021,26,2021-07-04,0-4,6.144486000000001,3072243,0.20000000000000004,2021/22
2021,27,2021-07-11,0-4,24.577944000000002,3072243,0.8000000000000002,2021/22
2021,28,2021-07-18,0-4,30.72243,3072243,1,2021/22
2021,29,2021-07-25,0-4,15.361215,3072243,0.5,2021/22
2021,30,2021-08-01,0-4,30.72243,3072243,1,2021/22
2021,31,2021-08-08,0-4,18.433457999999998,3072243,0.6,2021/22
2021,32,2021-08-15,0-4,0,3072243,0,2021/22
2021,33,2021-08-22,0-4,27.650187000000003,3072243,0.9,2021/22
2021,34,2021-08-29,0-4,18.433457999999998,3072243,0.6,2021/22
2021,35,2021-09-05,0-4,12.288972000000001,3072243,0.4000000000000001,2021/22
2021,36,2021-09-12,0-4,9.216728999999999,3072243,0.3,2021/22
2021,37,2021-09-19,0-4,15.361215,3072243,0.5,2021/22
2021,38,2021-09-26,0-4,21.505701,3072243,0.6999999999999998,2021/22
2021,39,2021-10-03,0-4,39.939159000000004,3072243,1.3,2021/22
2021,40,2021-10-10,0-4,82.950561,3072243,2.6999999999999997,2021/22
2021,41,2021-10-17,0-4,98.31177600000001,3072243,3.2000000000000006,2021/22
2021,42,2021-10-24,0-4,58.372617,3072243,1.9000000000000001,2021/22
2021,43,2021-10-31,0-4,49.155888000000004,3072243,1.6000000000000003,2021/22
2021,44,2021-11-07,0-4,49.155888000000004,3072243,1.6000000000000003,2021/22
2021,45,2021-11-14,0-4,36.866915999999996,3072243,1.2,2021/22
2021,46,2021-11-21,0-4,70.66158899999999,3072243,2.3,2021/22
2021,47,2021-11-28,0-4,92.16729,3072243,3,2021/22
2021,48,2021-12-05,0-4,49.155888000000004,3072243,1.6000000000000003,2021/22
2021,49,2021-12-12,0-4,64.517103,3072243,2.1,2021/22
2021,50,2021-12-19,0-4,52.228131,3072243,1.7,2021/22
2021,51,2021-12-26,0-4,30.72243,3072243,1,2021/22
2021,52,2022-01-02,0-4,18.433457999999998,3072243,0.6,2021/22
2022,1,2022-01-09,0-4,15.361215,3072243,0.5,2021/22
2022,2,2022-01-16,0-4,6.144486000000001,3072243,0.20000000000000004,2021/22
2022,3,2022-01-23,0-4,18.433457999999998,3072243,0.6,2021/22
2022,4,2022-01-30,0-4,24.577944000000002,3072243,0.8000000000000002,2021/22
2022,5,2022-02-06,0-4,30.72243,3072243,1,2021/22
2022,6,2022-02-13,0-4,33.794673,3072243,1.1,2021/22
2022,7,2022-02-20,0-4,12.288972000000001,3072243,0.4000000000000001,2021/22
2022,8,2022-02-27,0-4,18.433457999999998,3072243,0.6,2021/22
2022,9,2022-03-06,0-4,21.505701,3072243,0.6999999999999998,2021/22
2022,10,2022-03-13,0-4,21.505701,3072243,0.6999999999999998,2021/22
2022,11,2022-03-20,0-4,18.433457999999998,3072243,0.6,2021/22
2022,12,2022-03-27,0-4,39.939159000000004,3072243,1.3,2021/22
2022,13,2022-04-03,0-4,30.72243,3072243,1,2021/22
2022,14,2022-04-10,0-4,36.866915999999996,3072243,1.2,2021/22
2022,15,2022-04-17,0-4,12.288972000000001,3072243,0.4000000000000001,2021/22
2022,16,2022-04-24,0-4,24.577944000000002,3072243,0.8000000000000002,2021/22
2022,17,2022-05-01,0-4,9.216728999999999,3072243,0.3,2021/22
2022,18,2022-05-08,0-4,24.577944000000002,3072243,0.8000000000000002,2021/22
2022,19,2022-05-15,0-4,36.866915999999996,3072243,1.2,2021/22
2022,20,2022-05-22,0-4,52.228131,3072243,1.7,2021/22
2022,21,2022-05-29,0-4,33.794673,3072243,1.1,2021/22
2022,22,2022-06-05,0-4,9.216728999999999,3072243,0.3,2021/22
2022,23,2022-06-12,0-4,21.505701,3072243,0.6999999999999998,2021/22
2022,24,2022-06-19,0-4,39.939159000000004,3072243,1.3,2021/22
2022,25,2022-06-26,0-4,15.361215,3072243,0.5,2021/22
2022,26,2022-07-03,0-4,39.939159000000004,3072243,1.3,2022/23
2022,27,2022-07-10,0-4,21.505701,3072243,0.6999999999999998,2022/23
2022,28,2022-07-17,0-4,21.505701,3072243,0.6999999999999998,2022/23
2022,29,2022-07-24,0-4,15.361215,3072243,0.5,2022/23
2022,30,2022-07-31,0-4,12.288972000000001,3072243,0.4000000000000001,2022/23
2022,31,2022-08-07,0-4,9.216728999999999,3072243,0.3,2022/23
2022,32,2022-08-14,0-4,9.216728999999999,3072243,0.3,2022/23
2022,33,2022-08-21,0-4,6.144486000000001,3072243,0.20000000000000004,2022/23
2022,34,2022-08-28,0-4,6.144486000000001,3072243,0.20000000000000004,2022/23
2022,35,2022-09-04,0-4,6.144486000000001,3072243,0.20000000000000004,2022/23
2022,36,2022-09-11,0-4,0,3072243,0,2022/23
2022,37,2022-09-18,0-4,30.72243,3072243,1,2022/23
2022,38,2022-09-25,0-4,24.577944000000002,3072243,0.8000000000000002,2022/23
2022,39,2022-10-02,0-4,27.650187000000003,3072243,0.9,2022/23
2022,40,2022-10-09,0-4,58.372617,3072243,1.9000000000000001,2022/23
2022,41,2022-10-16,0-4,67.589346,3072243,2.2,2022/23
2022,42,2022-10-23,0-4,86.022804,3072243,2.7999999999999994,2022/23
2022,43,2022-10-30,0-4,98.31177600000001,3072243,3.2000000000000006,2022/23
2022,44,2022-11-06,0-4,82.950561,3072243,2.6999999999999997,2022/23
2022,45,2022-11-13,0-4,116.745234,3072243,3.8000000000000003,2022/23
2022,46,2022-11-20,0-4,215.05701000000002,3072243,7.000000000000001,2022/23
2022,47,2022-11-27,0-4,254.996169,3072243,8.3,2022/23
2022,48,2022-12-04,0-4,390.17486099999996,3072243,12.699999999999998,2022/23
2022,49,2022-12-11,0-4,605.231871,3072243,19.7,2022/23
2022,50,2022-12-18,0-4,817.216638,3072243,26.599999999999998,2022/23
2022,51,2022-12-25,0-4,890.9504700000001,3072243,29.000000000000004,2022/23
2022,52,2023-01-01,0-4,399.39159,3072243,13,2022/23
2023,1,2023-01-08,0-4,291.863085,3072243,9.5,2022/23
