week,number_of_influenza_samples,date_start,age,total_samples,proportion_samples_flu
1,35,01/01/2024,19-65,315,0.111111111
2,49,08/01/2024,19-65,508,0.096456693
3,31,15/01/2024,19-65,384,0.080729167
4,93,22/01/2024,19-65,450,0.206666667
5,76,29/01/2024,19-65,430,0.176744186
6,93,05/02/2024,19-65,488,0.19057377
7,75,12/02/2024,19-65,397,0.188916877
8,50,19/02/2024,19-65,419,0.119331742
9,35,26/02/2024,19-65,344,0.101744186
10,47,04/03/2024,19-65,380,0.123684211
11,37,11/03/2024,19-65,319,0.115987461
12,35,18/03/2024,19-65,336,0.104166667
13,9,25/03/2024,19-65,224,0.040178571
14,11,01/04/2024,19-65,198,0.055555556
15,15,08/04/2024,19-65,280,0.053571429
16,6,15/04/2024,19-65,207,0.028985507
17,4,22/04/2024,19-65,250,0.016
18,7,29/04/2024,19-65,239,0.029288703
19,3,06/05/2024,19-65,182,0.016483516
20,9,13/05/2024,19-65,259,0.034749035
21,3,20/05/2024,19-65,190,0.015789474
22,0,27/05/2024,19-65,125,0
23,0,03/06/2024,19-65,200,0
24,3,10/06/2024,19-65,153,0.019607843
25,5,17/06/2024,19-65,173,0.028901734
26,5,24/06/2024,19-65,157,0.031847134
27,3,01/07/2024,19-65,194,0.015463918
28,1,08/07/2024,19-65,157,0.006369427
29,3,15/07/2024,19-65,191,0.015706806
30,1,22/07/2024,19-65,181,0.005524862
31,3,29/07/2024,19-65,195,0.015384615
32,0,05/08/2024,19-65,174,0
33,2,12/08/2024,19-65,145,0.013793103
34,1,19/08/2024,19-65,128,0.0078125
35,1,26/08/2024,19-65,110,0.009090909
36,2,02/09/2024,19-65,117,0.017094017
37,3,09/09/2024,19-65,160,0.01875
38,7,16/09/2024,19-65,221,0.031674208
39,3,23/09/2024,19-65,231,0.012987013
40,3,30/09/2024,19-65,323,0.009287926
41,4,07/10/2024,19-65,414,0.009661836
42,4,14/10/2024,19-65,357,0.011204482
43,14,21/10/2024,19-65,471,0.029723992
44,12,28/10/2024,19-65,361,0.033240997
45,15,04/11/2024,19-65,347,0.043227666
46,17,11/11/2024,19-65,380,0.044736842
47,20,18/11/2024,19-65,363,0.055096419
48,48,25/11/2024,19-65,402,0.119402985
49,62,02/12/2024,19-65,410,0.151219512
50,89,09/12/2024,19-65,524,0.169847328
51,101,16/12/2024,19-65,483,0.209109731
52,97,23/12/2024,19-65,418,0.232057416
53,132,30/12/2024,19-65,478,0.276150628
54,144,06/01/2025,19-65,491,0.293279022
55,81,13/01/2025,19-65,452,0.17920354
56,50,20/01/2025,19-65,464,0.107758621
57,69,27/01/2025,19-65,426,0.161971831
58,104,03/02/2025,19-65,450,0.231111111
59,64,10/02/2025,19-65,328,0.195121951
60,73,17/02/2025,19-65,347,0.21037464
61,70,24/02/2025,19-65,349,0.200573066
62,55,03/03/2025,19-65,284,0.193661972
63,33,10/03/2025,19-65,209,0.157894737
64,35,17/03/2025,19-65,237,0.147679325
65,40,24/03/2025,19-65,212,0.188679245
66,25,31/03/2025,19-65,210,0.119047619
67,16,07/04/2025,19-65,190,0.084210526
68,13,14/04/2025,19-65,140,0.092857143
69,4,21/04/2025,19-65,143,0.027972028
70,6,28/04/2025,19-65,137,0.04379562
