week,virus,age,percent,date_start
1,fluB,5,0.058162604,01/01/2024
1,H1,5,0.001519389,01/01/2024
1,H3,5,0.058104538,01/01/2024
1,A,5,9.677637881955192e-6,01/01/2024
2,fluB,5,0,08/01/2024
2,H1,5,0.15159051978593063,08/01/2024
2,H3,5,0.17431361353320884,08/01/2024
2,A,5,0.001548422,08/01/2024
3,fluB,5,0.06002071,15/01/2024
3,H1,5,0.11772846483630262,15/01/2024
3,H3,5,0.13610629917449746,15/01/2024
3,A,5,0.001519389,15/01/2024
4,fluB,5,0.055607707,22/01/2024
4,H1,5,0.1834976918833651,22/01/2024
4,H3,5,0.131480388,22/01/2024
4,A,5,0.001548422,22/01/2024
5,fluB,5,0.01142929,29/01/2024
5,H1,5,0.2125499608055661,29/01/2024
5,H3,5,0.1406644666169884,29/01/2024
5,A,5,0.001538744,29/01/2024
6,fluB,5,0.074295226,05/02/2024
6,H1,5,0.12996099911933492,05/02/2024
6,H3,5,0.076463017,05/02/2024
6,A,5,0.001529067,05/02/2024
7,fluB,5,0.2120854341872236,12/02/2024
7,H1,5,0.17584268031858807,12/02/2024
7,H3,5,0.09021494,12/02/2024
7,A,5,0.006116267,12/02/2024
8,fluB,5,0,19/02/2024
8,H1,5,0.11133154619620456,19/02/2024
8,H3,5,0.067278939,19/02/2024
8,A,5,0.001529067,19/02/2024
9,fluB,5,0.083972864,26/02/2024
9,H1,5,0.15442606768539924,26/02/2024
9,H3,5,0.07952115,26/02/2024
9,A,5,0.001519389,26/02/2024
10,fluB,5,0.013809989,04/03/2024
10,H1,5,0.045881681,04/03/2024
10,H3,5,0.2155984167384426,04/03/2024
10,A,5,0.001509712,04/03/2024
11,fluB,5,0.058317446,11/03/2024
11,H1,5,0,11/03/2024
11,H3,5,0.12079627604494304,11/03/2024
11,A,5,0.006125945,11/03/2024
12,fluB,5,0.040142842,18/03/2024
12,H1,5,0.041284803,18/03/2024
12,H3,5,0.094802141,18/03/2024
12,A,5,0.001519389,18/03/2024
13,fluB,5,0.02195856,25/03/2024
13,H1,5,0.050468882,25/03/2024
13,H3,5,0.088685874,25/03/2024
13,A,5,0,25/03/2024
14,fluB,5,0.031297481,01/04/2024
14,H1,5,0.026003813,01/04/2024
14,H3,5,0.14067414425487046,01/04/2024
14,A,5,0,01/04/2024
15,fluB,5,0.094163417,08/04/2024
15,H1,5,0,08/04/2024
15,H3,5,0,08/04/2024
15,A,5,0.003058134,08/04/2024
16,fluB,5,0.1570293522756967,15/04/2024
16,H1,5,0.001529067,15/04/2024
16,H3,5,0,15/04/2024
16,A,5,0,15/04/2024
17,fluB,5,0.065449865,22/04/2024
17,H1,5,9.677637882177235e-6,22/04/2024
17,H3,5,0,22/04/2024
17,A,5,0.001538744,22/04/2024
18,fluB,5,0.031974916,29/04/2024
18,H1,5,0.067288616,29/04/2024
18,H3,5,0,29/04/2024
18,A,5,0,29/04/2024
19,fluB,5,0.06579826,06/05/2024
19,H1,5,0,06/05/2024
19,H3,5,0,06/05/2024
19,A,5,0.003067811,06/05/2024
20,fluB,5,0.033862055,13/05/2024
20,H1,5,0.067269261,13/05/2024
20,H3,5,0.030581336,13/05/2024
20,A,5,0.001519389,13/05/2024
21,fluB,5,0.069185433,20/05/2024
21,H1,5,0,20/05/2024
21,H3,5,0,20/05/2024
21,A,5,0,20/05/2024
22,fluB,5,0,27/05/2024
22,H1,5,0,27/05/2024
22,H3,5,0,27/05/2024
22,A,5,0,27/05/2024
23,fluB,5,0.046588149,03/06/2024
23,H1,5,0,03/06/2024
23,H3,5,0.001519389,03/06/2024
23,A,5,9.677637882184176e-6,03/06/2024
24,fluB,5,0,10/06/2024
24,H1,5,0,10/06/2024
24,H3,5,0,10/06/2024
24,A,5,0,10/06/2024
25,fluB,5,0,17/06/2024
25,H1,5,0,17/06/2024
25,H3,5,0.031636198,17/06/2024
25,A,5,0.001538744,17/06/2024
26,fluB,5,0.051688264,24/06/2024
26,H1,5,0,24/06/2024
26,H3,5,0,24/06/2024
26,A,5,0,24/06/2024
27,fluB,5,0.038081505,01/07/2024
27,H1,5,0.003087166,01/07/2024
27,H3,5,0,01/07/2024
27,A,5,0.035158858,01/07/2024
28,fluB,5,0,08/07/2024
28,H1,5,0,08/07/2024
28,H3,5,0,08/07/2024
28,A,5,0,08/07/2024
29,fluB,5,0,15/07/2024
29,H1,5,2.0323039552527e-4,15/07/2024
29,H3,5,0,15/07/2024
29,A,5,0,15/07/2024
30,fluB,5,0,22/07/2024
30,H1,5,0,22/07/2024
30,H3,5,0.082947034,22/07/2024
30,A,5,0,22/07/2024
31,fluB,5,0,29/07/2024
31,H1,5,0,29/07/2024
31,H3,5,0,29/07/2024
31,A,5,0,29/07/2024
32,fluB,5,0,05/08/2024
32,H1,5,0,05/08/2024
32,H3,5,7.0646756539693e-4,05/08/2024
32,A,5,0,05/08/2024
33,fluB,5,0,12/08/2024
33,H1,5,0,12/08/2024
33,H3,5,0,12/08/2024
33,A,5,9.0002032303981e-4,12/08/2024
34,fluB,5,0,19/08/2024
34,H1,5,0,19/08/2024
34,H3,5,0,19/08/2024
34,A,5,0,19/08/2024
35,fluB,5,0,26/08/2024
35,H1,5,0,26/08/2024
35,H3,5,0,26/08/2024
35,A,5,0,26/08/2024
36,fluB,5,0,02/09/2024
36,H1,5,0.20781759588119764,02/09/2024
36,H3,5,0,02/09/2024
36,A,5,0,02/09/2024
37,fluB,5,3.87105515287e-5,09/09/2024
37,H1,5,0,09/09/2024
37,H3,5,0.061191704,09/09/2024
37,A,5,0,09/09/2024
38,fluB,5,1.935527576431e-4,16/09/2024
38,H1,5,0,16/09/2024
38,H3,5,0,16/09/2024
38,A,5,0,16/09/2024
39,fluB,5,0.001906495,23/09/2024
39,H1,5,0.03056198,23/09/2024
39,H3,5,0.024484424,23/09/2024
39,A,5,0.001519389,23/09/2024
40,fluB,5,0,30/09/2024
40,H1,5,0.026536083,30/09/2024
40,H3,5,0,30/09/2024
40,A,5,0.003058134,30/09/2024
41,fluB,5,7.3550047904324e-4,07/10/2024
41,H1,5,0.029023236,07/10/2024
41,H3,5,0,07/10/2024
41,A,5,0,07/10/2024
42,fluB,5,0.028384512,14/10/2024
42,H1,5,0.041304158,14/10/2024
42,H3,5,0.024455391,14/10/2024
42,A,5,0,14/10/2024
43,fluB,5,0.059149723,21/10/2024
43,H1,5,0.05350766,21/10/2024
43,H3,5,0.035178214,21/10/2024
43,A,5,0.001529067,21/10/2024
44,fluB,5,0.001219382,28/10/2024
44,H1,5,0.068798328,28/10/2024
44,H3,5,0.061162671,28/10/2024
44,A,5,0.001529067,28/10/2024
45,fluB,5,0.001383902,04/11/2024
45,H1,5,0.038216992,04/11/2024
45,H3,5,0.004606556,04/11/2024
45,A,5,0,04/11/2024
46,fluB,5,0.056604504,11/11/2024
46,H1,5,0.097850597,11/11/2024
46,H3,5,0.022936002,11/11/2024
46,A,5,0.007655012,11/11/2024
47,fluB,5,0.026187688,18/11/2024
47,H1,5,0.16361014603555565,18/11/2024
47,H3,5,0.016819735,18/11/2024
47,A,5,0.018348801,18/11/2024
48,fluB,5,0.023284397,25/11/2024
48,H1,5,0.11621875332668807,25/11/2024
48,H3,5,0.001529067,25/11/2024
48,A,5,0,25/11/2024
49,fluB,5,0.066282142,02/12/2024
49,H1,5,0.16209075688805874,02/12/2024
49,H3,5,0.030571658,02/12/2024
49,A,5,0.029042591,02/12/2024
50,fluB,5,0.022103725,09/12/2024
50,H1,5,0.2538250863729181,09/12/2024
50,H3,5,0.029061947,09/12/2024
50,A,5,0,09/12/2024
51,fluB,5,0.083450271,16/12/2024
51,H1,5,0.3424916046491372,16/12/2024
51,H3,5,9.677637882177235e-6,16/12/2024
51,A,5,0.003067811,16/12/2024
52,fluB,5,0.085143858,23/12/2024
52,H1,5,0.4250805663353688,23/12/2024
52,H3,5,0.036687925,23/12/2024
52,A,5,0,23/12/2024
53,fluB,5,0.068478966,30/12/2024
53,H1,5,0.31499743542596115,30/12/2024
53,H3,5,0.030581336,30/12/2024
53,A,5,0.003058134,30/12/2024
54,fluB,5,0.27814499037075047,06/01/2025
54,H1,5,0.2629994870851923,06/01/2025
54,H3,5,0.033639469,06/01/2025
54,A,5,0.068808005,06/01/2025
55,fluB,5,0.15751323416980378,13/01/2025
55,H1,5,0.4419099786124204,13/01/2025
55,H3,5,0.025984458,13/01/2025
55,A,5,0.001519389,13/01/2025
56,fluB,5,0.119460762,20/01/2025
56,H1,5,0.27981922172436147,20/01/2025
56,H3,5,0.056565793421141763,20/01/2025
56,A,5,0,20/01/2025
57,fluB,5,0.3000454848980463,27/01/2025
57,H1,5,0.26452855387057117,27/01/2025
57,H3,5,9.677637882177235e-6,27/01/2025
57,A,5,0.001529067,27/01/2025
58,fluB,5,0.3659598765133408,03/02/2025
58,H1,5,0,03/02/2025
58,H3,5,0.068798328,03/02/2025
58,A,5,0.001529067,03/02/2025
59,fluB,5,0.2912194791495294,10/02/2025
59,H1,5,0.019887546,10/02/2025
59,H3,5,0.077972728,10/02/2025
59,A,5,1.9355275764409985e-5,10/02/2025
60,fluB,5,0.4473488111021863,17/02/2025
60,H1,5,0.001538744,17/02/2025
60,H3,5,0.029032914,17/02/2025
60,A,5,0,17/02/2025
61,fluB,5,0.36647279132109456,24/02/2025
61,H1,5,0.062691738,24/02/2025
61,H3,5,0.097860274,24/02/2025
61,A,5,0,24/02/2025
62,fluB,5,0.2320794340517367,03/03/2025
62,H1,5,0,03/03/2025
62,H3,5,0.11315094211804788,03/03/2025
62,A,5,0.003067811,03/03/2025
63,fluB,5,0.30412944808431175,10/03/2025
63,H1,5,0.12538347640107994,10/03/2025
63,H3,5,0.20794340517366527,10/03/2025
63,A,5,0,10/03/2025
64,fluB,5,0.19420115938101845,17/03/2025
64,H1,5,0.029042591,17/03/2025
64,H3,5,0.061182027,17/03/2025
64,A,5,0,17/03/2025
65,fluB,5,0.47420425622514073,24/03/2025
65,H1,5,0.003048456,24/03/2025
65,H3,5,0.035168536,24/03/2025
65,A,5,0,24/03/2025
66,fluB,5,0.1196156042233214,31/03/2025
66,H1,5,0.001529067,31/03/2025
66,H3,5,0.056575471,31/03/2025
66,A,5,0.001538744,31/03/2025
67,fluB,5,0.14426454790914645,07/04/2025
67,H1,5,0.001529067,07/04/2025
67,H3,5,0,07/04/2025
67,A,5,0.001529067,07/04/2025
68,fluB,5,0.092431119,14/04/2025
68,H1,5,0.001529067,14/04/2025
68,H3,5,0,14/04/2025
68,A,5,0.001529067,14/04/2025
69,fluB,5,0.13541918688486532,21/04/2025
69,H1,5,0.12842225469607382,21/04/2025
69,H3,5,0,21/04/2025
69,A,5,0.003048456,21/04/2025
70,fluB,5,0,28/04/2025
70,H1,5,0.00561303,28/04/2025
70,H3,5,0,28/04/2025
70,A,5,0.002554896,28/04/2025
71,fluB,5,0.001219382,05/05/2025
71,H1,5,0.006096912,05/05/2025
71,H3,5,0,05/05/2025
71,A,5,0.005806583,05/05/2025
72,fluB,5,0.12217050062420776,12/05/2025
72,H1,5,0.003058134,12/05/2025
72,H3,5,0,12/05/2025
72,A,5,0,12/05/2025
73,fluB,5,0.0061453,19/05/2025
73,H1,5,0.001490356,19/05/2025
73,H3,5,0,19/05/2025
73,A,5,0,19/05/2025
74,fluB,5,0.006290465,26/05/2025
74,H1,5,1.9355275764360545e-5,26/05/2025
74,H3,5,0,26/05/2025
74,A,5,0.003067811,26/05/2025
75,fluB,5,0.00647434,02/06/2025
75,H1,5,0,02/06/2025
75,H3,5,0,02/06/2025
75,A,5,3.8710551528709815e-5,02/06/2025
76,fluB,5,0.00508076,09/06/2025
76,H1,5,0.10703467497653188,09/06/2025
76,H3,5,0.001529067,09/06/2025
76,A,5,9.67763788216336e-6,09/06/2025
77,fluB,5,0.003754923,16/06/2025
77,H1,5,0.003048456,16/06/2025
77,H3,5,0,16/06/2025
77,A,5,0,16/06/2025
78,fluB,5,0.003919443,23/06/2025
78,H1,5,0.006116267,23/06/2025
78,H3,5,0,23/06/2025
78,A,5,0,23/06/2025
79,fluB,5,0.004103318,30/06/2025
79,H1,5,0.004567845,30/06/2025
79,H3,5,0,30/06/2025
79,A,5,0.001538744,30/06/2025
80,fluB,5,0.002738772,07/07/2025
80,H1,5,0.0045872,07/07/2025
80,H3,5,0,07/07/2025
80,A,5,0,07/07/2025
81,fluB,5,0.007500169,14/07/2025
81,H1,5,0.003019423,14/07/2025
81,H3,5,0,14/07/2025
81,A,5,0.001500034,14/07/2025
82,fluB,5,0.007664689,21/07/2025
82,H1,5,0.001509712,21/07/2025
82,H3,5,0,21/07/2025
82,A,5,0,21/07/2025
83,fluB,5,0.004780753,28/07/2025
83,H1,5,0.004567845,28/07/2025
83,H3,5,0.3394528263541434,28/07/2025
83,A,5,0,28/07/2025
84,fluB,5,0.004945273,04/08/2025
84,H1,5,0.5106792734029477,04/08/2025
84,H3,5,0.001538744,04/08/2025
84,A,5,0,04/08/2025
85,fluB,5,0.006619504,11/08/2025
85,H1,5,0.003067811,11/08/2025
85,H3,5,0,11/08/2025
85,A,5,0.21102089402018764,11/08/2025
86,fluB,5,0.005274313,18/08/2025
86,H1,5,2.9032913646309663e-5,18/08/2025
86,H3,5,0,18/08/2025
86,A,5,0,18/08/2025
87,fluB,5,0.005458188,25/08/2025
87,H1,5,0.003048456,25/08/2025
87,H3,5,0,25/08/2025
87,A,5,0.001509712,25/08/2025
88,fluB,5,0.00561303,01/09/2025
88,H1,5,0.001548422,01/09/2025
88,H3,5,0,01/09/2025
88,A,5,0,01/09/2025
89,fluB,5,0,08/09/2025
89,H1,5,0,08/09/2025
89,H3,5,0,08/09/2025
89,A,5,0,08/09/2025
90,fluB,5,0,15/09/2025
90,H1,5,0,15/09/2025
90,H3,5,0,15/09/2025
90,A,5,0,15/09/2025
91,fluB,5,0,22/09/2025
91,H1,5,0,22/09/2025
91,H3,5,0,22/09/2025
91,A,5,0,22/09/2025
92,fluB,5,0,29/09/2025
92,H1,5,0.01,29/09/2025
92,H3,5,0.02,29/09/2025
92,A,5,0,29/09/2025
93,fluB,5,0,06/10/2025
93,H1,5,0.01,06/10/2025
93,H3,5,0.05,06/10/2025
93,A,5,0,06/10/2025
94,fluB,5,0,13/10/2025
94,H1,5,0.01,13/10/2025
94,H3,5,0.15,13/10/2025
94,A,5,0.01,13/10/2025
95,fluB,5,0,20/10/2025
95,H1,5,0.04,20/10/2025
95,H3,5,0.28,20/10/2025
95,A,5,0.02,20/10/2025
96,fluB,5,0,27/10/2025
96,H1,5,0.01,27/10/2025
96,H3,5,0.3,27/10/2025
96,A,5,0,27/10/2025
97,fluB,5,0,03/11/2025
97,H1,5,0,03/11/2025
97,H3,5,0.13,03/11/2025
97,A,5,0,03/11/2025
98,fluB,5,0,10/11/2025
98,H1,5,0.01,10/11/2025
98,H3,5,0.26,10/11/2025
