Season,Date,Week number,Up to 5 years,5 to 14 years,15 to 44 years,45 to 64 years,65 to 79 years,80 years and above
2025 to 2026,4 November 2024,45,2.2,8.2,4.2,3.1,1.7,2.0
2025 to 2026,11 November 2024,46,4.5,10.2,6.5,3.9,2.8,3.0
2025 to 2026,18 November 2024,47,6.3,11.0,10.9,7.8,5.3,4.7
2025 to 2026,25 November 2024,48,7.9,18.1,15.1,11.8,7.5,8.8
2025 to 2026,2 December 2024,49,12.6,23.0,20.0,16.5,11.8,12.1
2025 to 2026,9 December 2024,50,18.5,28.8,25.7,20.6,13.2,15.7
2025 to 2026,16 December 2024,51,25.0,32.6,29.6,22.5,17.9,16.1
2025 to 2026,23 December 2024,52,28.9,37.2,35.8,28.1,21.4,23.6
2025 to 2026,30 December 2024,1,25.7,30.3,28.8,24.6,20.1,20.3
2025 to 2026,6 January 2025,2,19.2,25.6,20.2,19.9,15.5,16.2
2025 to 2026,13 January 2025,3,20.0,25.7,22.6,14.5,11.4,11.8
2025 to 2026,20 January 2025,4,18.6,22.1,21.6,11.8,9.9,10.4
2025 to 2026,27 January 2025,5,16.6,25.3,20.1,11.5,9.2,8.6
2025 to 2026,3 February 2025,6,12.5,22.6,20.3,10.8,6.4,7.6
2025 to 2026,10 February 2025,7,12.9,16.7,20.4,8.8,5.9,6.9
2025 to 2026,17 February 2025,8,9.6,19.3,22.8,7.7,5.2,6.5
2025 to 2026,24 February 2025,9,8.9,15.5,19.8,7.0,6.0,4.5
2025 to 2026,3 March 2025,10,7.5,14.0,16.7,4.2,2.8,4.1
2025 to 2026,10 March 2025,11,9.4,12.8,14.2,5.5,4.2,4.3
2025 to 2026,17 March 2025,12,5.9,10.6,13.9,4.3,4.6,4.8
2025 to 2026,24 March 2025,13,6.0,12.5,14.1,4.3,3.3,4.3
2025 to 2026,31 March 2025,14,4.0,7.0,10.6,4.6,3.4,2.8
2025 to 2026,7 April 2025,15,3.6,5.4,9.2,2.9,2.8,2.3
2025 to 2026,14 April 2025,16,2.7,3.9,5.8,2.3,2.8,2.4
2025 to 2026,21 April 2025,17,1.9,2.1,5.2,1.6,1.6,1.1
2025 to 2026,28 April 2025,18,1.2,2.6,3.7,0.9,1.5,1.2
2025 to 2026,5 May 2025,19,0.9,1.1,3.7,1.7,1.4,1.6
2025 to 2026,12 May 2025,20,0.4,0.4,1.9,1.1,1.1,2.5
2025 to 2026,19 May 2025,21,0.6,1.7,1.5,1.5,1.1,1.6
2025 to 2026,26 May 2025,22,0.6,0.5,1.6,1.0,0.8,1.3
2025 to 2026,2 June 2025,23,0.2,1.4,1.6,0.3,0.7,0.8
2025 to 2026,9 June 2025,24,1.0,1.2,1.5,0.7,0.3,0.3
2025 to 2026,16 June 2025,25,0.8,0.0,0.9,1.0,0.9,0.5
2025 to 2026,23 June 2025,26,0.5,0.4,0.9,1.4,1.3,0.8
2025 to 2026,30 June 2025,27,0.9,0.5,0.9,0.7,0.5,0.0
2025 to 2026,7 July 2025,28,0.9,0.0,0.8,1.1,0.4,0.0
2025 to 2026,14 July 2025,29,0.2,0.0,1.1,0.7,1.1,0.2
2025 to 2026,21 July 2025,30,0.5,1.6,1.8,0.4,0.6,0.7
2025 to 2026,28 July 2025,31,0.8,0.6,0.7,0.3,0.1,1.0
2025 to 2026,4 August 2025,32,0.5,1.3,1.6,0.8,0.9,1.1
2025 to 2026,11 August 2025,33,0.5,1.4,1.3,0.3,0.4,0.5
2025 to 2026,18 August 2025,34,0.3,0.7,1.2,1.4,1.4,1.1
2025 to 2026,25 August 2025,35,2.1,2.2,1.4,2.5,1.1,1.2
2025 to 2026,1 September 2025,36,0.9,2.3,1.4,1.3,0.8,0.4
2025 to 2026,8 September 2025,37,0.4,3.1,1.6,1.2,1.1,0.4
2025 to 2026,15 September 2025,38,0.6,2.5,2.8,1.2,1.3,0.3
2025 to 2026,22 September 2025,39,2.7,3.1,7.2,1.2,0.9,1.4
2025 to 2026,29 September 2025,40,3.2,4.9,11.0,3.1,2.3,3.7
2025 to 2026,6 October 2025,41,6.1,10.5,11.7,5.4,4.2,4.6
2025 to 2026,13 October 2025,42,8.0,21.2,11.0,4.7,4.8,4.9
2025 to 2026,20 October 2025,43,10.6,30.2,14.0,4.9,5.3,6.2
2025 to 2026,27 October 2025,44,15.3,30.4,18.4,8.2,7.0,6.3
2022 to 2023,03-Jul-22,27,0.4,0.0,1.6,0.4,0.4,
2022 to 2023,10-Jul-22,28,0.8,1.9,2.1,1.0,0.7,
2022 to 2023,17-Jul-22,29,0.1,0.4,1.8,0.4,0.2,
2022 to 2023,24-Jul-22,30,0.0,0.3,0.7,0.4,0.5,
2022 to 2023,31-Jul-22,31,0.3,0.4,1.6,1.3,0.2,
2022 to 2023,07-Aug-22,32,1.5,3.4,2.9,1.1,0.9,
2022 to 2023,14-Aug-22,33,1.0,0.3,1.5,0.4,0.8,
2022 to 2023,21-Aug-22,34,0.0,0.0,0.6,0.8,0.7,
2022 to 2023,28-Aug-22,35,0.4,0.0,3.7,0.5,0.4,
2022 to 2023,04-Sep-22,36,1.0,2.8,6.6,2.3,0.8,
2022 to 2023,11-Sep-22,37,2.1,3.2,7.8,3.6,1.7,
2022 to 2023,18-Sep-22,38,2.3,1.6,4.5,3.2,1.7,
2022 to 2023,25-Sep-22,39,2.3,4.2,5.8,3.8,2.0,
2022 to 2023,02-Oct-22,40,3.8,4.9,9.6,3.2,2.3,
2022 to 2023,09-Oct-22,41,4.3,13.8,10.7,4.7,3.5,
2022 to 2023,16-Oct-22,42,6.1,11.4,10.5,6.1,3.5,
2022 to 2023,23-Oct-22,43,7.0,12.3,14.5,6.2,4.8,
2022 to 2023,30-Oct-22,44,5.9,11.4,14.9,7.7,5.5,
2022 to 2023,06-Nov-22,45,8.2,15.1,14.9,6.9,6.6,
2022 to 2023,13-Nov-22,46,8.6,15.7,17.5,7.2,6.5,
2022 to 2023,20-Nov-22,47,9.7,22.2,21.1,9.3,8.6,
2022 to 2023,27-Nov-22,48,13.3,29.3,28.6,14.5,11.5,
2022 to 2023,04-Dec-22,49,18.5,35.6,33.6,19.0,18.3,
2022 to 2023,11-Dec-22,50,27.7,45.3,42.9,24.8,23.6,
2022 to 2023,18-Dec-22,51,30.1,50.3,44.4,27.8,26.1,
2022 to 2023,25-Dec-22,52,27.9,30.6,36.6,25.6,25.5,
2022 to 2023,01-Jan-23,1,19.0,18.9,17.8,11.1,14.7,
2022 to 2023,08-Jan-23,2,8.9,7.3,10.0,5.5,6.7,
2022 to 2023,15-Jan-23,3,3.5,5.0,5.5,3.1,2.5,
2022 to 2023,22-Jan-23,4,3.4,3.0,7.3,2.9,1.8,
2022 to 2023,29-Jan-23,5,2.5,4.3,5.2,2.3,1.8,
2022 to 2023,05-Feb-23,6,1.8,4.6,5.3,1.5,0.9,
2022 to 2023,12-Feb-23,7,2.3,4.3,7.7,0.9,0.9,
2022 to 2023,19-Feb-23,8,2.9,2.6,6.9,1.5,1.0,
2022 to 2023,26-Feb-23,9,2.0,3.1,5.3,1.0,0.7,
2022 to 2023,05-Mar-23,10,2.4,3.6,6.0,1.0,0.5,
2022 to 2023,12-Mar-23,11,2.7,3.1,5.4,1.5,0.7,
2022 to 2023,19-Mar-23,12,2.0,3.1,4.7,0.7,0.4,
2022 to 2023,26-Mar-23,13,2.0,3.2,4.9,1.3,0.3,
2022 to 2023,02-Apr-23,14,1.0,2.6,4.9,0.6,0.5,
2022 to 2023,09-Apr-23,15,1.3,1.1,3.6,1.3,0.2,
2022 to 2023,16-Apr-23,16,1.1,0.6,3.2,0.5,0.2,
2022 to 2023,23-Apr-23,17,1.4,1.5,2.5,0.7,0.4,
2022 to 2023,30-Apr-23,18,1.0,2.8,2.0,0.3,0.5,
2022 to 2023,07-May-23,19,0.4,0.6,2.0,0.2,0.2,
2022 to 2023,14-May-23,20,0.6,0.3,1.0,0.4,0.1,
2022 to 2023,21-May-23,21,0.8,0.4,1.2,0.6,0.3,
2022 to 2023,28-May-23,22,0.2,0.5,1.2,0.2,0.2,
2022 to 2023,04-Jun-23,23,0.4,0.0,0.0,0.2,0.4,
2022 to 2023,11-Jun-23,24,0.2,0.5,0.7,0.3,0.5,
2022 to 2023,18-Jun-23,25,0.6,0.0,0.7,0.6,0.5,
2022 to 2023,25-Jun-23,26,0.0,0.0,1.1,0.2,0.1,
