Date,Week number,Season,Influenza A(H1N1)pdm09,Influenza A(H3N2),Influenza A(not subtype),Influenza B
1 July 2019,27,2019 to 2020,0.2,0.6,0.2,0.2
8 July 2019,28,2019 to 2020,0.1,0.4,0.4,0.1
15 July 2019,29,2019 to 2020,0.2,0.4,0.3,0.2
22 July 2019,30,2019 to 2020,0.3,0.3,0.1,0.1
29 July 2019,31,2019 to 2020,0.2,0.4,0.3,0.2
5 August 2019,32,2019 to 2020,0.0,0.2,0.4,0.3
12 August 2019,33,2019 to 2020,0.2,0.6,1.1,0.0
19 August 2019,34,2019 to 2020,0.4,1.0,1.1,0.1
26 August 2019,35,2019 to 2020,0.3,0.7,1.1,0.2
2 September 2019,36,2019 to 2020,0.2,0.6,0.4,0.0
9 September 2019,37,2019 to 2020,0.2,0.7,0.3,0.1
16 September 2019,38,2019 to 2020,0.1,0.7,0.2,0.1
23 September 2019,39,2019 to 2020,0.2,1.1,0.7,0.2
30 September 2019,40,2019 to 2020,0.1,0.7,0.3,0.2
7 October 2019,41,2019 to 2020,0.2,1.1,1.1,0.2
14 October 2019,42,2019 to 2020,0.2,1.2,1.0,0.2
21 October 2019,43,2019 to 2020,0.1,1.2,1.4,0.1
28 October 2019,44,2019 to 2020,0.2,1.4,1.7,0.2
4 November 2019,45,2019 to 2020,0.3,1.3,1.9,0.3
11 November 2019,46,2019 to 2020,0.2,3.8,2.7,0.6
18 November 2019,47,2019 to 2020,0.4,8.4,6.0,0.4
25 November 2019,48,2019 to 2020,0.5,11.0,5.1,0.4
2 December 2019,49,2019 to 2020,0.5,13.9,5.4,0.4
9 December 2019,50,2019 to 2020,0.4,12.7,7.6,0.4
16 December 2019,51,2019 to 2020,0.8,12.7,8.6,0.6
23 December 2019,52,2019 to 2020,1.3,16.1,7.9,0.6
30 December 2019,1,2019 to 2020,1.4,10.1,7.0,0.8
6 January 2020,2,2019 to 2020,1.7,4.6,6.1,0.6
13 January 2020,3,2019 to 2020,1.5,3.2,3.6,0.9
20 January 2020,4,2019 to 2020,1.6,2.5,1.9,0.9
27 January 2020,5,2019 to 2020,1.6,2.0,2.7,1.6
3 February 2020,6,2019 to 2020,1.6,1.3,1.4,1.4
10 February 2020,7,2019 to 2020,1.5,1.0,2.8,1.4
17 February 2020,8,2019 to 2020,1.5,1.1,2.2,1.7
24 February 2020,9,2019 to 2020,1.5,0.8,1.6,1.9
2 March 2020,10,2019 to 2020,1.8,0.5,1.5,1.8
9 March 2020,11,2019 to 2020,0.9,0.3,1.2,1.6
16 March 2020,12,2019 to 2020,0.5,0.1,0.7,0.7
23 March 2020,13,2019 to 2020,0.2,0.0,0.4,0.2
30 March 2020,14,2019 to 2020,0.0,0.0,0.0,0.0
6 April 2020,15,2019 to 2020,0.0,0.0,0.1,0.1
13 April 2020,16,2019 to 2020,0.0,0.0,0.0,0.0
20 April 2020,17,2019 to 2020,0.0,0.0,0.0,0.0
27 April 2020,18,2019 to 2020,0.0,0.0,0.1,0.0
4 May 2020,19,2019 to 2020,0.0,0.0,0.0,0.0
11 May 2020,20,2019 to 2020,0.0,0.0,0.0,0.0
