theme,sub_theme,topic,geography_type,geography,metric,sex,age,stratum,year,date,metric_value,in_reporting_delay_period
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,00-04,default,2025,2025-11-03,16.4200,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,05-14,default,2025,2025-11-03,22.9200,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,15-44,default,2025,2025-11-03,21.6200,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,45-64,default,2025,2025-11-03,8.2200,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,65-79,default,2025,2025-11-03,10.5200,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,80+,default,2025,2025-11-03,8.4100,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,00-04,default,2025,2025-10-27,15.1000,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,05-14,default,2025,2025-10-27,28.7300,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,15-44,default,2025,2025-10-27,19.4100,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,45-64,default,2025,2025-10-27,8.7700,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,65-79,default,2025,2025-10-27,6.8200,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,80+,default,2025,2025-10-27,6.5500,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,00-04,default,2025,2025-10-20,10.7600,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,05-14,default,2025,2025-10-20,30.2600,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,15-44,default,2025,2025-10-20,14.0200,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,45-64,default,2025,2025-10-20,4.8000,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,65-79,default,2025,2025-10-20,5.2900,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,80+,default,2025,2025-10-20,6.0600,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,00-04,default,2025,2025-10-13,8.0500,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,05-14,default,2025,2025-10-13,21.1700,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,15-44,default,2025,2025-10-13,10.9300,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,45-64,default,2025,2025-10-13,4.7200,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,65-79,default,2025,2025-10-13,4.7800,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,80+,default,2025,2025-10-13,4.9100,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,00-04,default,2025,2025-10-06,6.0900,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,05-14,default,2025,2025-10-06,10.4700,False
