y,lb_50,ub_50,lb_95,ub_95,prop,time,pathogen,Year,Week,date,season,day_of_year,plot_label,peak_time,day_shifted
0.1309780560782412,-0.009163923123699846,0.2805657053251178,-0.269746719720667,0.6040252425550469,0.7336666666666667,2,Influenza A/H3,2012,2,2012-01-15,2011/12,380,Other,408,-28
0.1644177474174473,0.05826937622268913,0.2785173808745858,-0.11680730623113703,0.5171224326293051,0.8746666666666667,3,Influenza A/H3,2012,3,2012-01-22,2011/12,387,Other,408,-21
0.21191274816393157,0.1428373395110918,0.28744474743139947,0.025445598353412865,0.4550819884314271,0.9876666666666667,4,Influenza A/H3,2012,4,2012-01-29,2011/12,394,Other,408,-14
0.26176641594260897,0.21112997874382655,0.31770764441169785,0.11886427914052883,0.4270381833202789,1,5,Influenza A/H3,2012,5,2012-02-05,2011/12,401,Other,408,-7
0.2764865400780585,0.21756598093615565,0.33421440389576595,0.10654729026217152,0.45130021868292497,1,6,Influenza A/H3,2012,6,2012-02-12,2011/12,408,Other,408,0
0.24299531474662173,0.19087699765304533,0.29117541314192774,0.10007403781718369,0.394641292610303,1,7,Influenza A/H3,2012,7,2012-02-19,2011/12,415,Other,408,7
0.17216807964562575,0.12903086334222724,0.21457710832215815,0.03832449546851251,0.3061718912036262,0.9926666666666667,8,Influenza A/H3,2012,8,2012-02-26,2011/12,422,Other,408,14
0.09016881856110004,0.04104637979705439,0.14267056406922762,-0.057652028245660354,0.23857911626727177,0.8946666666666667,9,Influenza A/H3,2012,9,2012-03-04,2011/12,429,Other,408,21
0.009511966031516383,-0.03375860917819096,0.05396453726602046,-0.10975291609833787,0.13421264559777848,0.563,10,Influenza A/H3,2012,10,2012-03-11,2011/12,436,Other,408,28
-0.07128858445436892,-0.11558563588400617,-0.02906315547811933,-0.2049984514989441,0.053268288515353875,0.12966666666666668,11,Influenza A/H3,2012,11,2012-03-18,2011/12,443,Other,408,35
-0.15025695492587543,-0.20315228595006474,-0.09985456125564585,-0.31564561856483125,0.009452155204292548,0.033,12,Influenza A/H3,2012,12,2012-03-25,2011/12,450,Other,408,42
-0.22579014051467539,-0.27131074390549936,-0.1799486932192249,-0.3656205498879865,-0.09617027477600797,3.333333333333333e-4,13,Influenza A/H3,2012,13,2012-04-01,2011/12,457,Other,408,49
-0.28984909203757514,-0.34331337292088726,-0.24144429567143244,-0.44732020432252295,-0.14623413809531077,0,14,Influenza A/H3,2012,14,2012-04-08,2011/12,464,Other,408,56
-0.3305910521429438,-0.39582759302680737,-0.26927318831870384,-0.5109061751390555,-0.15259247288166242,0,15,Influenza A/H3,2012,15,2012-04-15,2011/12,471,Other,408,63
-0.34142669841787665,-0.39898949579254217,-0.2857563387713419,-0.5069550549208691,-0.18430725054991096,0,16,Influenza A/H3,2012,16,2012-04-22,2011/12,478,Other,408,70
-0.32444327978126064,-0.38721844244187864,-0.26450858069048433,-0.5069934371196624,-0.1574260625861335,0,17,Influenza A/H3,2012,17,2012-04-29,2011/12,485,Other,408,77
-0.29777444215485316,-0.37069163109231706,-0.22876662350788202,-0.506425607089655,-0.10138314273701544,0.002,18,Influenza A/H3,2012,18,2012-05-06,2011/12,492,Other,408,84
-0.2659443082203812,-0.33083312082827376,-0.20174521654653665,-0.45621717892069913,-0.08263191364664466,0.0026666666666666666,19,Influenza A/H3,2012,19,2012-05-13,2011/12,499,Other,408,91
-0.22905959501806739,-0.3032853430325476,-0.15217266675713603,-0.44080718203288516,-0.024157318172239255,0.013666666666666667,20,Influenza A/H3,2012,20,2012-05-20,2011/12,506,Other,408,98
-0.19166900869415104,-0.27940320481076053,-0.10753757814940179,-0.43792420392161263,0.04615350463853858,0.05633333333333333,21,Influenza A/H3,2012,21,2012-05-27,2011/12,513,Other,408,105
-0.16407283926793093,-0.23813122315103197,-0.08806269170984371,-0.3853733282846313,0.06049407845647724,0.07366666666666667,22,Influenza A/H3,2012,22,2012-06-03,2011/12,520,Other,408,112
-0.13809098319967106,-0.21184630818973793,-0.0637254344751218,-0.35912590323972754,0.08611626958058394,0.10433333333333333,23,Influenza A/H3,2012,23,2012-06-10,2011/12,527,Other,408,119
-0.11529775072065973,-0.19861368044064165,-0.03333765487875984,-0.3633634783934677,0.1332455705449695,0.17066666666666666,24,Influenza A/H3,2012,24,2012-06-17,2011/12,534,Other,408,126
-0.09528840925594007,-0.1753806763538434,-0.020880845171533546,-0.3214493366097421,0.12836377918863906,0.19766666666666666,25,Influenza A/H3,2012,25,2012-06-24,2011/12,541,Other,408,133
-0.0821777493395125,-0.1604927366302913,6.662453635014609e-4,-0.3252947775182061,0.158698913030562,0.252,26,Influenza A/H3,2012,26,2012-07-01,2012/13,183,Pre-pandemic,358,-175
-0.06710949913332764,-0.161217291297318,0.027138530953024376,-0.34155903997364273,0.19702989955250436,0.313,27,Influenza A/H3,2012,27,2012-07-08,2012/13,190,Pre-pandemic,358,-168
-0.05574489422558959,-0.14073604779971632,0.030249907098845508,-0.30179530455089426,0.1889834425767944,0.3363333333333333,28,Influenza A/H3,2012,28,2012-07-15,2012/13,197,Pre-pandemic,358,-161
-0.04484381806666815,-0.1320374234252289,0.041336839353665056,-0.2975866960087533,0.20999117071874834,0.36333333333333334,29,Influenza A/H3,2012,29,2012-07-22,2012/13,204,Pre-pandemic,358,-154
-0.041639179956307726,-0.1331246093653387,0.05413552657673598,-0.31878449320858343,0.21876398841204112,0.389,30,Influenza A/H3,2012,30,2012-07-29,2012/13,211,Pre-pandemic,358,-147
-0.03852201151882362,-0.12610604887137788,0.04783164877229873,-0.2976312613146306,0.19272586232414834,0.384,31,Influenza A/H3,2012,31,2012-08-05,2012/13,218,Pre-pandemic,358,-140
-0.04323993239319168,-0.1285615730853777,0.04338523971952174,-0.28901242395704835,0.2012948176584841,0.367,32,Influenza A/H3,2012,32,2012-08-12,2012/13,225,Pre-pandemic,358,-133
-0.03624662197307149,-0.13062762147772866,0.05436974055119276,-0.31031658647408666,0.2301435192143876,0.3943333333333333,33,Influenza A/H3,2012,33,2012-08-19,2012/13,232,Pre-pandemic,358,-126
-0.026972077131725447,-0.11193823382872714,0.05983542840462952,-0.28143517432283244,0.22082103515050847,0.4136666666666667,34,Influenza A/H3,2012,34,2012-08-26,2012/13,239,Pre-pandemic,358,-119
-0.008512544217263551,-0.09407884736678518,0.0754921657560601,-0.2567975466837009,0.2393156349885733,0.4716666666666667,35,Influenza A/H3,2012,35,2012-09-02,2012/13,246,Pre-pandemic,358,-112
0.011125600964522864,-0.07938627592869368,0.10171254395352397,-0.240705147691602,0.2851810375214027,0.535,36,Influenza A/H3,2012,36,2012-09-09,2012/13,253,Pre-pandemic,358,-105
0.03327226580116571,-0.046116621194864094,0.11309816201340628,-0.19331196157274333,0.2912575384373643,0.6133333333333333,37,Influenza A/H3,2012,37,2012-09-16,2012/13,260,Pre-pandemic,358,-98
0.058034316847755174,-0.02076743122779312,0.1367734497886653,-0.16706830251753826,0.29700679657490864,0.6953333333333334,38,Influenza A/H3,2012,38,2012-09-23,2012/13,267,Pre-pandemic,358,-91
0.08147107723324787,-0.006086170136859859,0.16766741749896097,-0.1690034115529044,0.34439647792021133,0.7343333333333333,39,Influenza A/H3,2012,39,2012-09-30,2012/13,274,Pre-pandemic,358,-84
0.10036543300449052,0.021723947321887926,0.17883626502894556,-0.1293741800620865,0.3479780506038034,0.8026666666666666,40,Influenza A/H3,2012,40,2012-10-07,2012/13,281,Pre-pandemic,358,-77
0.12191444137103868,0.036860427518866645,0.20177000845471216,-0.10839403744108042,0.35652224439267544,0.8433333333333334,41,Influenza A/H3,2012,41,2012-10-14,2012/13,288,Pre-pandemic,358,-70
0.13341288774008808,0.04666593376497663,0.22218172838919037,-0.12270168018284416,0.3810863470787368,0.851,42,Influenza A/H3,2012,42,2012-10-21,2012/13,295,Pre-pandemic,358,-63
0.13977972527014226,0.06255671449553618,0.21998046350951972,-0.08951190594863287,0.3621816185666839,0.8843333333333333,43,Influenza A/H3,2012,43,2012-10-28,2012/13,302,Pre-pandemic,358,-56
0.14074508216003467,0.06344222061796606,0.21797311624708876,-0.06812637038625105,0.35220854517478334,0.8943333333333333,44,Influenza A/H3,2012,44,2012-11-04,2012/13,309,Pre-pandemic,358,-49
0.1425563038793194,0.0567935601359123,0.22315080102972173,-0.09444416650712315,0.3741611313552429,0.8786666666666667,45,Influenza A/H3,2012,45,2012-11-11,2012/13,316,Pre-pandemic,358,-42
0.14070983565265327,0.07160141923221075,0.2126908653691968,-0.076659256995816,0.35858929035274867,0.9136666666666666,46,Influenza A/H3,2012,46,2012-11-18,2012/13,323,Pre-pandemic,358,-35
0.1455291537214769,0.07496537873994935,0.21445754182000454,-0.06188154760430172,0.354390830933082,0.9173333333333333,47,Influenza A/H3,2012,47,2012-11-25,2012/13,330,Pre-pandemic,358,-28
0.16068896892001527,0.0798787924690676,0.23963987920275887,-0.05836844439718649,0.3888700783062119,0.9203333333333333,48,Influenza A/H3,2012,48,2012-12-02,2012/13,337,Pre-pandemic,358,-21
0.1871322025879092,0.11966752925275181,0.257576912640021,-0.007473199663176208,0.393195957780661,0.97,49,Influenza A/H3,2012,49,2012-12-09,2012/13,344,Pre-pandemic,358,-14
0.2211763339838715,0.1550614506379192,0.28848972829149855,0.02921761327301415,0.41781866996567496,0.991,50,Influenza A/H3,2012,50,2012-12-16,2012/13,351,Pre-pandemic,358,-7
0.2344457141662477,0.16590177253109595,0.30841519914700033,0.034692523558184626,0.4481943812606258,0.9876666666666667,51,Influenza A/H3,2012,51,2012-12-23,2012/13,358,Pre-pandemic,358,0
0.22760645136638447,0.16765338721934253,0.28884875746550065,0.05796549931027729,0.4115418149311433,0.9956666666666667,52,Influenza A/H3,2012,52,2012-12-30,2012/13,365,Pre-pandemic,358,7
0.20368232436232558,0.1466798505501593,0.2584767069926066,0.044286495315048885,0.3709232079581471,0.994,53,Influenza A/H3,2012,1,2013-01-06,2012/13,371,Pre-pandemic,358,13
0.18890116398158385,0.12412982986497845,0.2525539990828529,0.007486141030244266,0.37885229250837243,0.9793333333333333,54,Influenza A/H3,2013,2,2013-01-13,2012/13,378,Pre-pandemic,358,20
0.19023733041896218,0.13589637285118195,0.24670223641697264,0.04416724033679649,0.3531863200621969,0.9963333333333333,55,Influenza A/H3,2013,3,2013-01-20,2012/13,385,Pre-pandemic,358,27
0.205629779300339,0.15947423942886285,0.25559663296016444,0.051654022306845467,0.35764656671016654,0.9963333333333333,56,Influenza A/H3,2013,4,2013-01-27,2012/13,392,Pre-pandemic,358,34
0.20654198281853997,0.15122627131090116,0.2602342274166274,0.038291687425807776,0.3766973532989595,0.989,57,Influenza A/H3,2013,5,2013-02-03,2012/13,399,Pre-pandemic,358,41
0.18411650379790512,0.13711198316703288,0.22892714486022436,0.05308921625098216,0.31873185463817916,0.9963333333333333,58,Influenza A/H3,2013,6,2013-02-10,2012/13,406,Pre-pandemic,358,48
0.14278779951833354,0.10053727339495855,0.185524674044089,0.024707835711989205,0.26037467629083194,0.9916666666666667,59,Influenza A/H3,2013,7,2013-02-17,2012/13,413,Pre-pandemic,358,55
0.09618740100958467,0.0438208642580078,0.14689969127899571,-0.050818643140925386,0.2391572092686945,0.897,60,Influenza A/H3,2013,8,2013-02-24,2012/13,420,Pre-pandemic,358,62
0.044167924099098865,8.981832705874382e-4,0.08420442132300421,-0.07650464300435578,0.1686007204200766,0.7543333333333333,61,Influenza A/H3,2013,9,2013-03-03,2012/13,427,Pre-pandemic,358,69
-0.008047475164946416,-0.04863241046983435,0.031864787493654845,-0.12780843490366428,0.10647308396943234,0.43933333333333335,62,Influenza A/H3,2013,10,2013-03-10,2012/13,434,Pre-pandemic,358,76
-0.05183670685965458,-0.10020588714305045,-0.005939656828159556,-0.19272345823382034,0.08663631383856835,0.23,63,Influenza A/H3,2013,11,2013-03-17,2012/13,441,Pre-pandemic,358,83
-0.08370573951688609,-0.12565114824902612,-0.042565587014155026,-0.20099758930865252,0.03296209711708107,0.08466666666666667,64,Influenza A/H3,2013,12,2013-03-24,2012/13,448,Pre-pandemic,358,90
-0.10874969243738564,-0.15470466988875886,-0.06062155672988201,-0.2389910201008365,0.021529876007157372,0.058,65,Influenza A/H3,2013,13,2013-03-31,2012/13,455,Pre-pandemic,358,97
-0.1467842884108581,-0.203237557842876,-0.0910131224029509,-0.3080884778721798,0.0202076492835626,0.042,66,Influenza A/H3,2013,14,2013-04-07,2012/13,462,Pre-pandemic,358,104
-0.20113116759333938,-0.24960605202082142,-0.15272996957597096,-0.3411436767949187,-0.06312406237365628,0.0023333333333333335,67,Influenza A/H3,2013,15,2013-04-14,2012/13,469,Pre-pandemic,358,111
-0.2668293285112546,-0.3201517199418784,-0.2150112603084957,-0.42545335925630207,-0.12136397922184718,3.333333333333333e-4,68,Influenza A/H3,2013,16,2013-04-21,2012/13,476,Pre-pandemic,358,118
-0.3207457111909,-0.38425345335174055,-0.2582815340182909,-0.5044536975406839,-0.14346929335202493,3.333333333333333e-4,69,Influenza A/H3,2013,17,2013-04-28,2012/13,483,Pre-pandemic,358,125
-0.35555275050618396,-0.4112761779265618,-0.296264638265062,-0.5273532116450114,-0.1891666778301008,0,70,Influenza A/H3,2013,18,2013-05-05,2012/13,490,Pre-pandemic,358,132
-0.36934836500530444,-0.4330641883183708,-0.30303418694415785,-0.5693056656500194,-0.1757593909830418,0,71,Influenza A/H3,2013,19,2013-05-12,2012/13,497,Pre-pandemic,358,139
-0.3627530280100939,-0.4365712207056216,-0.2878581040893261,-0.5913943098166655,-0.13612876473605778,6.666666666666666e-4,72,Influenza A/H3,2013,20,2013-05-19,2012/13,504,Pre-pandemic,358,146
-0.3357471271608836,-0.4044982886757543,-0.2665009766873039,-0.5409084360845896,-0.13189229495337085,0.001,73,Influenza A/H3,2013,21,2013-05-26,2012/13,511,Pre-pandemic,358,153
-0.29372505075593924,-0.36218183473909693,-0.22189226280489427,-0.5015562541097685,-0.08780219310069833,0.0026666666666666666,74,Influenza A/H3,2013,22,2013-06-02,2012/13,518,Pre-pandemic,358,160
-0.24808405181922843,-0.32962876231019744,-0.1689123791339492,-0.48304245631638254,-0.013150753765308871,0.02,75,Influenza A/H3,2013,23,2013-06-09,2012/13,525,Pre-pandemic,358,167
-0.20780886870445425,-0.2858827914605143,-0.13005367020338843,-0.43028391430935276,0.020392654202423408,0.03866666666666667,76,Influenza A/H3,2013,24,2013-06-16,2012/13,532,Pre-pandemic,358,174
-0.16766147712915114,-0.25327759674053185,-0.08395787043523328,-0.4156103756716771,0.06393883183831423,0.085,77,Influenza A/H3,2013,25,2013-06-23,2012/13,539,Pre-pandemic,358,181
-0.1335071325357844,-0.22800395118598038,-0.03829668202776365,-0.40407493569295067,0.1337255005150415,0.17333333333333334,78,Influenza A/H3,2013,26,2013-06-30,2012/13,546,Pre-pandemic,358,188
-0.0992948716324431,-0.18754249137708706,-0.012400603356597484,-0.34514422479105744,0.14495386862443307,0.21633333333333332,79,Influenza A/H3,2013,27,2013-07-07,2013/14,188,Pre-pandemic,370,-182
-0.0667496314739191,-0.1503867133930982,0.011999844585319108,-0.31175400404316833,0.15839119135057317,0.2806666666666667,80,Influenza A/H3,2013,28,2013-07-14,2013/14,195,Pre-pandemic,370,-175
-0.04121624493258702,-0.13076524613433851,0.04829912086057492,-0.3030912974530222,0.2121601317526105,0.38033333333333336,81,Influenza A/H3,2013,29,2013-07-21,2013/14,202,Pre-pandemic,370,-168
-0.018549989068549322,-0.09905367384752828,0.06483053551327683,-0.2556577164237028,0.21795542378607016,0.444,82,Influenza A/H3,2013,30,2013-07-28,2013/14,209,Pre-pandemic,370,-161
0.005048327535459585,-0.07653321345614089,0.0874861282234507,-0.253646211092021,0.25747683373594604,0.515,83,Influenza A/H3,2013,31,2013-08-04,2013/14,216,Pre-pandemic,370,-154
0.02578853461763142,-0.06414427699081832,0.12406790974489451,-0.2452846924399675,0.3013012921666821,0.5853333333333334,84,Influenza A/H3,2013,32,2013-08-11,2013/14,223,Pre-pandemic,370,-147
0.04959875462895269,-0.032188721494860795,0.13602774604120238,-0.1865275223777307,0.31207279653632924,0.6616666666666666,85,Influenza A/H3,2013,33,2013-08-18,2013/14,230,Pre-pandemic,370,-140
0.0776755614163529,-0.007961464018287595,0.1622524230392498,-0.1658010735842336,0.3357613705690655,0.7296666666666667,86,Influenza A/H3,2013,34,2013-08-25,2013/14,237,Pre-pandemic,370,-133
0.09554194624187795,-0.0011516934954432512,0.19369402600108687,-0.16835824537452745,0.37737027799012535,0.747,87,Influenza A/H3,2013,35,2013-09-01,2013/14,244,Pre-pandemic,370,-126
0.10656774815150871,0.018509065781715406,0.19506869823174244,-0.13344776866298164,0.3663920805144641,0.7966666666666666,88,Influenza A/H3,2013,36,2013-09-08,2013/14,251,Pre-pandemic,370,-119
0.10921570523268209,0.029414087895193453,0.19491177788130576,-0.13458760387541563,0.3651738534366442,0.8156666666666667,89,Influenza A/H3,2013,40,2013-10-06,2013/14,279,Pre-pandemic,370,-91
0.10973232262475618,0.01976399039674004,0.1972654565639485,-0.15991362660162203,0.3776665377350446,0.795,90,Influenza A/H3,2013,41,2013-10-13,2013/14,286,Pre-pandemic,370,-84
0.10193357448487173,0.02006878759837505,0.18122178149543822,-0.1390200632887825,0.34422046495477104,0.8003333333333333,91,Influenza A/H3,2013,42,2013-10-20,2013/14,293,Pre-pandemic,370,-77
0.08956663303707724,0.010822924315572413,0.17090054751072292,-0.13986562214525408,0.3208394581123144,0.7763333333333333,92,Influenza A/H3,2013,43,2013-10-27,2013/14,300,Pre-pandemic,370,-70
