"date","season","Rt_mean","Rt_lower","Rt_upper","subtype","season_year","day_in_season","cum_prop"
2011-12-27,"2011/12",1.60623786578828,1.24226424903703,2.01626259069793,"A/H3N2",2011,117,0.0451786918408631
2012-12-18,"2012/13",1.36735183314314,1.01808325168738,1.76733620464737,"A/H3N2",2012,108,0.0425851703406814
2013-12-22,"2013/14",1.37720541812042,0.899636303162267,1.9548335342001,"A/H1N1pdm09",2013,112,0.0252754374594945
2014-12-17,"2014/15",1.52599029010135,1.38868351462532,1.66967727134461,"A/H3N2",2014,107,0.116358520900322
2015-12-12,"2015/16",1.32793362875299,1.05296877993936,1.63431399693642,"A/H1N1pdm09",2015,102,0.021028914757792
2016-12-12,"2016/17",1.40382343372053,1.23041858374398,1.58849294296811,"A/H3N2",2016,102,0.0549042036030884
2017-12-24,"2017/18",1.40664039010416,1.26545231811747,1.55518779193504,"A/H3N2",2017,114,0.0851588170865279
2018-12-30,"2018/19",1.23263492817409,1.12557581864446,1.3444879650318,"A/H1N1pdm09",2018,120,0.130075187969925
2022-12-19,"2022/23",1.32619925147627,1.27884888479839,1.37439832288749,"A/H3N2",2022,109,0.413793103448276
2023-12-10,"2023/24",1.54377776195016,1.332060967531,1.77088023303897,"A/H1N1pdm09",2023,100,0.0506592643997224
2023-12-17,"2023/24",1.37756644135965,1.27943485747475,1.47927237465037,"A/H3N2",2023,107,0.124346038863976
2024-11-25,"2024/25",1.35120191435259,1.23982672367659,1.46729896843134,"A/H1N1pdm09",2024,85,0.0589962967692504
2025-10-06,"2025/26",1.48883667487279,1.28201730995896,1.71089503354865,"A/H3N2",2025,35,0.0460477255779269
