,Scenario,peak_date,ratio_peak_reported,ratio_cumulative_symptomatic,ratio_peak_symptomatic_est
1,A. Base case (loosely based on 2022/23),10/12/2022,1.00,1.00,1.00
2,B. Moderate immune escape (5% overall),03/12/2022,0.91,1.21,0.91
3,C. High immune escape (10% overall),12/11/2022,0.94,1.35,0.94
4,D. Highest immune escape (20% overall),15/10/2022,2.32,1.75,2.31
5,E. Reduce immune fraction in <18 by 50%,08/10/2022,1.62,1.01,1.62
6,"F. Reduce immune fraction to 20% in
 <5 and 50% in 5-18",12/11/2022,0.54,0.94,0.54
7,G. Higher transmissibility (R0=2.2),03/12/2022,0.70,1.06,0.70
8,H. Highest transmissibility (R0=2.4),05/11/2022,0.66,1.04,0.66
9,I. Two weeks earlier seeding,07/12/2022,0.48,0.87,0.48
10,I. Two weeks earlier seeding and 5% immune escape,12/10/2022,0.69,0.99,0.69
11,J. One month earlier seeding,12/10/2022,0.47,0.73,0.47
