WeekCommencing,Influenza,COVID-19,RSV,hMPV,Entero/Rhinovirus,Adenovirus,Other Coronavirus,Awaiting results,None detected,age group 
03/01/2022,0,0,3,1,2,2,0,0,3,less than 5
10/01/2022,0,2,1,0,2,2,1,0,3,less than 5
17/01/2022,0,4,0,0,2,2,0,0,3,less than 5
24/01/2022,0,0,0,0,9,1,0,0,4,less than 5
31/01/2022,1,0,0,0,2,2,0,0,7,less than 5
07/02/2022,0,0,0,0,3,1,0,0,3,less than 5
14/02/2022,0,0,0,0,2,1,0,0,4,less than 5
21/02/2022,0,2,2,0,4,0,0,0,6,less than 5
28/02/2022,0,0,1,0,8,4,0,0,7,less than 5
07/03/2022,1,1,0,1,6,1,1,0,0,less than 5
14/03/2022,0,1,1,1,5,4,2,0,7,less than 5
21/03/2022,1,1,1,0,6,2,2,0,2,less than 5
28/03/2022,1,0,0,0,5,0,1,0,3,less than 5
04/04/2022,3,1,1,0,4,2,2,0,5,less than 5
11/04/2022,0,0,1,0,3,1,2,0,1,less than 5
18/04/2022,1,1,0,0,3,1,0,0,4,less than 5
25/04/2022,0,0,0,0,4,1,2,0,0,less than 5
02/05/2022,1,0,0,0,4,2,0,0,4,less than 5
09/05/2022,1,1,1,0,5,1,2,0,4,less than 5
16/05/2022,1,0,3,0,5,0,0,0,3,less than 5
23/05/2022,0,0,1,0,4,2,0,0,2,less than 5
30/05/2022,0,0,1,0,3,1,0,0,1,less than 5
06/06/2022,0,0,1,0,4,2,0,0,9,less than 5
13/06/2022,0,0,5,2,10,0,0,0,5,less than 5
20/06/2022,0,1,5,0,3,3,0,0,3,less than 5
27/06/2022,0,1,2,0,5,4,0,0,5,less than 5
04/07/2022,0,1,4,0,2,0,1,0,8,less than 5
11/07/2022,0,2,3,0,3,0,0,0,4,less than 5
18/07/2022,0,3,5,0,3,0,0,0,6,less than 5
25/07/2022,0,2,11,0,1,0,0,0,7,less than 5
01/08/2022,0,1,4,0,2,0,0,0,4,less than 5
08/08/2022,0,0,2,0,3,0,0,0,4,less than 5
15/08/2022,0,0,0,1,1,0,0,0,4,less than 5
22/08/2022,0,1,1,0,1,0,0,0,2,less than 5
29/08/2022,0,0,1,0,3,0,0,0,3,less than 5
05/09/2022,0,0,1,0,0,0,0,0,0,less than 5
12/09/2022,0,0,2,0,7,0,0,0,4,less than 5
19/09/2022,0,0,0,0,4,0,1,0,1,less than 5
26/09/2022,0,1,4,0,8,0,0,0,10,less than 5
03/10/2022,2,0,3,0,12,0,0,0,16,less than 5
10/10/2022,1,2,2,2,7,0,1,0,12,less than 5
17/10/2022,2,0,6,4,13,0,0,1,13,less than 5
24/10/2022,4,2,15,2,10,0,0,0,17,less than 5
31/10/2022,6,0,13,3,15,6,1,0,12,less than 5
07/11/2022,4,1,21,5,28,6,0,0,7,less than 5
14/11/2022,8,1,17,8,20,5,3,0,10,less than 5
21/11/2022,4,1,25,8,17,8,0,0,7,less than 5
28/11/2022,4,2,21,4,25,8,2,0,6,less than 5
05/12/2022,31,2,26,16,39,10,7,0,19,less than 5
12/12/2022,25,3,20,14,44,6,7,0,26,less than 5
19/12/2022,53,5,18,18,50,20,30,0,24,less than 5
26/12/2022,21,1,9,4,16,7,10,0,15,less than 5
02/01/2023,10,1,4,3,9,3,3,0,9,less than 5
09/01/2023,5,1,4,5,10,1,5,0,13,less than 5
16/01/2023,3,0,5,5,15,5,5,0,13,less than 5
23/01/2023,0,2,1,4,24,8,10,0,10,less than 5
30/01/2023,0,0,2,2,30,7,6,0,13,less than 5
06/02/2023,0,2,2,2,20,7,9,0,14,less than 5
13/02/2023,0,0,3,1,27,13,2,0,11,less than 5
20/02/2023,1,0,3,1,19,4,4,0,19,less than 5
27/02/2023,2,0,1,3,6,9,6,0,13,less than 5
06/03/2023,0,0,0,1,12,5,1,0,15,less than 5
13/03/2023,1,0,1,3,13,4,8,0,30,less than 5
20/03/2023,1,2,3,0,17,6,4,0,24,less than 5
27/03/2023,1,0,2,1,19,4,6,0,29,less than 5
03/04/2023,1,0,2,0,22,6,2,0,12,less than 5
10/04/2023,0,0,0,1,11,5,5,0,18,less than 5
17/04/2023,0,0,0,0,13,5,2,0,23,less than 5
24/04/2023,0,2,0,0,6,3,1,0,14,less than 5
01/05/2023,0,0,2,2,3,0,0,0,12,less than 5
08/05/2023,0,0,0,2,9,1,0,0,7,less than 5
15/05/2023,0,1,1,2,7,4,3,0,16,less than 5
22/05/2023,0,0,0,0,10,1,1,0,21,less than 5
29/05/2023,0,0,0,1,4,3,0,0,14,less than 5
05/06/2023,0,0,0,1,6,2,0,0,11,less than 5
12/06/2023,0,0,0,0,4,2,0,0,16,less than 5
19/06/2023,0,0,0,0,5,4,0,0,10,less than 5
26/06/2023,0,0,0,0,8,6,0,0,22,less than 5
03/07/2023,0,0,1,0,9,2,0,0,18,less than 5
10/07/2023,0,0,0,0,5,1,0,0,4,less than 5
17/07/2023,0,0,1,0,10,1,0,0,18,less than 5
24/07/2023,0,0,0,1,10,0,0,0,22,less than 5
31/07/2023,0,0,0,0,9,1,0,0,7,less than 5
07/08/2023,0,0,1,2,5,3,3,0,7,less than 5
14/08/2023,0,1,0,0,6,0,0,0,9,less than 5
21/08/2023,0,1,0,1,3,0,0,0,10,less than 5
28/08/2023,0,0,1,1,7,2,0,0,4,less than 5
04/09/2023,0,2,1,1,9,0,0,0,13,less than 5
11/09/2023,0,0,3,1,6,1,0,0,14,less than 5
18/09/2023,0,1,1,1,14,1,0,0,16,less than 5
25/09/2023,0,3,5,1,24,1,0,0,14,less than 5
02/10/2023,0,4,16,0,33,4,0,0,28,less than 5
09/10/2023,0,2,16,2,28,1,0,0,26,less than 5
16/10/2023,3,4,24,4,25,6,0,0,27,less than 5
23/10/2023,1,3,26,6,26,5,0,0,35,less than 5
30/10/2023,0,4,43,4,30,2,1,0,31,less than 5
06/11/2023,2,5,61,8,48,5,1,0,38,less than 5
13/11/2023,2,2,53,11,43,4,0,0,42,less than 5
20/11/2023,1,1,50,5,51,11,0,0,26,less than 5
27/11/2023,4,3,66,9,69,16,4,0,49,less than 5
04/12/2023,5,2,38,14,54,6,0,0,41,less than 5
11/12/2023,6,6,34,15,49,12,1,0,43,less than 5
18/12/2023,19,8,32,20,50,8,4,0,76,less than 5
25/12/2023,6,5,10,10,30,13,2,0,46,less than 5
03/01/2022,0,8,0,1,1,1,1,0,12,19-64
10/01/2022,0,31,0,1,4,2,0,0,27,19-64
17/01/2022,0,21,0,0,3,1,0,0,19,19-64
24/01/2022,0,22,1,2,3,1,0,0,11,19-64
31/01/2022,0,30,1,0,3,0,2,0,10,19-64
07/02/2022,0,20,0,0,1,1,0,0,16,19-64
14/02/2022,0,8,0,0,1,0,0,0,5,19-64
21/02/2022,1,14,1,0,2,1,0,0,17,19-64
28/02/2022,0,20,0,0,1,1,1,0,5,19-64
07/03/2022,2,19,0,0,1,1,0,0,13,19-64
14/03/2022,1,25,1,0,5,0,2,0,17,19-64
21/03/2022,5,30,0,0,3,0,1,0,25,19-64
28/03/2022,3,25,0,0,4,2,3,0,23,19-64
04/04/2022,2,16,0,0,3,3,8,0,34,19-64
11/04/2022,2,4,1,0,2,0,1,0,21,19-64
18/04/2022,2,6,0,0,3,1,2,0,20,19-64
25/04/2022,2,3,0,0,1,0,1,0,8,19-64
02/05/2022,2,0,0,0,3,1,0,0,8,19-64
09/05/2022,1,1,0,0,4,0,0,0,8,19-64
16/05/2022,1,0,0,0,5,0,1,0,16,19-64
23/05/2022,0,4,0,0,4,0,1,0,14,19-64
30/05/2022,0,1,0,0,2,0,0,0,7,19-64
06/06/2022,1,1,0,0,3,1,0,0,16,19-64
13/06/2022,1,2,0,0,2,1,0,0,11,19-64
20/06/2022,2,7,1,0,4,0,0,0,24,19-64
27/06/2022,0,13,0,1,1,0,0,0,20,19-64
04/07/2022,2,9,0,1,4,0,0,0,28,19-64
11/07/2022,0,17,1,0,5,0,1,0,14,19-64
18/07/2022,0,13,0,0,0,0,0,0,14,19-64
25/07/2022,0,7,0,0,4,0,1,0,21,19-64
01/08/2022,1,3,1,0,1,0,0,0,19,19-64
08/08/2022,3,7,2,0,0,0,0,0,25,19-64
15/08/2022,2,5,0,0,0,0,0,0,19,19-64
22/08/2022,2,1,0,0,0,0,0,0,11,19-64
29/08/2022,1,3,0,0,0,0,0,0,14,19-64
05/09/2022,3,0,0,0,0,0,0,0,20,19-64
12/09/2022,3,13,4,0,9,0,0,0,33,19-64
19/09/2022,1,6,0,0,13,0,1,0,25,19-64
26/09/2022,1,7,1,0,8,0,0,1,30,19-64
03/10/2022,11,21,1,0,25,0,0,0,62,19-64
10/10/2022,10,18,4,0,38,0,0,0,53,19-64
17/10/2022,8,17,7,1,23,0,1,0,55,19-64
24/10/2022,11,5,12,3,31,0,0,0,80,19-64
31/10/2022,11,16,9,3,25,2,1,0,95,19-64
07/11/2022,10,13,10,5,27,4,3,0,80,19-64
14/11/2022,21,9,8,4,17,0,0,0,83,19-64
21/11/2022,13,7,6,4,22,1,0,0,74,19-64
28/11/2022,27,12,22,7,19,1,0,0,82,19-64
05/12/2022,32,15,21,7,21,6,0,0,82,19-64
12/12/2022,65,15,20,15,29,2,2,0,76,19-64
19/12/2022,164,27,16,13,39,3,13,1,129,19-64
