Week_commencing,B,H1N1,H3,A,age_group
03/01/2022,NA,NA,NA,NA,<5
10/01/2022,NA,NA,NA,NA,<5
17/01/2022,NA,NA,NA,NA,<5
24/01/2022,NA,NA,1,NA,<5
31/01/2022,NA,NA,NA,NA,<5
07/02/2022,NA,NA,NA,NA,<5
14/02/2022,NA,NA,NA,NA,<5
21/02/2022,NA,NA,NA,NA,<5
28/02/2022,NA,NA,NA,NA,<5
07/03/2022,NA,NA,1,NA,<5
14/03/2022,NA,NA,NA,NA,<5
21/03/2022,NA,1,NA,NA,<5
28/03/2022,NA,1,NA,NA,<5
04/04/2022,NA,NA,3,NA,<5
11/04/2022,NA,NA,NA,NA,<5
18/04/2022,NA,NA,1,NA,<5
25/04/2022,NA,NA,NA,NA,<5
02/05/2022,NA,NA,1,NA,<5
09/05/2022,NA,NA,1,NA,<5
16/05/2022,NA,1,NA,NA,<5
23/05/2022,NA,NA,NA,NA,<5
30/05/2022,NA,NA,NA,NA,<5
06/06/2022,NA,NA,NA,NA,<5
13/06/2022,NA,NA,NA,NA,<5
20/06/2022,NA,NA,NA,NA,<5
27/06/2022,NA,NA,NA,NA,<5
04/07/2022,NA,NA,NA,NA,<5
11/07/2022,NA,NA,1,NA,<5
18/07/2022,NA,NA,NA,NA,<5
25/07/2022,NA,NA,NA,NA,<5
01/08/2022,NA,NA,NA,NA,<5
08/08/2022,NA,NA,NA,NA,<5
15/08/2022,NA,NA,NA,NA,<5
22/08/2022,NA,1,NA,NA,<5
29/08/2022,NA,NA,NA,NA,<5
05/09/2022,NA,NA,NA,NA,<5
12/09/2022,NA,NA,NA,NA,<5
19/09/2022,NA,NA,NA,NA,<5
26/09/2022,NA,NA,NA,NA,<5
03/10/2022,NA,NA,2,NA,<5
10/10/2022,NA,NA,1,NA,<5
17/10/2022,NA,1,1,NA,<5
24/10/2022,NA,2,2,NA,<5
31/10/2022,2,1,1,NA,<5
07/11/2022,NA,NA,4,NA,<5
14/11/2022,NA,3,4,1,<5
21/11/2022,NA,2,2,NA,<5
28/11/2022,NA,1,3,NA,<5
05/12/2022,4,7,17,3,<5
12/12/2022,1,4,18,2,<5
19/12/2022,1,15,27,10,<5
26/12/2022,1,5,13,2,<5
02/01/2023,NA,3,7,NA,<5
09/01/2023,1,NA,4,NA,<5
16/01/2023,1,NA,2,NA,<5
23/01/2023,NA,NA,2,NA,<5
30/01/2023,NA,NA,2,NA,<5
06/02/2023,NA,NA,NA,NA,<5
13/02/2023,NA,NA,NA,NA,<5
20/02/2023,1,NA,1,NA,<5
27/02/2023,2,NA,NA,NA,<5
06/03/2023,NA,NA,NA,NA,<5
13/03/2023,1,NA,NA,1,<5
20/03/2023,NA,NA,NA,NA,<5
27/03/2023,1,NA,NA,NA,<5
03/04/2023,1,NA,NA,NA,<5
10/04/2023,NA,NA,NA,NA,<5
17/04/2023,NA,NA,NA,NA,<5
24/04/2023,NA,NA,NA,NA,<5
01/05/2023,NA,NA,NA,NA,<5
08/05/2023,NA,NA,NA,NA,<5
15/05/2023,NA,NA,NA,NA,<5
22/05/2023,NA,NA,NA,NA,<5
29/05/2023,NA,NA,NA,NA,<5
05/06/2023,NA,NA,NA,NA,<5
12/06/2023,NA,NA,NA,NA,<5
