week,virus,age,percent,date_start
1,fluB,5,0.05816260367169579,2024-01-01
1,H1,5,0.00151938914749716,2024-01-01
1,H3,5,0.05810453784440295,2024-01-01
1,A,5,9.677637881955192e-6,2024-01-01
2,fluB,5,0,2024-01-08
2,H1,5,0.15159051978593063,2024-01-08
2,H3,5,0.17431361353320884,2024-01-08
2,A,5,0.00154842206114347,2024-01-08
3,fluB,5,0.06002071014506804,2024-01-15
3,H1,5,0.11772846483630262,2024-01-15
3,H3,5,0.13610629917449746,2024-01-15
3,A,5,0.00151938914749683,2024-01-15
4,fluB,5,0.05560770727080944,2024-01-22
4,H1,5,0.1834976918833651,2024-01-22
4,H3,5,0.131480388266832,2024-01-22
4,A,5,0.0015484220611433,2024-01-22
5,fluB,5,0.01142929033881445,2024-01-29
5,H1,5,0.2125499608055661,2024-01-29
5,H3,5,0.1406644666169884,2024-01-29
5,A,5,0.00153874442326124,2024-01-29
6,fluB,5,0.07429522602123284,2024-02-05
6,H1,5,0.12996099911933492,2024-02-05
6,H3,5,0.07646301690683341,2024-02-05
6,A,5,0.00152906678537911,2024-02-05
7,fluB,5,0.2120854341872236,2024-02-12
7,H1,5,0.17584268031858807,2024-02-12
7,H3,5,0.0902149403373622,2024-02-12
7,A,5,0.00611626714151614,2024-02-12
8,fluB,5,0,2024-02-19
8,H1,5,0.11133154619620456,2024-02-19
8,H3,5,0.06727893855667699,2024-02-19
8,A,5,0.00152906678537911,2024-02-19
9,fluB,5,0.08397286390337877,2024-02-26
9,H1,5,0.15442606768539924,2024-02-26
9,H3,5,0.07952115047759123,2024-02-26
9,A,5,0.00151938914749694,2024-02-26
10,fluB,5,0.01380998925782206,2024-03-04
10,H1,5,0.04588168119925284,2024-03-04
10,H3,5,0.2155984167384426,2024-03-04
10,A,5,0.00150971150961454,2024-03-04
11,fluB,5,0.05831744587781018,2024-03-11
11,H1,5,0,2024-03-11
11,H3,5,0.12079627604494304,2024-03-11
11,A,5,0.0061259447793982,2024-03-11
12,fluB,5,0.04014284193514061,2024-03-18
12,H1,5,0.04128480320523354,2024-03-18
12,H3,5,0.09480214069349956,2024-03-18
12,A,5,0.00151938914749694,2024-03-18
13,fluB,5,0.02195856035458887,2024-03-25
13,H1,5,0.05046888155538998,2024-03-25
13,H3,5,0.08868587355198332,2024-03-25
13,A,5,0,2024-03-25
14,fluB,5,0.03129748091085949,2024-04-01
14,H1,5,0.02600381298932541,2024-04-01
14,H3,5,0.14067414425487046,2024-04-01
14,A,5,0,2024-04-01
15,fluB,5,0.0941634165932781,2024-04-08
15,H1,5,0,2024-04-08
15,H3,5,0,2024-04-08
15,A,5,0.00305813357075823,2024-04-08
16,fluB,5,0.1570293522756967,2024-04-15
16,H1,5,0.00152906678537889,2024-04-15
16,H3,5,0,2024-04-15
16,A,5,0,2024-04-15
17,fluB,5,0.06544986499695171,2024-04-22
17,H1,5,9.677637882177235e-6,2024-04-22
17,H3,5,0,2024-04-22
17,A,5,0.00153874442326107,2024-04-22
18,fluB,5,0.03197491556260967,2024-04-29
18,H1,5,0.06728861619455917,2024-04-29
18,H3,5,0,2024-04-29
18,A,5,0,2024-04-29
19,fluB,5,0.06579825996070898,2024-05-06
19,H1,5,0,2024-05-06
19,H3,5,0,2024-05-06
19,A,5,0.00306781120864019,2024-05-06
20,fluB,5,0.03386205494962802,2024-05-13
20,H1,5,0.06726926091879483,2024-05-13
20,H3,5,0.0305813357075806,2024-05-13
20,A,5,0.00151938914749691,2024-05-13
21,fluB,5,0.06918543321945991,2024-05-20
21,H1,5,0,2024-05-20
21,H3,5,0,2024-05-20
21,A,5,0,2024-05-20
22,fluB,5,0,2024-05-27
22,H1,5,0,2024-05-27
22,H3,5,0,2024-05-27
22,A,5,0,2024-05-27
23,fluB,5,0.04658814876464978,2024-06-03
23,H1,5,0,2024-06-03
23,H3,5,0.00151938914749694,2024-06-03
23,A,5,9.677637882184176e-6,2024-06-03
24,fluB,5,0,2024-06-10
24,H1,5,0,2024-06-10
24,H3,5,0,2024-06-10
24,A,5,0,2024-06-10
25,fluB,5,0,2024-06-17
25,H1,5,0,2024-06-17
25,H3,5,0.03163619823673458,2024-06-17
25,A,5,0.00153874442326128,2024-06-17
26,fluB,5,0.05168826392854031,2024-06-24
26,H1,5,0,2024-06-24
26,H3,5,0,2024-06-24
26,A,5,0,2024-06-24
27,fluB,5,0.03808150506624352,2024-07-01
27,H1,5,0.00308716648440476,2024-07-01
27,H3,5,0,2024-07-01
27,A,5,0.0351588584258351,2024-07-01
28,fluB,5,0,2024-07-08
28,H1,5,0,2024-07-08
28,H3,5,0,2024-07-08
28,A,5,0,2024-07-08
29,fluB,5,0,2024-07-15
29,H1,5,2.0323039552527e-4,2024-07-15
29,H3,5,0,2024-07-15
29,A,5,0,2024-07-15
30,fluB,5,0,2024-07-22
30,H1,5,0,2024-07-22
30,H3,5,0.08294703428787109,2024-07-22
30,A,5,0,2024-07-22
31,fluB,5,0,2024-07-29
31,H1,5,0,2024-07-29
31,H3,5,0,2024-07-29
31,A,5,0,2024-07-29
32,fluB,5,0,2024-08-05
32,H1,5,0,2024-08-05
32,H3,5,7.0646756539693e-4,2024-08-05
32,A,5,0,2024-08-05
33,fluB,5,0,2024-08-12
33,H1,5,0,2024-08-12
33,H3,5,0,2024-08-12
33,A,5,9.0002032303981e-4,2024-08-12
34,fluB,5,0,2024-08-19
34,H1,5,0,2024-08-19
34,H3,5,0,2024-08-19
34,A,5,0,2024-08-19
35,fluB,5,0,2024-08-26
35,H1,5,0,2024-08-26
35,H3,5,0,2024-08-26
35,A,5,0,2024-08-26
36,fluB,5,0,2024-09-02
36,H1,5,0.20781759588119764,2024-09-02
36,H3,5,0,2024-09-02
36,A,5,0,2024-09-02
37,fluB,5,3.87105515287e-5,2024-09-09
37,H1,5,0,2024-09-09
37,H3,5,0.06119170432880749,2024-09-09
37,A,5,0,2024-09-09
38,fluB,5,1.935527576431e-4,2024-09-16
38,H1,5,0,2024-09-16
38,H3,5,0,2024-09-16
38,A,5,0,2024-09-16
39,fluB,5,0.00190649466278292,2024-09-23
39,H1,5,0.03056198043181601,2024-09-23
39,H3,5,0.0244844238418287,2024-09-23
39,A,5,0.00151938914749694,2024-09-23
40,fluB,5,0,2024-09-30
40,H1,5,0.02653608307284383,2024-09-30
40,H3,5,0,2024-09-30
40,A,5,0.00305813357075823,2024-09-30
41,fluB,5,7.3550047904324e-4,2024-10-07
41,H1,5,0.02902323600855495,2024-10-07
41,H3,5,0,2024-10-07
41,A,5,0,2024-10-07
42,fluB,5,0.02838451190833368,2024-10-14
42,H1,5,0.04130415848099789,2024-10-14
42,H3,5,0.02445539092818216,2024-10-14
42,A,5,0,2024-10-14
43,fluB,5,0.05914972273567476,2024-10-21
43,H1,5,0.05350765985038364,2024-10-21
43,H3,5,0.03517821370159968,2024-10-21
43,A,5,0.00152906678537911,2024-10-21
44,fluB,5,0.00121938237315055,2024-10-28
44,H1,5,0.06879832770417395,2024-10-28
44,H3,5,0.06116267141516096,2024-10-28
44,A,5,0.00152906678537911,2024-10-28
45,fluB,5,0.0013839022171469,2024-11-04
45,H1,5,0.03821699199659357,2024-11-04
45,H3,5,0.00460655563190148,2024-11-04
45,A,5,0,2024-11-04
46,fluB,5,0.05660450397267058,2024-11-11
46,H1,5,0.0978505966263754,2024-11-11
46,H3,5,0.02293600178068522,2024-11-11
46,A,5,0.00765501156477735,2024-11-11
47,fluB,5,0.02618768810908633,2024-11-18
47,H1,5,0.16361014603555565,2024-11-18
47,H3,5,0.01681973463916944,2024-11-18
47,A,5,0.01834880142454809,2024-11-18
48,fluB,5,0.02328439674444271,2024-11-25
48,H1,5,0.11621875332668807,2024-11-25
48,H3,5,0.00152906678537889,2024-11-25
48,A,5,0,2024-11-25
49,fluB,5,0.06628214185481607,2024-12-02
49,H1,5,0.16209075688805874,2024-12-02
49,H3,5,0.03057165806969841,2024-12-02
49,A,5,0.0290425912843194,2024-12-02
