y,lb_50,ub_50,lb_95,ub_95,prop,time,pathogen,agegroup,Year,Week,date,Season,time_rel
-1.3344145706767656,-1.405419338943414,-1.2579130283044533,-1.5572238578564979,-1.1175230679805392,0,2,Influenza A/H3,1-4,2023,2,2023-01-15,2022 to 2023,1
-1.1755327811597498,-1.2316035205026878,-1.1216284868465964,-1.3462531744946804,-1.0159735579884848,0,3,Influenza A/H3,1-4,2023,3,2023-01-22,2022 to 2023,2
-0.9586973304221147,-1.0108728835785254,-0.907978391243815,-1.1219845851839119,-0.8079969427520034,0,4,Influenza A/H3,1-4,2023,4,2023-01-29,2022 to 2023,3
-0.6999611838749749,-0.7660927848783922,-0.6382013974049592,-0.8994307972496411,-0.5145973946508035,0,5,Influenza A/H3,1-4,2023,5,2023-02-05,2022 to 2023,4
-0.48762338414729456,-0.565409921758814,-0.40801465578713764,-0.7241066251670224,-0.2540352500009077,0,6,Influenza A/H3,1-4,2023,6,2023-02-12,2022 to 2023,5
-0.3319007416174613,-0.40686900529562836,-0.25211236346013116,-0.5633434394756124,-0.11051042866404918,0.002,7,Influenza A/H3,1-4,2023,7,2023-02-19,2022 to 2023,6
-0.233190078487149,-0.3255724368244297,-0.15094266057086902,-0.4970051240313887,0.017742218736350714,0.033,8,Influenza A/H3,1-4,2023,8,2023-02-26,2022 to 2023,7
-0.2051674844217834,-0.30561529691354816,-0.10801969655665078,-0.5075777383262357,0.07801129964106991,0.078,9,Influenza A/H3,1-4,2023,9,2023-03-05,2022 to 2023,8
-0.236230787277306,-0.3406979083720306,-0.14621903183574017,-0.5425437858584706,0.028727368843523417,0.042,10,Influenza A/H3,1-4,2023,10,2023-03-12,2022 to 2023,9
-0.3196365567026369,-0.4359060905579987,-0.2165288460000479,-0.6805783776718464,-0.023307135204100802,0.016666666666666666,11,Influenza A/H3,1-4,2023,11,2023-03-19,2022 to 2023,10
-0.3930083254138248,-0.5242909528719136,-0.2745316574652772,-0.8264756123993485,-0.06631373405070978,0.011333333333333334,12,Influenza A/H3,1-4,2023,12,2023-03-26,2022 to 2023,11
-0.4493191224547903,-0.590130051077031,-0.32709015373946165,-0.9252800454896174,-0.11511388443013738,0.0033333333333333335,13,Influenza A/H3,1-4,2023,13,2023-04-02,2022 to 2023,12
-0.48217257830229876,-0.6346077806894701,-0.357046387914078,-1.0136710668648417,-0.13090623418590985,0.0036666666666666666,14,Influenza A/H3,1-4,2023,14,2023-04-09,2022 to 2023,13
-0.48320985582193937,-0.6569030587159436,-0.34310838104039726,-1.0563560632736924,-0.0938592102153772,0.006333333333333333,15,Influenza A/H3,1-4,2023,15,2023-04-16,2022 to 2023,14
-0.4538073400261285,-0.6109097810829646,-0.31308824889851067,-0.9985102096975593,-0.07096478413733226,0.009666666666666667,16,Influenza A/H3,1-4,2023,16,2023-04-23,2022 to 2023,15
-0.38812133340531796,-0.5518015078934232,-0.24638793622775396,-0.9149947276497729,-0.009024754653782599,0.023333333333333334,17,Influenza A/H3,1-4,2023,17,2023-04-30,2022 to 2023,16
-0.30583197393860495,-0.47780776205841313,-0.16053489596413129,-0.8337280596992499,0.07998396335376849,0.067,18,Influenza A/H3,1-4,2023,18,2023-05-07,2022 to 2023,17
