"","Source","Year","Week","Season","date","cases_total","gr","gr_smooth","date_int","log_y","fitted_log","fitted_se","lower","upper","r_week","lower_r","upper_r"
"1","FluNet",2012,1,"2011/12",2012-01-08,65,NA,NA,141,4.17592454921452,3.57258464396046,0.39445948267799,2.7994440579116,4.34572523000932,NA,NA,NA
"2","FluNet",2012,2,"2011/12",2012-01-15,25,-0.943371690476826,NA,143,3.22286784613774,3.8293284057147,0.293870065565338,3.25334307720664,4.40531373422277,0.128371880877124,0.226949509647523,0.0297942521067247
"3","FluNet",2012,3,"2011/12",2012-01-22,62,0.896488104577976,NA,145,4.12874598893943,4.09327472996169,0.243562172424661,3.61589287200935,4.57065658791402,0.13197316212349,0.181274897401353,0.0826714268456272
"4","FluNet",2012,4,"2011/12",2012-01-29,66,0.0620353909194522,0.00505060167353388,147,4.19116874685764,4.35292716424182,0.222133396312291,3.91754570746973,4.78830862101391,0.129826217140067,0.150826417730189,0.108826016549945
"5","FluNet",2012,5,"2011/12",2012-02-05,85,0.251314428280907,0.403279307926111,149,4.44382703557933,4.59678925609553,0.211228365885808,4.18278165895934,5.01079685323171,0.121931045926853,0.132617975744806,0.1112441161089
"6","FluNet",2012,6,"2011/12",2012-02-12,89,0.0457222493380947,0.119690689512818,151,4.48975933447676,4.81336455306322,0.203209013036273,4.41507488751213,5.21165421861432,0.108287648483848,0.116146614276392,0.100428682691304
"7","FluNet",2012,7,"2011/12",2012-02-19,140,0.450968863492991,0.249335180370664,153,4.94235645334296,4.99115660268532,0.19822651008849,4.60263264291189,5.37968056245876,0.0888960248110515,0.0937788776998798,0.0840131719222232
"8","FluNet",2012,8,"2011/12",2012-02-26,251,0.582235500765993,0.35964220453236,155,5.52585126616354,5.11866895250226,0.198329560208142,4.7299430144943,5.50739489051022,0.0637561749084661,0.0636551857912062,0.0638571640257259
"9","FluNet",2012,9,"2011/12",2012-03-04,218,-0.140656975004149,0.297515796418278,157,5.38495367320758,5.18440515005444,0.202880344451311,4.78675967492987,5.58205062517901,0.0328680987760919,0.0284083302177867,0.0373278673343971
"10","FluNet",2012,10,"2011/12",2012-03-11,170,-0.248050717812073,0.0645092693165902,159,5.13638649940182,5.17686968037509,0.207307784718103,4.77054642232761,5.58319293842257,-0.0037677348396743,-0.00810662630112979,0.000571156621781199
"11","FluNet",2012,11,"2011/12",2012-03-18,158,-0.0729807034062366,-0.153896132074153,161,5.06322774421543,5.08917719328922,0.206183493721702,4.68505754559468,5.49329684098375,-0.0438462435429385,-0.0427444383664657,-0.0449480487194114
"12","FluNet",2012,12,"2011/12",2012-03-25,148,-0.0651696350745805,-0.128733685430963,163,4.99788772127375,4.92974337022025,0.199002216744263,4.53969902540149,5.319787715039,-0.0797169115344833,-0.072679260096594,-0.0867545629723727
"13","FluNet",2012,13,"2011/12",2012-04-01,243,0.49453198427989,0.118793881933024,165,5.49347288132208,4.7101541694808,0.188497520257438,4.34069902977622,5.07960930918537,-0.109794600369726,-0.0994999978126376,-0.120089202926815
