y,lb_50,ub_50,lb_95,ub_95,prop,time,pathogen,Year,Week,date,season,day_of_year,plot_label,peak_time,day_shifted,H3_sum,flu_pos_sum,Season,gr,gr_smooth
-0.14618714486722673,-0.31468026099228597,0.027236342941269975,-0.6396976291724574,0.379323473273794,0.28455555555555556,2,H3_sum,2011,2,2011-01-10,2010/11,375,Other,480,-105,35,1510,2010/11,0.608512795419236,NA
-0.1555360314395109,-0.29888833750453236,-0.01482375147924786,-0.5514355752623601,0.28315785115056685,0.22944444444444445,3,H3_sum,2011,3,2011-01-17,2010/11,382,Other,480,-98,16,783,2010/11,-0.7793818584814027,NA
-0.17089437161168197,-0.29430319162706264,-0.044328614323834836,-0.5339164892843112,0.21121580318274685,0.1821111111111111,4,H3_sum,2011,4,2011-01-24,2010/11,389,Other,480,-91,5,400,2010/11,-1.1495787322601374,NA
-0.18559852751472894,-0.30070686961991466,-0.0701277558404586,-0.5295732988343252,0.15382100624387712,0.14055555555555554,5,H3_sum,2011,5,2011-01-31,2010/11,396,Other,480,-84,21,229,2010/11,1.420032500751741,0.02489617635735919
-0.21668692179045257,-0.3302207949568189,-0.10565258648909348,-0.560151609724632,0.1181252073855261,0.10133333333333333,6,H3_sum,2011,6,2011-02-07,2010/11,403,Other,480,-77,10,151,2010/11,-0.7367376166348072,-0.31141642665615155
-0.24438656604226927,-0.3607284415870467,-0.1285581473953269,-0.5851948695623832,0.08388223281318434,0.07333333333333333,7,H3_sum,2011,7,2011-02-14,2010/11,410,Other,480,-70,0,149,2010/11,-4.61512051684126,-1.2703510912461158
-0.2599893808576663,-0.38070609587076165,-0.1433301961415645,-0.6033911602598926,0.08409697962182858,0.06455555555555556,8,H3_sum,2011,8,2011-02-21,2010/11,417,Other,480,-63,11,83,2010/11,4.709530201312334,0.19442614214700216
-0.30101717363959524,-0.4253470475882238,-0.18049988821601198,-0.6644142347887667,0.03956760106575239,0.04088888888888889,9,H3_sum,2011,9,2011-02-28,2010/11,424,Other,480,-56,7,35,2010/11,-0.4468503242710187,-0.2722945641086878
-0.34649916808437065,-0.47562405927692797,-0.22291792137168842,-0.723057488059042,0.004502918550660069,0.026111111111111113,10,H3_sum,2011,10,2011-03-07,2010/11,431,Other,480,-49,3,18,2010/11,-0.8286926725561691,-0.29528332808902835
-0.37803768433537255,-0.5080527354329272,-0.24973348650116112,-0.7779488164890114,-0.024860849530839134,0.018555555555555554,11,H3_sum,2011,11,2011-03-14,2010/11,438,Other,480,-42,0,29,2010/11,-3.4339872044851463,0
-0.37969012336102115,-0.5086328910731351,-0.25013268272828576,-0.7842646257946359,-0.017011754848010686,0.021333333333333333,12,H3_sum,2011,12,2011-03-21,2010/11,445,Other,480,-35,0,16,2010/11,0,-1.1773825503280835
-0.3496581679747913,-0.4868963481208801,-0.21888183699790006,-0.765636460579119,0.01377658190065982,0.029444444444444443,13,H3_sum,2011,13,2011-03-28,2010/11,452,Other,480,-28,0,13,2010/11,0,-1.0656699692603289
-0.30409642333975273,-0.4443999256129163,-0.17351236549554475,-0.7221383954064782,0.07431193871776537,0.05733333333333333,14,H3_sum,2011,14,2011-04-04,2010/11,459,Other,480,-21,0,8,2010/11,0,-0.8584968011212866
-0.2547713964483357,-0.3882038360221493,-0.1211097517451518,-0.6582618322817759,0.14047666340545475,0.10166666666666667,15,H3_sum,2011,15,2011-04-11,2010/11,466,Other,480,-14,0,7,2010/11,0,0
-0.1975857485633995,-0.3329883616749376,-0.0663144842866582,-0.5976070770001276,0.19343255719753094,0.1632222222222222,16,H3_sum,2011,16,2011-04-18,2010/11,473,Other,480,-7,0,7,2010/11,0,0
-0.13305281155224236,-0.2702701449904076,-9.700792248922511e-4,-0.5289307129665877,0.2520114754244431,0.2477777777777778,17,H3_sum,2011,17,2011-04-25,2010/11,480,Other,480,0,0,6,2010/11,0,0
-0.07713336922251027,-0.21099352623250747,0.052737930185813464,-0.4796171938085691,0.32586185548221197,0.3451111111111111,18,H3_sum,2011,18,2011-05-02,2010/11,487,Other,480,7,0,7,2010/11,0,0
-0.020128150333223516,-0.15944497138882494,0.11446577967431742,-0.4159513161076637,0.3828747421484611,0.4578888888888889,19,H3_sum,2011,19,2011-05-09,2010/11,494,Other,480,14,0,1,2010/11,0,0
0.028588951571333662,-0.10627917226439405,0.1707406742829167,-0.36737883569834984,0.4321793171580858,0.5575555555555556,20,H3_sum,2011,20,2011-05-16,2010/11,501,Other,480,21,0,5,2010/11,0,0
0.07108165425824992,-0.06750668655067049,0.2093237256830017,-0.33182856102573555,0.4765915250342114,0.6331111111111111,21,H3_sum,2011,21,2011-05-23,2010/11,508,Other,480,28,0,3,2010/11,0,0
0.10511168285873213,-0.03317910487343685,0.24175230468218384,-0.3041100302553893,0.5171573230845956,0.6952222222222222,22,H3_sum,2011,22,2011-05-30,2010/11,515,Other,480,35,0,3,2010/11,0,0
0.12451877326565926,-0.014294514047127484,0.26558666337438264,-0.28456485281663974,0.5423630663754826,0.728,23,H3_sum,2011,23,2011-06-06,2010/11,522,Other,480,42,0,1,2010/11,0,0
0.13280094031411332,-0.004834120320621749,0.27260818114919794,-0.26994713817233235,0.560967082762975,0.741,24,H3_sum,2011,24,2011-06-13,2010/11,529,Other,480,49,1,2,2010/11,2.3978952727983707,0.5994738181995927
0.12040806799153311,-0.016957956797724813,0.2590852397320824,-0.27761875362587735,0.5363112005889745,0.7196666666666667,25,H3_sum,2011,25,2011-06-20,2010/11,536,Other,480,56,0,1,2010/11,-2.3978952727983707,0
0.11731217401293133,-0.017541287130568878,0.2578137532428904,-0.28520304212249814,0.5257421637086004,0.7197777777777777,26,H3_sum,2011,26,2011-06-27,2010/11,543,Other,480,63,0,4,2010/11,0,0
0.11554775741993906,-0.022601103562279116,0.2540994729496894,-0.2919589445274062,0.5177290218824298,0.7182222222222222,27,H3_sum,2011,27,2011-07-04,2011/12,185,Other,346,-161,0,6,2011/12,0,0
