"","Source","Year","Week","Season","date","cases_H3","gr","gr_smooth","date_int","log_y","fitted_log","fitted_se","lower","upper","r_week","lower_r","upper_r"
"1","FluNet",2012,1,"2011/12",2012-01-08,65,NA,NA,141,4.17592454921452,3.72855710541723,0.965082838960431,1.83699474105479,5.62011946977968,NA,NA,NA
"2","FluNet",2012,2,"2011/12",2012-01-15,25,-0.943371690476826,NA,143,3.22286784613774,3.9798053263697,0.785801862986223,2.4396336749167,5.5199769778227,0.125624110476233,0.301319466930956,-0.05007124597849
"3","FluNet",2012,3,"2011/12",2012-01-22,62,0.896488104577976,NA,145,4.12874598893943,4.22350224355205,0.656963527558281,2.93585372953782,5.51115075756628,0.121848458591178,0.248110027310561,-0.00441311012820567
"4","FluNet",2012,4,"2011/12",2012-01-29,66,0.0620353909194522,0.00505060167353388,147,4.19116874685764,4.45217498794168,0.570437068889774,3.33411833291772,5.57023164296563,0.114336372194811,0.199132301689948,0.0295404426996742
"5","FluNet",2012,5,"2011/12",2012-02-05,83,0.227644684195002,0.39538939323081,149,4.4200447018614,4.65835069051595,0.51942241617497,3.64028275481301,5.67641862621889,0.103087851287136,0.153082210947644,0.0530934916266279
"6","FluNet",2012,6,"2011/12",2012-02-12,89,0.0693919934239995,0.119690689512818,151,4.48975933447676,4.83455648225225,0.497328921176629,3.85979179674606,5.80932116775844,0.0881028958681509,0.109754520966526,0.0664512707697762
"7","FluNet",2012,7,"2011/12",2012-02-19,140,0.450968863492991,0.249335180370664,153,4.94235645334296,4.97331949412797,0.49638717890211,4.00040062347983,5.9462383647761,0.06938150593786,0.0703044133668884,0.0684585985088315
"8","FluNet",2012,8,"2011/12",2012-02-26,251,0.582235500765993,0.367532119227661,155,5.52585126616354,5.0671668571205,0.507347864402447,4.0727650428917,6.0615686713493,0.0469236814962648,0.0361822097059341,0.0576651532865955
"9","FluNet",2012,9,"2011/12",2012-03-04,218,-0.140656975004149,0.297515796418278,157,5.38495367320758,5.1086257022072,0.520410349669015,4.08862141685594,6.12862998755848,0.0207294225433534,0.00792818698211661,0.0335306581045902
"10","FluNet",2012,10,"2011/12",2012-03-11,168,-0.259850264743228,0.0605760870062051,159,5.12455904041457,5.09022365074797,0.52649833107109,4.05828692184863,6.12216037964731,-0.00920102572961667,-0.0151672475036504,-0.00323480395558295
"11","FluNet",2012,11,"2011/12",2012-03-18,158,-0.0611811564750813,-0.153896132074153,161,5.06322774421543,5.00689980295733,0.519975162157806,3.98774848512803,6.02605112078663,-0.041661923895322,-0.0352692183603036,-0.0480546294303403
"12","FluNet",2012,12,"2011/12",2012-03-25,148,-0.0651696350745805,-0.128733685430963,163,4.99788772127375,4.8615969022645,0.503290148858303,3.87514821050222,5.84804559402677,-0.0726514503464148,-0.0563001373129017,-0.089002763379928
"13","FluNet",2012,13,"2011/12",2012-04-01,237,0.469582665231941,0.11441062456076,165,5.46848199307136,4.65891599630841,0.482786108451681,3.71265522374311,5.6051767688737,-0.101340452978046,-0.0812464933795556,-0.121434412576536
"14","FluNet",2012,14,"2011/12",2012-04-08,55,-1.45378460272231,-0.349790524188315,167,4.00914971615887,4.40345813272797,0.465815421433659,3.490459906718,5.31645635873795,-0.127728931790216,-0.111097658512554,-0.144360205067877
"15","FluNet",2012,15,"2011/12",2012-04-15,54,-0.01818231908319,-0.334128085524519,169,3.99083418585244,4.09982435916212,0.458455873163521,3.20125084776162,4.99839787056262,-0.151816886782929,-0.144604529478193,-0.159029244087664
"16","FluNet",2012,16,"2011/12",2012-04-22,44,-0.202711512497004,-0.5582261447675,171,3.7864597824528,3.75261572324977,0.463046814337158,2.84504396714894,4.6601874793506,-0.173604317956173,-0.178103440306337,-0.169105195606008
