"","group","Season","Year","Week","date","cases_H3","cases_total","Source","log_count","dt","gr","gr_smooth","date_int","log_y","fitted_log","fitted_se","lower","upper","r_week","lower_r","upper_r"
"1","All","2022/23",2023,1,2023-01-08,1506.7496094688,2431.94673809,"RCGP",7.31804181826768,NA,NA,NA,1,7.3177763990009,5.70351109234019,0.292725853090044,5.1297684202837,6.27725376439668,NA,NA,NA
"2","All","2022/23",2023,2,2023-01-15,372.347354969302,667.12234432,"RCGP",5.92116909987668,7,-1.396872718391,NA,2,5.92009569889027,5.25988148234753,0.252162236023001,4.76564349974245,5.75411946495261,-0.443629609992661,-0.364124920541257,-0.523134299444066
"3","All","2022/23",2023,3,2023-01-22,97.1327026563158,205.05792783,"RCGP",4.58121250549619,7,-1.33995659438049,NA,3,4.5771071019622,4.80971042234872,0.22130088929427,4.37596067933195,5.24346016536549,-0.450171059998808,-0.389682820410496,-0.51065929958712
"4","All","2022/23",2023,4,2023-01-29,53.1571106254286,124.033258126,"RCGP",3.98261399758106,7,-0.598598507915127,-1.1118092735622,4,3.97513132854671,4.34439337225024,0.202571558762625,3.94735311707549,4.74143362742499,-0.465317050098482,-0.428607562256458,-0.502026537940505
"5","All","2022/23",2023,5,2023-02-05,30.7507262157895,116.85275962,"RCGP",3.44204261481765,7,-0.540571382763409,-0.826375495019674,5,3.42916029029441,3.8550305934544,0.195004542464577,3.47282169022383,4.23723949668497,-0.489362778795841,-0.474531426851667,-0.504194130740014
"6","All","2022/23",2023,6,2023-02-12,11.03482015075,88.278561206,"RCGP",2.44537029989168,7,-0.996672314925972,-0.711947401868169,6,2.41007714887256,3.33484970956352,0.194007317603838,2.95459536706,3.71510405206704,-0.520180883890877,-0.518226323163828,-0.522135444617927
"7","All","2022/23",2023,7,2023-02-19,5.559434311,111.18868622,"RCGP",1.80161644770422,7,-0.643753852187459,-0.72699918329228,7,1.73332394216725,2.78112017011824,0.194126850035377,2.4006315440489,3.16160879618757,-0.553729539445286,-0.553963823011102,-0.553495255879471
"8","All","2022/23",2023,8,2023-02-26,9.67214281831579,91.885356774,"RCGP",2.31965288779908,7,0.518036440094855,-0.374129909006192,8,2.27953576834352,2.19642072509317,0.191794328842931,1.82050384056102,2.57233760962531,-0.58469944502507,-0.580127703487876,-0.589271186562264
"9","All","2022/23",2023,9,2023-03-05,8.55101568776471,72.683633346,"RCGP",2.20287698210667,7,-0.116775905692404,-0.080831105928336,9,2.15767673460137,1.58916682360923,0.18631237133058,1.22399457580129,1.95433907141717,-0.607253901483935,-0.596509264759728,-0.617998538208142
"10","All","2022/23",2023,10,2023-03-12,8.34280922222223,75.085283,"RCGP",2.17960461148575,7,-0.0232723706209259,0.125996054593842,10,2.13331509946171,0.9733697369135,0.179596390685842,0.621360811169251,1.32537866265775,-0.61579708669573,-0.602633764632042,-0.628960408759418
"11","All","2022/23",2023,11,2023-03-19,3.19807612766667,57.565370298,"RCGP",1.30781271892575,7,-0.871791892560002,-0.33728005629111,11,1.19333930685058,0.367673208752973,0.175091007165759,0.024494834708085,0.710851582797861,-0.605696528160527,-0.596865976461166,-0.614527079859889
"12","All","2022/23",2023,12,2023-03-26,2.86873601653333,43.031040248,"RCGP",1.21453760473025,7,-0.093275114195494,-0.329446459125474,12,1.08813627856937,-0.206213714986532,0.175806977745066,-0.550795391366861,0.138367961393797,-0.573886923739505,-0.575290226074946,-0.572483621404064
