y,lb_50,ub_50,lb_95,ub_95,prop,time,pathogen,Year,Week,date,season,days_from_start,day_of_year,plot_label,peak_time,day_shifted,Influenza A not subtyped,Influenza A H1N1pdm09,Influenza A H3N2,Influenza B,Percentage testing positive for overall influenza,total_cases,H1_prop,H3_prop,H1_adj,H3_adj,Season,total,gr,gr_smooth
0.29738685652440244,0.09589694106218573,0.5180746889182659,-0.29366402109027007,0.9645867410327301,0.8443333333333334,2,total,2011,28,2011-07-11,2011/12,0,192,Pre-pandemic,339,-147,0,0,0,0,0,0,0,0,0,0,2011/12,0,0,NA
0.28644042507587,0.10748989438521875,0.46961929661836693,-0.2077052590758098,0.884175870113598,0.864,3,total,2011,29,2011-07-18,2011/12,7,199,Pre-pandemic,339,-140,3,0,1,0,1,4,0,1,0,4,2011/12,4,3.7135720667043075,NA
0.22106516448256536,0.07201469238525929,0.38180373427904013,-0.20492858542288525,0.7337876275468616,0.8453333333333334,4,total,2011,30,2011-07-25,2011/12,14,206,Pre-pandemic,339,-133,0,1,0,0,0.2,1,1,0,1,0,2011/12,1,-1.315676793905937,NA
0.1712858676978889,0.03656361151450044,0.3118673622124375,-0.22550100277876645,0.6128644554559181,0.804,5,total,2011,31,2011-08-01,2011/12,21,213,Pre-pandemic,339,-126,1,0,2,1,1,4,0,1,0,3,2011/12,4,1.315676793905937,0.928393016676077
0.10756736755792255,-0.016764409458259355,0.23436666310510873,-0.2582403784000795,0.5126726443012767,0.718,6,total,2011,32,2011-08-08,2011/12,28,220,Pre-pandemic,339,-119,0,0,1,0,0.3,1,0,1,0,1,2011/12,1,-1.315676793905937,0.5994738181995927
0.08070723606079139,-0.03968902359211382,0.19914210302290597,-0.2748332341255497,0.4485815474900342,0.6723333333333333,7,total,2011,33,2011-08-15,2011/12,35,227,Pre-pandemic,339,-112,0,0,0,0,0,0,0,0,0,0,2011/12,0,-2.3978952727983707,-0.928393016676077
0.0763982458238121,-0.0353847557576408,0.19326422756206496,-0.2610749866650313,0.43423723013868626,0.6693333333333333,8,total,2011,34,2011-08-22,2011/12,42,234,Pre-pandemic,339,-105,0,1,0,1,0.6,2,1,0,1,0,2011/12,2,3.044522437723423,0.16165679123126309
0.06057747493422716,-0.0539221736751993,0.18014345401293536,-0.2682725221710891,0.40479783642236455,0.6386666666666667,9,total,2011,35,2011-08-29,2011/12,49,241,Pre-pandemic,339,-98,4,0,0,1,1.5,5,0,0,0,0,2011/12,5,0.8873031950009027,0.05456339150500453
0.03225785053757374,-0.08328522043195949,0.14709635044128136,-0.3137885739619657,0.3580744751686602,0.584,10,total,2011,36,2011-09-05,2011/12,56,248,Pre-pandemic,339,-91,0,0,0,0,0,0,0,0,0,0,2011/12,0,-3.9318256327243257,-0.5994738181995927
0.02061617104721833,-0.09610065736914386,0.13383617636674253,-0.3136565950952078,0.34384661486054263,0.55,11,total,2011,37,2011-09-12,2011/12,63,255,Pre-pandemic,339,-84,2,0,2,0,1.2,4,0,1,0,4,2011/12,4,3.7135720667043075,0.928393016676077
-0.019783850093976776,-0.12604805458122748,0.08647364641456629,-0.330123388489825,0.29551348533371413,0.4533333333333333,12,total,2011,38,2011-09-19,2011/12,70,262,Pre-pandemic,339,-77,4,0,0,1,1.2,5,0,0,0,0,2011/12,5,0.21825356602001797,0.22182579875022562
-0.055385931160023105,-0.16076021828601653,0.05563552445260994,-0.3620076132550071,0.2561057768444326,0.37133333333333335,13,total,2011,39,2011-09-26,2011/12,77,269,Pre-pandemic,339,-70,0,0,0,1,0.2,1,0,0,0,0,2011/12,1,-1.533930359925955,-0.3834825899814888
