Season,Week of peak A/H3N2 growth,Peak growth rate of A/H3N2 cases,Time period,Cumulative incidence (% of total A/H3N2 cases),Week of peak growth,Peak growth rate of all influenza cases,Cumulative incidence (% of all influenza cases),Dominant
2013/14,50,0.356 (0.0614-0.663),Pre-pandemic,0.017500647460150853,50,0.37 (0.117-0.614),0.009587328053355566,A/H1N1pdm09
2015/16,1,0.281 (-0.0274-0.594),Pre-pandemic,0.019408539178336043,49,0.382 (0.153-0.602),0.006747159090909091,A/H1N1pdm09
2018/19,51,0.55 (0.343-0.778),Pre-pandemic,0.017860916818809473,51,0.472 (0.305-0.64),0.026292953835473795,A/H1N1pdm09
2011/12,49,0.553 (0.256-0.843),Pre-pandemic,0.007398060689157285,49,0.482 (0.208-0.779),0.007278835386338186,A/H3N2
2024/25,47,0.305 (0.118-0.489),Post-pandemic,0.041084467682485186,47,0.509 (0.373-0.649),0.02332009655065016,A/H1N1pdm09
2016/17,49,0.568 (0.384-0.76),Pre-pandemic,0.026048497364212043,49,0.556 (0.37-0.743),0.024481865284974095,A/H3N2
2012/13,50,0.452 (0.198-0.708),Pre-pandemic,0.017015551495108104,50,0.628 (0.442-0.827),0.03609879670677644,Influenza B
2025/26,40,0.711 (0.514-0.91),Current season,0.02660394351294182,40,0.653 (0.474-0.839),0.034595207713029916,A/H3N2
2023/24,49,0.645 (0.483-0.821),Post-pandemic,0.030210798559414574,49,0.667 (0.515-0.812),0.025382493102583396,A/H3N2
2022/23,50,0.64 (0.543-0.738),Post-pandemic,0.16152414159887468,50,0.676 (0.596-0.76),0.14079356372280125,A/H3N2
2017/18,51,0.616 (0.446-0.791),Pre-pandemic,0.0444814062343448,51,0.69 (0.547-0.832),0.03885885885885886,Influenza B
2014/15,50,0.84 (0.663-1.01),Pre-pandemic,0.05875592552608758,50,0.809 (0.642-0.987),0.04431801167839497,A/H3N2
