Season,Dominant subtype,Epi week of peak growth rate (all influenza),Peak growth rate of all influenza cases,Epi week of peak growth rate (A/H3N2),Peak growth rate of A/H3N2 cases,
2014/15,A/H3N2,50,0.812 (0.637-0.986),50,0.84 (0.665-1.02),
2017/18,Influenza B,51,0.694 (0.552-0.835),51,0.618 (0.435-0.804),
2022/23,A/H3N2,50,0.676 (0.592-0.76),50,0.641 (0.546-0.739),
2023/24,Mixed A/H3N2/A/H1N1pdm09,49,0.665 (0.506-0.823),49,0.647 (0.481-0.806),
2025/26,A/H3N2,40,0.651 (0.47-0.838),40,0.709 (0.506-0.919),
2012/13,Influenza B,50,0.634 (0.448-0.822),50,0.452 (0.195-0.723),
2016/17,A/H3N2,49,0.56 (0.377-0.753),49,0.573 (0.389-0.754),
2024/25,A/H1N1pdm09,47,0.512 (0.372-0.648),47,0.304 (0.114-0.492),
2011/12,A/H3N2,49,0.482 (0.21-0.765),49,0.55 (0.252-0.855),
2018/19,A/H1N1pdm09,51,0.474 (0.315-0.635),51,0.545 (0.316-0.783),
2015/16,A/H1N1pdm09,49,0.375 (0.152-0.596),1 (2016),0.28 (-0.0192-0.599),
2013/14,A/H1N1pdm09,50,0.362 (0.116-0.615),50,0.364 (0.0832-0.673),
,,,,,,
