Scenario,Age group,Cumulative influenza infections,N,Proportion infected,Symptomatic,Symptomatic and reported
base_counts,"[0,5)",2378616.21650338,3437242.78656184,0.692012861530397,594654.054125844,713.584864951013
base_counts,"[5,18)",8221101.56954727,9715123.64300408,0.846216875012943,3288440.62781891,3946.12875338269
base_counts,"[18,65)",23957724.9869988,37220585.0005087,0.643668684591373,11978862.4934994,14374.6349921993
base_counts,65+,4230108.58885362,9627048.56992542,0.439398280597476,2115054.29442681,2538.06515331217
base_counts,Total,38787551.361903,60000000,0.646459189365051,17977011.469871,21572.4137638451
immune_escape_by_age,"[0,5)",2269013.80378615,3437242.78656184,0.660126137338051,567253.450946537,680.704141135845
immune_escape_by_age,"[5,18)",8439739.09367377,9715123.64300408,0.868721737756913,3375895.63746951,4051.07476496341
immune_escape_by_age,"[18,65)",24754900.7089593,37220585.0005087,0.665086287832956,12377450.3544796,14852.9404253756
immune_escape_by_age,65+,4362395.07623344,9627048.56992542,0.453139406594605,2181197.53811672,2617.43704574007
immune_escape_by_age,Total,39826048.6826527,60000000,0.663767478044211,18501796.9810124,22202.1563772149
moderate_immune_escape_and_earlier,"[0,5)",1979720.65540493,3437242.78656184,0.575961832880933,494930.163851232,593.916196621478
moderate_immune_escape_and_earlier,"[5,18)",7603368.44284549,9715123.64300408,0.782632184853429,3041347.3771382,3649.61685256583
moderate_immune_escape_and_earlier,"[18,65)",22212524.6154292,37220585.0005087,0.596780642086245,11106262.3077146,13327.5147692575
moderate_immune_escape_and_earlier,65+,3813917.62939076,9627048.56992542,0.396166862739771,1906958.81469538,2288.35057763445
moderate_immune_escape_and_earlier,Total,35609531.3430704,60000000,0.593492189051173,16549498.6633994,19859.3983960793
moderate_immune_escape_earlier_r0_10pct,"[0,5)",2034555.3293426,3437242.78656184,0.591914931728666,508638.832335651,610.366598802781
moderate_immune_escape_earlier_r0_10pct,"[5,18)",7788523.08107541,9715123.64300408,0.801690577215038,3115409.23243016,3738.4910789162
moderate_immune_escape_earlier_r0_10pct,"[18,65)",23048409.7111827,37220585.0005087,0.619238244398033,11524204.8555914,13829.0458267096
moderate_immune_escape_earlier_r0_10pct,65+,4021489.34517913,9627048.56992542,0.41772816621515,2010744.67258957,2412.89360710748
moderate_immune_escape_earlier_r0_10pct,Total,36892977.4667799,60000000,0.614882957779665,17158997.5929467,20590.7971115361
moderate_immune_escape,"[0,5)",2305502.2530419,3437242.78656184,0.670741753260907,576375.563260474,691.650675912568
moderate_immune_escape,"[5,18)",8388091.21103109,9715123.64300408,0.86340550251992,3355236.48441244,4026.28378129492
moderate_immune_escape,"[18,65)",25764795.2997286,37220585.0005087,0.692218977734404,12882397.6498643,15458.8771798372
moderate_immune_escape,65+,4665473.77614428,9627048.56992542,0.484621402110618,2332736.88807214,2799.28426568657
moderate_immune_escape,Total,41123862.5399459,60000000,0.685397708999098,19146746.5856093,22976.0959027312
month_early,"[0,5)",1844277.17553468,3437242.78656184,0.536557144797865,461069.29388367,553.283152660404
month_early,"[5,18)",7150696.50127716,9715123.64300408,0.736037621757539,2860278.60051086,3432.33432061304
month_early,"[18,65)",18838800.6153146,37220585.0005087,0.506139294023917,9419400.30765731,11303.2803691888
month_early,65+,3095858.06731543,9627048.56992542,0.3215791470074,1547929.03365772,1857.51484038926
month_early,Total,30929632.3594419,60000000,0.515493872657365,14288677.2357096,17146.4126828515
more_xmas_mixing,"[0,5)",2586023.42685982,3437242.78656184,0.752354019614229,646505.856714954,775.807028057945
more_xmas_mixing,"[5,18)",8519159.27900988,9715123.64300408,0.876896639925378,3407663.71160395,4089.19645392474
more_xmas_mixing,"[18,65)",26625876.74906,37220585.0005087,0.71535352678353,13312938.37453,15975.526049436
more_xmas_mixing,65+,4992393.29964664,9627048.56992542,0.518579839229513,2496196.64982332,2995.43597978798
more_xmas_mixing,Total,42723452.7545764,60000000,0.712057545909606,19863304.5926722,23835.9655112067
r0_10_percent,"[0,5)",2353734.31683097,3437242.78656184,0.684773949059713,588433.579207742,706.12029504929
r0_10_percent,"[5,18)",8405775.52243053,9715123.64300408,0.865225789327301,3362310.20897221,4034.77225076665
r0_10_percent,"[18,65)",24937433.4842813,37220585.0005087,0.669990369144938,12468716.7421407,14962.4600905688
r0_10_percent,65+,4423939.17914525,9627048.56992542,0.459532238464599,2211969.58957263,2654.36350748715
r0_10_percent,Total,40120882.5026881,60000000,0.668681375044802,18631430.1198933,22357.7161438719
r0_20_percent,"[0,5)",2282744.67729237,3437242.78656184,0.664120872176075,570686.169323093,684.823403187712
r0_20_percent,"[5,18)",8207896.04320036,9715123.64300408,0.844857599842377,3283158.41728014,3939.79010073617
r0_20_percent,"[18,65)",24202861.1215964,37220585.0005087,0.650254721178231,12101430.5607982,14521.7166729578
r0_20_percent,65+,4318955.14120747,9627048.56992542,0.448627126978432,2159477.57060373,2591.37308472448
r0_20_percent,Total,39012456.9832966,60000000,0.650207616388277,18114752.7180052,21737.7032616062
severe_immune_escape,"[0,5)",2186569.49664506,3437242.78656184,0.636140544157548,546642.374161264,655.970848993517
severe_immune_escape,"[5,18)",8181072.47897677,9715123.64300408,0.842096588741618,3272428.99159071,3926.91478990885
severe_immune_escape,"[18,65)",26509319.4873944,37220585.0005087,0.712221999923756,13254659.7436972,15905.5916924367
severe_immune_escape,65+,4862193.53487293,9627048.56992542,0.505055469447018,2431096.76743646,2917.31612092376
severe_immune_escape,Total,41739154.9978892,60000000,0.695652583298153,19504827.8768856,23405.7934522628
