"date","t","age_col","weekly_reported"
2022-09-19,1,"inc_1_1",0.292506076577787
2022-09-19,1,"inc_2_1",5.27060880364118
2022-09-19,1,"inc_3_1",3.15232824543169
2022-09-19,1,"inc_4_1",0.658186126622146
2022-09-26,2,"inc_1_1",1.36013681969656
2022-09-26,2,"inc_2_1",36.3247746689848
2022-09-26,2,"inc_3_1",12.0642000845281
2022-09-26,2,"inc_4_1",2.3992553832479
2022-10-03,3,"inc_1_1",7.30605588117887
2022-10-03,3,"inc_2_1",208.05827131367
2022-10-03,3,"inc_3_1",63.8025713491282
2022-10-03,3,"inc_4_1",12.4876670441544
2022-10-10,4,"inc_1_1",37.7771011056259
2022-10-10,4,"inc_2_1",1028.89844876352
2022-10-10,4,"inc_3_1",334.051003918263
2022-10-10,4,"inc_4_1",65.7133985205938
2022-10-17,5,"inc_1_1",119.790826575935
2022-10-17,5,"inc_2_1",2399.49425308786
2022-10-17,5,"inc_3_1",1173.6164176756
2022-10-17,5,"inc_4_1",245.349919321335
2022-10-24,6,"inc_1_1",115.646097766687
2022-10-24,6,"inc_2_1",1202.34773795161
2022-10-24,6,"inc_3_1",1421.15834449935
2022-10-24,6,"inc_4_1",337.91200714822
2022-10-31,7,"inc_1_1",131.786902392095
2022-10-31,7,"inc_2_1",1663.31753096186
2022-10-31,7,"inc_3_1",1529.83165749127
2022-10-31,7,"inc_4_1",357.478608213975
2022-11-07,8,"inc_1_1",122.096449010934
2022-11-07,8,"inc_2_1",1318.15236244485
2022-11-07,8,"inc_3_1",1552.86562396518
2022-11-07,8,"inc_4_1",373.825896155344
2022-11-14,9,"inc_1_1",84.5003499487862
2022-11-14,9,"inc_2_1",712.356863631414
2022-11-14,9,"inc_3_1",1220.22667138195
2022-11-14,9,"inc_4_1",310.024311226522
2022-11-21,10,"inc_1_1",51.1459978406723
2022-11-21,10,"inc_2_1",355.235325134596
2022-11-21,10,"inc_3_1",820.069116183589
2022-11-21,10,"inc_4_1",218.240721043961
2022-11-28,11,"inc_1_1",32.0349665083827
2022-11-28,11,"inc_2_1",189.949213517661
2022-11-28,11,"inc_3_1",561.291332060241
2022-11-28,11,"inc_4_1",152.590871967603
2022-12-05,12,"inc_1_1",23.6714980068404
2022-12-05,12,"inc_2_1",122.567932120036
2022-12-05,12,"inc_3_1",447.489561176797
2022-12-05,12,"inc_4_1",122.754775722675
2022-12-12,13,"inc_1_1",15.9491474521109
2022-12-12,13,"inc_2_1",77.8709986485228
2022-12-12,13,"inc_3_1",314.999375736285
2022-12-12,13,"inc_4_1",88.1439772058539
2022-12-19,14,"inc_1_1",12.8570610645263
2022-12-19,14,"inc_2_1",52.2593870127976
2022-12-19,14,"inc_3_1",223.062312493823
2022-12-19,14,"inc_4_1",68.8545591936139
2022-12-26,15,"inc_1_1",11.1583582425101
2022-12-26,15,"inc_2_1",38.6312094118372
2022-12-26,15,"inc_3_1",168.003486734018
2022-12-26,15,"inc_4_1",57.5551691249935
2023-01-02,16,"inc_1_1",6.72184528503846
2023-01-02,16,"inc_2_1",25.334944487758
2023-01-02,16,"inc_3_1",110.492277317618
2023-01-02,16,"inc_4_1",36.626366874849
2023-01-09,17,"inc_1_1",2.61726288960436
2023-01-09,17,"inc_2_1",12.5117873504519
2023-01-09,17,"inc_3_1",53.282169702341
2023-01-09,17,"inc_4_1",15.977322930628
2023-01-16,18,"inc_1_1",1.37506298255874
2023-01-16,18,"inc_2_1",6.71942182625085
2023-01-16,18,"inc_3_1",28.645908562078
2023-01-16,18,"inc_4_1",8.57213568584435
2023-01-23,19,"inc_1_1",0.729651307382714
2023-01-23,19,"inc_2_1",3.60242263161838
2023-01-23,19,"inc_3_1",15.3774146342408
2023-01-23,19,"inc_4_1",4.59926560912142
2023-01-30,20,"inc_1_1",0.389097307155561
2023-01-30,20,"inc_2_1",1.93021286548823
2023-01-30,20,"inc_3_1",8.24817355412766
2023-01-30,20,"inc_4_1",2.46694227541238
2023-02-06,21,"inc_1_1",0.208002623790409
2023-02-06,21,"inc_2_1",1.03408731170148
2023-02-06,21,"inc_3_1",4.4222963159848
2023-02-06,21,"inc_4_1",1.32281243259879
2023-02-13,22,"inc_1_1",0.111329447031766
2023-02-13,22,"inc_2_1",0.554010838611424
2023-02-13,22,"inc_3_1",2.37049291015752
2023-02-13,22,"inc_4_1",0.709151015422773
2023-02-20,23,"inc_1_1",0.0596232244164683
2023-02-20,23,"inc_2_1",0.296828463193774
2023-02-20,23,"inc_3_1",1.27050240010768
2023-02-20,23,"inc_4_1",0.380113065055106
2023-02-27,24,"inc_1_1",0.0161465466981754
2023-02-27,24,"inc_2_1",0.0803959833160043
2023-02-27,24,"inc_3_1",0.344176330594718
2023-02-27,24,"inc_4_1",0.102976573063526
