"date","t","age_col","weekly_reported"
2022-09-10,1,"inc_1_1",0.218298267441704
2022-09-10,1,"inc_2_1",2.20992905075783
2022-09-10,1,"inc_3_1",7.30569320084041
2022-09-10,1,"inc_4_1",1.00410862731042
2022-09-17,2,"inc_1_1",1.14967021132511
2022-09-17,2,"inc_2_1",14.9283087562561
2022-09-17,2,"inc_3_1",33.9100926306847
2022-09-17,2,"inc_4_1",4.62430865218646
2022-09-24,3,"inc_1_1",5.89453042437152
2022-09-24,3,"inc_2_1",80.3087587090033
2022-09-24,3,"inc_3_1",171.668031055891
2022-09-24,3,"inc_4_1",23.2723746074677
2022-10-01,4,"inc_1_1",29.1581761447365
2022-10-01,4,"inc_2_1",391.736189627557
2022-10-01,4,"inc_3_1",854.9100960341
2022-10-01,4,"inc_4_1",116.757094906369
2022-10-08,5,"inc_1_1",113.801727024295
2022-10-08,5,"inc_2_1",1392.47244670327
2022-10-08,5,"inc_3_1",3456.06906740887
2022-10-08,5,"inc_4_1",490.512156937581
2022-10-15,6,"inc_1_1",204.977074951302
2022-10-15,6,"inc_2_1",1762.58484144809
2022-10-15,6,"inc_3_1",7147.61253244782
2022-10-15,6,"inc_4_1",1193.4626881352
2022-10-22,7,"inc_1_1",143.679665936145
2022-10-22,7,"inc_2_1",815.704103196137
2022-10-22,7,"inc_3_1",6032.06441739225
2022-10-22,7,"inc_4_1",1252.63606787813
2022-10-29,8,"inc_1_1",79.559946709514
2022-10-29,8,"inc_2_1",469.372418706943
2022-10-29,8,"inc_3_1",3547.09662724464
2022-10-29,8,"inc_4_1",817.226606485635
2022-11-05,9,"inc_1_1",46.32850156799
2022-11-05,9,"inc_2_1",350.188434717955
2022-11-05,9,"inc_3_1",1983.04436288154
2022-11-05,9,"inc_4_1",447.670964850802
2022-11-12,10,"inc_1_1",23.3865710391134
2022-11-12,10,"inc_2_1",180.102515696503
2022-11-12,10,"inc_3_1",1026.45941806256
2022-11-12,10,"inc_4_1",240.85697197648
2022-11-19,11,"inc_1_1",11.386820724547
2022-11-19,11,"inc_2_1",86.7757149198401
2022-11-19,11,"inc_3_1",510.065778746518
2022-11-19,11,"inc_4_1",123.104997032656
2022-11-26,12,"inc_1_1",6.37260759381023
2022-11-26,12,"inc_2_1",46.5521120317483
2022-11-26,12,"inc_3_1",299.034905405864
2022-11-26,12,"inc_4_1",73.599674159075
2022-12-03,13,"inc_1_1",4.20459643650499
2022-12-03,13,"inc_2_1",29.2732708111957
2022-12-03,13,"inc_3_1",204.907640297577
2022-12-03,13,"inc_4_1",51.2726143459991
2022-12-10,14,"inc_1_1",2.60436943027409
2022-12-10,14,"inc_2_1",17.7829276410307
2022-12-10,14,"inc_3_1",127.7564038011
2022-12-10,14,"inc_4_1",32.3198376202693
2022-12-17,15,"inc_1_1",1.85222567360541
2022-12-17,15,"inc_2_1",10.1616419362332
2022-12-17,15,"inc_3_1",78.692273378779
2022-12-17,15,"inc_4_1",21.3672746449274
2022-12-24,16,"inc_1_1",1.23588943064376
2022-12-24,16,"inc_2_1",5.94190278246077
2022-12-24,16,"inc_3_1",48.4283237561239
2022-12-24,16,"inc_4_1",13.8317504968339
2022-12-31,17,"inc_1_1",0.755573576712888
2022-12-31,17,"inc_2_1",3.638636406992
2022-12-31,17,"inc_3_1",29.7567364948504
2022-12-31,17,"inc_4_1",8.53844020298574
2023-01-07,18,"inc_1_1",0.34051957005827
2023-01-07,18,"inc_2_1",1.98693445681175
2023-01-07,18,"inc_3_1",14.6226755263595
2023-01-07,18,"inc_4_1",3.95478672370504
2023-01-14,19,"inc_1_1",0.137033768586942
2023-01-14,19,"inc_2_1",0.950733237984497
2023-01-14,19,"inc_3_1",6.33066210283283
2023-01-14,19,"inc_4_1",1.6245977133767
2023-01-21,20,"inc_1_1",0.0636911266694428
2023-01-21,20,"inc_2_1",0.454574730777368
2023-01-21,20,"inc_3_1",2.95624335573213
2023-01-21,20,"inc_4_1",0.754324803283846
2023-01-28,21,"inc_1_1",0.0297437280783895
2023-01-28,21,"inc_2_1",0.215418170336634
2023-01-28,21,"inc_3_1",1.3828807949435
2023-01-28,21,"inc_4_1",0.351854197128781
2023-02-04,22,"inc_1_1",0.0139205739647266
2023-02-04,22,"inc_2_1",0.101595951689966
2023-02-04,22,"inc_3_1",0.647546179306321
2023-02-04,22,"inc_4_1",0.164519682558614
2023-02-11,23,"inc_1_1",0.0065215781339095
2023-02-11,23,"inc_2_1",0.0477898893014528
2023-02-11,23,"inc_3_1",0.30339708365202
2023-02-11,23,"inc_4_1",0.0770251060954412
2023-02-18,24,"inc_1_1",0.00305667148270877
2023-02-18,24,"inc_2_1",0.0224478068566881
2023-02-18,24,"inc_3_1",0.142199342432339
2023-02-18,24,"inc_4_1",0.0360867086568964
2023-02-25,25,"inc_1_1",0.00112734627844766
2023-02-25,25,"inc_2_1",0.00828802024740726
2023-02-25,25,"inc_3_1",0.0524430096946657
2023-02-25,25,"inc_4_1",0.0133061700133025
