"date","t","age_col","weekly_reported"
2022-09-10,1,"inc_1_1",0.271523712964806
2022-09-10,1,"inc_2_1",1.82090354662186
2022-09-10,1,"inc_3_1",4.83413876646523
2022-09-10,1,"inc_4_1",0.549475903741822
2022-09-17,2,"inc_1_1",0.994062816487676
2022-09-17,2,"inc_2_1",8.72526899388091
2022-09-17,2,"inc_3_1",14.8795917296161
2022-09-17,2,"inc_4_1",1.66588265867949
2022-09-24,3,"inc_1_1",3.49764643559311
2022-09-24,3,"inc_2_1",32.9343847141812
2022-09-24,3,"inc_3_1",51.2572923962008
2022-09-24,3,"inc_4_1",5.68055751786971
2022-10-01,4,"inc_1_1",12.3579416296544
2022-10-01,4,"inc_2_1",117.264857470231
2022-10-01,4,"inc_3_1",181.852076887233
2022-10-01,4,"inc_4_1",20.1709958881253
2022-10-08,5,"inc_1_1",40.5277718632378
2022-10-08,5,"inc_2_1",375.67878023861
2022-10-08,5,"inc_3_1",609.092912991243
2022-10-08,5,"inc_4_1",68.3123281877563
2022-10-15,6,"inc_1_1",87.0164279973651
2022-10-15,6,"inc_2_1",628.891938384543
2022-10-15,6,"inc_3_1",1471.51172010902
2022-10-15,6,"inc_4_1",177.994637317419
2022-10-22,7,"inc_1_1",89.4973055146215
2022-10-22,7,"inc_2_1",433.593053502407
2022-10-22,7,"inc_3_1",1808.48217927277
2022-10-22,7,"inc_4_1",249.347989359064
2022-10-29,8,"inc_1_1",83.0202297842981
2022-10-29,8,"inc_2_1",432.055962404538
2022-10-29,8,"inc_3_1",1789.23091521469
2022-10-29,8,"inc_4_1",259.448583790406
2022-11-05,9,"inc_1_1",90.3122894897294
2022-11-05,9,"inc_2_1",664.505498291618
2022-11-05,9,"inc_3_1",1912.99012237842
2022-11-05,9,"inc_4_1",266.190687398547
2022-11-12,10,"inc_1_1",75.9177343104815
2022-11-12,10,"inc_2_1",570.578116520056
2022-11-12,10,"inc_3_1",1783.74456177199
2022-11-12,10,"inc_4_1",261.064546188303
2022-11-19,11,"inc_1_1",51.6468209164645
2022-11-19,11,"inc_2_1",366.142408572061
2022-11-19,11,"inc_3_1",1355.03220586327
2022-11-19,11,"inc_4_1",211.05439008493
2022-11-26,12,"inc_1_1",36.2434079778683
2022-11-26,12,"inc_2_1",234.424855422466
2022-11-26,12,"inc_3_1",1082.86025975557
2022-11-26,12,"inc_4_1",180.773815031288
2022-12-03,13,"inc_1_1",27.849471182842
2022-12-03,13,"inc_2_1",166.971353547343
2022-12-03,13,"inc_3_1",929.186571501695
2022-12-03,13,"inc_4_1",165.075389415419
2022-12-10,14,"inc_1_1",18.9289911962285
2022-12-10,14,"inc_2_1",109.548232261107
2022-12-10,14,"inc_3_1",671.842783394322
2022-12-10,14,"inc_4_1",124.75879443075
2022-12-17,15,"inc_1_1",14.3596020392428
2022-12-17,15,"inc_2_1",64.9666550279667
2022-12-17,15,"inc_3_1",442.404648888103
2022-12-17,15,"inc_4_1",91.0998659411684
2022-12-24,16,"inc_1_1",9.71378662169763
2022-12-24,16,"inc_2_1",38.2972769174297
2022-12-24,16,"inc_3_1",277.119530519205
2022-12-24,16,"inc_4_1",61.3191766154609
2022-12-31,17,"inc_1_1",5.86275198238235
2022-12-31,17,"inc_2_1",23.3532422583803
2022-12-31,17,"inc_3_1",171.437424614833
2022-12-31,17,"inc_4_1",38.530021291578
2023-01-07,18,"inc_1_1",2.58039851690651
2023-01-07,18,"inc_2_1",12.6318650284824
2023-01-07,18,"inc_3_1",86.1848264616154
2023-01-07,18,"inc_4_1",17.9938955255901
2023-01-14,19,"inc_1_1",1.03331921076837
2023-01-14,19,"inc_2_1",6.04931222821735
2023-01-14,19,"inc_3_1",38.4800701629926
2023-01-14,19,"inc_4_1",7.54088275899994
2023-01-21,20,"inc_1_1",0.485280635729304
2023-01-21,20,"inc_2_1",2.91365080497917
2023-01-21,20,"inc_3_1",18.2664012919241
2023-01-21,20,"inc_4_1",3.56673962114057
2023-01-28,21,"inc_1_1",0.229400003574614
2023-01-28,21,"inc_2_1",1.39426210726984
2023-01-28,21,"inc_3_1",8.67482241246225
2023-01-28,21,"inc_4_1",1.69128559457347
2023-02-04,22,"inc_1_1",0.10876066372646
2023-02-04,22,"inc_2_1",0.664997607314307
2023-02-04,22,"inc_3_1",4.12095439440492
2023-02-04,22,"inc_4_1",0.802912547193834
2023-02-11,23,"inc_1_1",0.0516328706133412
2023-02-11,23,"inc_2_1",0.316635267655645
2023-02-11,23,"inc_3_1",1.95801765497238
2023-02-11,23,"inc_4_1",0.381381759756908
2023-02-18,24,"inc_1_1",0.0245268261408783
2023-02-18,24,"inc_2_1",0.15063159105042
2023-02-18,24,"inc_3_1",0.9304318046086
2023-02-18,24,"inc_4_1",0.181204663350811
2023-02-25,25,"inc_1_1",0.00915451266930904
2023-02-25,25,"inc_2_1",0.0562613182958215
2023-02-25,25,"inc_3_1",0.347326274352334
2023-02-25,25,"inc_4_1",0.0676388956891664
