"date","age_col","age_group","t","weekly_reported","lag_weekly","log_growth"
2022-09-19,"inc_1_1","[0,5)",1,0.219508836180719,NA,0.198448184388235
2022-09-19,"inc_2_1","[5,18)",1,1.6775913414549,NA,0.984917637213493
2022-09-19,"inc_3_1","[18,65)",1,4.02917630203578,NA,1.61525621365146
2022-09-19,"inc_4_1","65+",1,0.865500555656639,NA,0.623529411538393
2022-09-26,"inc_1_1","[0,5)",2,0.696957301605437,0.219508836180719,0.330388640442675
2022-09-26,"inc_2_1","[5,18)",2,7.07218641246361,1.6775913414549,1.10350673928568
2022-09-26,"inc_3_1","[18,65)",2,10.7455603180572,4.02917630203578,0.848219110265467
2022-09-26,"inc_4_1","65+",2,2.29750445571003,0.865500555656639,0.569636545308854
2022-10-03,"inc_1_1","[0,5)",3,2.10904631931833,0.696957301605437,0.605479204596716
2022-10-03,"inc_2_1","[5,18)",3,23.3424189418589,7.07218641246361,1.10379608746399
2022-10-03,"inc_3_1","[18,65)",3,31.5620340903538,10.7455603180572,1.01967168732858
2022-10-03,"inc_4_1","65+",3,6.66692152318368,2.29750445571003,0.843749212015678
2022-10-10,"inc_1_1","[0,5)",4,6.50226187411125,2.10904631931833,0.880888528862396
2022-10-10,"inc_2_1","[5,18)",4,73.2543963423097,23.3424189418589,1.11527652196424
2022-10-10,"inc_3_1","[18,65)",4,97.1900662195395,31.5620340903538,1.10375804033754
2022-10-10,"inc_4_1","65+",4,20.4824458789407,6.66692152318368,1.03032096202997
2022-10-17,"inc_1_1","[0,5)",5,17.2119980157406,6.50226187411125,0.886876050229104
2022-10-17,"inc_2_1","[5,18)",5,168.478908510534,73.2543963423097,0.825231499584432
2022-10-17,"inc_3_1","[18,65)",5,272.056054174438,97.1900662195395,1.02277204917158
2022-10-17,"inc_4_1","65+",5,60.5733540861566,20.4824458789407,1.05299308252756
2022-10-24,"inc_1_1","[0,5)",6,23.5080647773791,17.2119980157406,0.296921629452388
2022-10-24,"inc_2_1","[5,18)",6,147.692318353348,168.478908510534,-0.13084929206638
2022-10-24,"inc_3_1","[18,65)",6,431.304998164678,272.056054174438,0.459454252648744
2022-10-24,"inc_4_1","65+",6,109.094862079573,60.5733540861566,0.58111316327535
2022-10-31,"inc_1_1","[0,5)",7,48.2143568370946,23.5080647773791,0.697183148591769
2022-10-31,"inc_2_1","[5,18)",7,438.641873982333,147.692318353348,1.08408127928445
2022-10-31,"inc_3_1","[18,65)",7,783.50280077232,431.304998164678,0.595918788900147
2022-10-31,"inc_4_1","65+",7,177.46985165012,109.094862079573,0.483077311940303
2022-11-07,"inc_1_1","[0,5)",8,97.5778338947345,48.2143568370946,0.694661041402284
2022-11-07,"inc_2_1","[5,18)",8,946.420032427274,438.641873982333,0.767782062171283
2022-11-07,"inc_3_1","[18,65)",8,1619.87535935569,783.50280077232,0.725671485270259
2022-11-07,"inc_4_1","65+",8,364.761731741255,177.46985165012,0.717562426597289
2022-11-14,"inc_1_1","[0,5)",9,138.724152725346,97.5778338947345,0.348823713298818
2022-11-14,"inc_2_1","[5,18)",9,1204.97302138938,946.420032427274,0.241299471811827
2022-11-14,"inc_3_1","[18,65)",9,2547.68263871105,1619.87535935569,0.452610264818425
