"date","t","age_col","weekly_reported"
2022-08-24,1,"inc_1_1",0.177991170652585
2022-08-24,1,"inc_2_1",1.12886660691997
2022-08-24,1,"inc_3_1",3.2961586456128
2022-08-24,1,"inc_4_1",0.374802031910735
2022-08-31,2,"inc_1_1",0.405915409206647
2022-08-31,2,"inc_2_1",3.41061809008256
2022-08-31,2,"inc_3_1",6.19370679867618
2022-08-31,2,"inc_4_1",0.695977567119674
2022-09-07,3,"inc_1_1",0.855752099846606
2022-09-07,3,"inc_2_1",7.92202931800436
2022-09-07,3,"inc_3_1",12.5719788194894
2022-09-07,3,"inc_4_1",1.39247359051009
2022-09-14,4,"inc_1_1",1.85303579739338
2022-09-14,4,"inc_2_1",17.6156231086985
2022-09-14,4,"inc_3_1",27.1034871747124
2022-09-14,4,"inc_4_1",2.98931001290798
2022-09-21,5,"inc_1_1",4.02376232700398
2022-09-21,5,"inc_2_1",38.4196900831892
2022-09-21,5,"inc_3_1",58.9496560144948
2022-09-21,5,"inc_4_1",6.50198466334126
2022-09-28,6,"inc_1_1",8.60756872341358
2022-09-28,6,"inc_2_1",81.79748386701
2022-09-28,6,"inc_3_1",126.731325895309
2022-09-28,6,"inc_4_1",14.0130061445738
2022-10-05,7,"inc_1_1",17.7362003767183
2022-10-05,7,"inc_2_1",166.284115427396
2022-10-05,7,"inc_3_1",263.929109143728
2022-10-05,7,"inc_4_1",29.3544407387171
2022-10-12,8,"inc_1_1",32.7343106388342
2022-10-12,8,"inc_2_1",288.773879023617
2022-10-12,8,"inc_3_1",505.870104659179
2022-10-12,8,"inc_4_1",57.9379625592195
2022-10-19,9,"inc_1_1",33.0700431600746
2022-10-19,9,"inc_2_1",191.135603687869
2022-10-19,9,"inc_3_1",623.793710919463
2022-10-19,9,"inc_4_1",84.024863510477
2022-10-26,10,"inc_1_1",28.8187355628069
2022-10-26,10,"inc_2_1",149.669571669179
2022-10-26,10,"inc_3_1",586.141032327653
2022-10-26,10,"inc_4_1",82.9638299247038
2022-11-02,11,"inc_1_1",34.0085960237442
2022-11-02,11,"inc_2_1",231.378566209668
2022-11-02,11,"inc_3_1",611.014952542909
2022-11-02,11,"inc_4_1",78.5529241026473
2022-11-09,12,"inc_1_1",44.3855226474161
2022-11-09,12,"inc_2_1",353.81363106293
2022-11-09,12,"inc_3_1",765.764066137364
2022-11-09,12,"inc_4_1",93.7714454102773
2022-11-16,13,"inc_1_1",50.2521292913083
2022-11-16,13,"inc_2_1",401.836736147785
2022-11-16,13,"inc_3_1",903.633710629288
2022-11-16,13,"inc_4_1",112.626787214747
2022-11-23,14,"inc_1_1",52.2285973479992
2022-11-23,14,"inc_2_1",394.78775662516
2022-11-23,14,"inc_3_1",1002.09170843705
2022-11-23,14,"inc_4_1",130.980400764832
2022-11-30,15,"inc_1_1",64.276302440609
2022-11-30,15,"inc_2_1",428.325483141106
2022-11-30,15,"inc_3_1",1362.48300480552
2022-11-30,15,"inc_4_1",197.375453340883
2022-12-07,16,"inc_1_1",63.3244457402047
2022-12-07,16,"inc_2_1",392.143503563924
2022-12-07,16,"inc_3_1",1466.22417704251
2022-12-07,16,"inc_4_1",224.537946956091
2022-12-14,17,"inc_1_1",54.4548835157539
2022-12-14,17,"inc_2_1",291.378081933822
2022-12-14,17,"inc_3_1",1299.02801775426
2022-12-14,17,"inc_4_1",214.366969474435
2022-12-21,18,"inc_1_1",44.9514126861544
2022-12-21,18,"inc_2_1",174.922170401483
2022-12-21,18,"inc_3_1",978.042349574966
2022-12-21,18,"inc_4_1",181.736946955435
2022-12-28,19,"inc_1_1",29.0115864789783
2022-12-28,19,"inc_2_1",113.597082398015
2022-12-28,19,"inc_3_1",670.09371781275
2022-12-28,19,"inc_4_1",129.718720046556
2023-01-04,20,"inc_1_1",16.1007945747568
2023-01-04,20,"inc_2_1",69.9277672473651
2023-01-04,20,"inc_3_1",408.69948517061
2023-01-04,20,"inc_4_1",78.2927181140744
2023-01-11,21,"inc_1_1",5.83522296081461
2023-01-11,21,"inc_2_1",36.2515569411215
2023-01-11,21,"inc_3_1",186.785932721164
2023-01-11,21,"inc_4_1",31.5909707944884
2023-01-18,22,"inc_1_1",2.78143024433785
2023-01-18,22,"inc_2_1",18.1755666274709
2023-01-18,22,"inc_3_1",91.9089432505691
2023-01-18,22,"inc_4_1",15.4958737188399
2023-01-25,23,"inc_1_1",1.35174650301845
2023-01-25,23,"inc_2_1",9.016693598249
2023-01-25,23,"inc_3_1",45.2535460771307
2023-01-25,23,"inc_4_1",7.63186280040832
2023-02-01,24,"inc_1_1",0.661137326758064
2023-02-01,24,"inc_2_1",4.4513386468865
2023-02-01,24,"inc_3_1",22.2669749875318
2023-02-01,24,"inc_4_1",3.75699864403181
2023-02-08,25,"inc_1_1",0.324295103237371
2023-02-08,25,"inc_2_1",2.19268097743066
2023-02-08,25,"inc_3_1",10.9527807463429
2023-02-08,25,"inc_4_1",1.8486785308868
2023-02-15,26,"inc_1_1",0.159278947709699
2023-02-15,26,"inc_2_1",1.07900729255192
2023-02-15,26,"inc_3_1",5.3865637596949
2023-02-15,26,"inc_4_1",0.909389896919054
2023-02-22,27,"inc_1_1",0.0782773338724859
2023-02-22,27,"inc_2_1",0.530732724826317
2023-02-22,27,"inc_3_1",2.64885775408922
2023-02-22,27,"inc_4_1",0.44725684108389
2023-03-01,28,"inc_1_1",0.00730121465304401
2023-03-01,28,"inc_2_1",0.0495175799441524
2023-03-01,28,"inc_3_1",0.247122442029743
2023-03-01,28,"inc_4_1",0.0417287026342819
