"date","age_col","age_group","t","weekly_reported","lag_weekly","log_growth"
2022-09-10,"inc_1_1","[0,5)",1,0.263002617821815,NA,0.233491916067564
2022-09-10,"inc_2_1","[5,18)",1,2.21199466598553,NA,1.16689213543106
2022-09-10,"inc_3_1","[18,65)",1,3.57139268452721,NA,1.51981790345393
2022-09-10,"inc_4_1","65+",1,0.402287452949293,NA,0.338104798230794
2022-09-17,"inc_1_1","[0,5)",2,0.839329435921382,0.263002617821815,0.37590915213078
2022-09-17,"inc_2_1","[5,18)",2,9.78649383241693,2.21199466598553,1.21140264501006
2022-09-17,"inc_3_1","[18,65)",2,9.33769285302465,3.57139268452721,0.815978812395353
2022-09-17,"inc_4_1","65+",2,1.02019994656577,0.402287452949293,0.365091691732181
2022-09-24,"inc_1_1","[0,5)",3,2.71547627029954,0.839329435921382,0.703105803719093
2022-09-24,"inc_2_1","[5,18)",3,34.5142638948123,9.78649383241693,1.19163963519417
2022-09-24,"inc_3_1","[18,65)",3,29.4672152609235,9.33769285302465,1.08085448015665
2022-09-24,"inc_4_1","65+",3,3.1691547264064,1.02019994656577,0.72451682180094
2022-10-01,"inc_1_1","[0,5)",4,9.02339862518995,2.71547627029954,0.992415350380035
2022-10-01,"inc_2_1","[5,18)",4,115.875016718636,34.5142638948123,1.1911707150207
2022-10-01,"inc_3_1","[18,65)",4,98.1649757710468,29.4672152609235,1.18013368911801
2022-10-01,"inc_4_1","65+",4,10.5438192424465,3.1691547264064,1.01843685144634
2022-10-08,"inc_1_1","[0,5)",5,28.5409010692154,9.02339862518995,1.08085355769922
2022-10-08,"inc_2_1","[5,18)",5,358.299038012519,115.875016718636,1.12304988606641
2022-10-08,"inc_3_1","[18,65)",5,314.869822357435,98.1649757710468,1.1585452890213
2022-10-08,"inc_4_1","65+",5,34.0333055741312,10.5438192424465,1.1101490336388
2022-10-15,"inc_1_1","[0,5)",6,61.0638859013005,28.5409010692154,0.742388492295329
2022-10-15,"inc_2_1","[5,18)",6,599.87135102536,358.299038012519,0.514225836705008
2022-10-15,"inc_3_1","[18,65)",6,748.290471918267,314.869822357435,0.863796547166955
2022-10-15,"inc_4_1","65+",6,82.8463050644434,34.0333055741312,0.872686224431855
2022-10-22,"inc_1_1","[0,5)",7,60.2178015502802,61.0638859013005,-0.0137262500650976
2022-10-22,"inc_2_1","[5,18)",7,388.300594450199,599.87135102536,-0.434029071840163
2022-10-22,"inc_3_1","[18,65)",7,880.241929101777,748.290471918267,0.162205474306277
2022-10-22,"inc_4_1","65+",7,104.531713091885,82.8463050644434,0.230026084492022
2022-10-29,"inc_1_1","[0,5)",8,57.7631190197532,60.2178015502802,-0.0409235916670587
2022-10-29,"inc_2_1","[5,18)",8,385.304863668842,388.300594450199,-0.00772492160119739
2022-10-29,"inc_3_1","[18,65)",8,873.30765272411,880.241929101777,-0.0078998764971423
2022-10-29,"inc_4_1","65+",8,108.182625564259,104.531713091885,0.0340104383246766
2022-11-05,"inc_1_1","[0,5)",9,79.2508465944799,57.7631190197532,0.311642880858537
2022-11-05,"inc_2_1","[5,18)",9,724.765829171919,385.304863668842,0.630600553458547
2022-11-05,"inc_3_1","[18,65)",9,1090.47230187139,873.30765272411,0.221850480340907
2022-11-05,"inc_4_1","65+",9,134.19252132855,108.182625564259,0.213677902364051
2022-11-12,"inc_1_1","[0,5)",10,89.4753856738328,79.2508465944799,0.11992052078919
2022-11-12,"inc_2_1","[5,18)",10,812.552489028363,724.765829171919,0.114183033601808
2022-11-12,"inc_3_1","[18,65)",10,1328.12252001668,1090.47230187139,0.19699144463061
2022-11-12,"inc_4_1","65+",10,167.902707704109,134.19252132855,0.222623008627433
2022-11-19,"inc_1_1","[0,5)",11,78.8717336588391,89.4753856738328,-0.124655813506117
2022-11-19,"inc_2_1","[5,18)",11,642.975652300567,812.552489028363,-0.233749528643445
2022-11-19,"inc_3_1","[18,65)",11,1303.96441810969,1328.12252001668,-0.0183431905240974
2022-11-19,"inc_4_1","65+",11,172.911615920218,167.902707704109,0.0292243605913504
2022-11-26,"inc_1_1","[0,5)",12,67.737887434126,78.8717336588391,-0.150121480453153
2022-11-26,"inc_2_1","[5,18)",12,469.24203543049,642.975652300567,-0.31441338724884
2022-11-26,"inc_3_1","[18,65)",12,1282.40710109516,1303.96441810969,-0.0166574352341671
2022-11-26,"inc_4_1","65+",12,186.422100641714,172.911615920218,0.0748160801570611
2022-12-03,"inc_1_1","[0,5)",13,59.2206684578331,67.737887434126,-0.132284914993423
2022-12-03,"inc_2_1","[5,18)",13,356.860357306649,469.24203543049,-0.273104684237175
2022-12-03,"inc_3_1","[18,65)",13,1279.61120262181,1282.40710109516,-0.00218087334045603
2022-12-03,"inc_4_1","65+",13,201.031361348267,186.422100641714,0.0750596437123526
2022-12-10,"inc_1_1","[0,5)",14,42.7043220142762,59.2206684578331,-0.320568624115313
2022-12-10,"inc_2_1","[5,18)",14,238.529254051982,356.860357306649,-0.401467291170397
2022-12-10,"inc_3_1","[18,65)",14,1022.24841892302,1279.61120262181,-0.224355174774997
2022-12-10,"inc_4_1","65+",14,168.651955676171,201.031361348267,-0.174673920675061
2022-12-17,"inc_1_1","[0,5)",15,31.9048587253104,42.7043220142762,-0.283826670651742
2022-12-17,"inc_2_1","[5,18)",15,140.409726012439,238.529254051982,-0.527014020968942
2022-12-17,"inc_3_1","[18,65)",15,707.186594365749,1022.24841892302,-0.368029959884917
2022-12-17,"inc_4_1","65+",15,125.994767535861,168.651955676171,-0.289603133770005
2022-12-24,"inc_1_1","[0,5)",16,21.0026730192926,31.9048587253104,-0.402456381633229
2022-12-24,"inc_2_1","[5,18)",16,81.525484395197,140.409726012439,-0.538554387377327
2022-12-24,"inc_3_1","[18,65)",16,448.030152494784,707.186594365749,-0.455617570069936
2022-12-24,"inc_4_1","65+",16,84.5602586946554,125.994767535861,-0.394924977348461
2022-12-31,"inc_1_1","[0,5)",17,12.4295056157407,21.0026730192926,-0.493709748929978
2022-12-31,"inc_2_1","[5,18)",17,48.8014184817071,81.525484395197,-0.505063680206899
2022-12-31,"inc_3_1","[18,65)",17,276.824914983961,448.030152494784,-0.480098927198331
2022-12-31,"inc_4_1","65+",17,53.3746529956764,84.5602586946554,-0.453322800056556
2023-01-07,"inc_1_1","[0,5)",18,5.43178061784336,12.4295056157407,-0.736202774552026
2023-01-07,"inc_2_1","[5,18)",18,25.6741245810128,48.8014184817071,-0.624349488500487
2023-01-07,"inc_3_1","[18,65)",18,140.5522154477,276.824914983961,-0.67432245028682
2023-01-07,"inc_4_1","65+",18,25.5267766608575,53.3746529956764,-0.717743444826147
2023-01-14,"inc_1_1","[0,5)",19,2.18515494210151,5.43178061784336,-0.702750488090131
2023-01-14,"inc_2_1","[5,18)",19,12.0954708586557,25.6741245810128,-0.711427544246727
2023-01-14,"inc_3_1","[18,65)",19,63.7979494510896,140.5522154477,-0.781394704194896
2023-01-14,"inc_4_1","65+",19,11.0208278693516,25.5267766608575,-0.7915138618162
2023-01-21,"inc_1_1","[0,5)",20,1.02761539693089,2.18515494210151,-0.451640514022494
2023-01-21,"inc_2_1","[5,18)",20,5.80499181027087,12.0954708586557,-0.65461000183047
2023-01-21,"inc_3_1","[18,65)",20,30.4992846071557,63.7979494510896,-0.721309123894486
2023-01-21,"inc_4_1","65+",20,5.26553048478995,11.0208278693516,-0.65157754194611
2023-01-28,"inc_1_1","[0,5)",21,0.487168912825792,1.02761539693089,-0.309986167209772
2023-01-28,"inc_2_1","[5,18)",21,2.77732473114589,5.80499181027087,-0.58864041663566
2023-01-28,"inc_3_1","[18,65)",21,14.5690158740384,30.4992846071557,-0.704682057390049
2023-01-28,"inc_4_1","65+",21,2.51537510038373,5.26553048478995,-0.577917025350572
2023-02-04,"inc_1_1","[0,5)",22,0.231811413126718,0.487168912825792,-0.188388474416653
2023-02-04,"inc_2_1","[5,18)",22,1.32699212342221,2.77732473114589,-0.484439516529286
2023-02-04,"inc_3_1","[18,65)",22,6.95677922931062,14.5690158740384,-0.671258478757274
2023-02-04,"inc_4_1","65+",22,1.20129298786475,2.51537510038373,-0.468101324280563
2023-02-11,"inc_1_1","[0,5)",23,0.110491147281311,0.231811413126718,-0.103683387144321
2023-02-11,"inc_2_1","[5,18)",23,0.633665831160359,1.32699212342221,-0.353750033621675
2023-02-11,"inc_3_1","[18,65)",23,3.32129689390589,6.95677922931062,-0.610468734416824
2023-02-11,"inc_4_1","65+",23,0.57359530098206,1.20129298786475,-0.335681907549745
2023-02-18,"inc_1_1","[0,5)",24,0.0527058453731355,0.110491147281311,-0.0534385474859665
2023-02-18,"inc_2_1","[5,18)",24,0.302515064304974,0.633665831160359,-0.226529405565366
2023-02-18,"inc_3_1","[18,65)",24,1.58550740257218,3.32129689390589,-0.513633788165066
2023-02-18,"inc_4_1","65+",24,0.273844450623466,0.57359530098206,-0.211323547506705
2023-02-25,"inc_1_1","[0,5)",25,0.0197467336424859,0.0527058453731355,-0.0318095488892361
2023-02-25,"inc_2_1","[5,18)",25,0.113378305808362,0.302515064304974,-0.156898148320389
2023-02-25,"inc_3_1","[18,65)",25,0.594221232091729,1.58550740257218,-0.483536414701235
2023-02-25,"inc_4_1","65+",25,0.102637163834256,0.273844450623466,-0.144334722182306
