date,Week,Influenza A not subtyped,Influenza A H1N1pdm09,Influenza A H3N2,Influenza B,Percentage testing positive for overall influenza,Year
2009-04-27,18,20,29,2,3,4.7,2009
2009-05-04,19,10,42,0,2,7,2009
2009-05-11,20,13,34,2,0,8.6,2009
2009-05-18,21,7,77,0,0,13.7,2009
2009-05-25,22,7,128,0,0,19.9,2009
2009-06-01,23,17,150,1,1,12.9,2009
2009-06-08,24,21,550,0,1,22.2,2009
2009-06-15,25,46,1680,0,2,27.2,2009
2009-06-22,26,68,3705,0,1,35.8,2009
2009-06-29,27,48,2098,0,0,28.3,2009
2009-07-06,28,17,627,0,1,22.5,2009
2009-07-13,29,10,664,1,0,17.5,2009
2009-07-20,30,16,577,1,0,15.5,2009
2009-07-27,31,8,315,0,0,11.1,2009
2009-08-03,32,2,200,0,0,9.6,2009
2009-08-10,33,3,105,1,0,7.7,2009
2009-08-17,34,2,86,0,0,8.3,2009
2009-08-24,35,6,78,0,0,9.2,2009
2009-08-31,36,2,56,0,0,7.9,2009
2009-09-07,37,2,99,0,0,10.7,2009
2009-09-14,38,6,126,0,0,12,2009
2009-09-21,39,16,190,1,0,14.1,2009
2009-09-28,40,26,250,0,0,18.2,2009
2009-10-05,41,25,372,0,0,22.9,2009
2009-10-12,42,26,725,0,0,33.7,2009
2009-10-19,43,34,952,0,0,34.8,2009
2009-10-26,44,34,1164,0,0,36,2009
2009-11-02,45,36,876,0,0,30,2009
2009-11-09,46,34,819,0,0,24.7,2009
2009-11-16,47,28,909,0,0,23.1,2009
2009-11-23,48,38,714,0,0,20.7,2009
2009-11-30,49,34,510,0,0,17.3,2009
2009-12-07,50,47,376,0,0,14.7,2009
2009-12-14,51,39,301,3,1,13.2,2009
2009-12-21,52,63,275,0,0,15.3,2009
2010-01-04,1,1,161,0,0,9.4,2010
2010-01-11,2,2,112,0,0,7.4,2010
2010-01-18,3,2,59,0,2,5.1,2010
2010-01-25,4,1,48,0,2,4.8,2010
2010-02-01,5,0,39,0,2,3.9,2010
2010-02-08,6,0,37,0,1,3.8,2010
2010-02-15,7,1,20,0,2,2.7,2010
2010-02-22,8,0,17,0,2,2.2,2010
2010-03-01,9,0,7,0,3,1.5,2010
2010-03-08,10,0,12,0,5,2.6,2010
2010-03-15,11,0,15,0,4,2.9,2010
2010-03-22,12,0,15,0,5,3.4,2010
2010-03-29,13,0,7,0,4,2.2,2010
2010-04-05,14,0,3,0,5,1.9,2010
2010-04-12,15,0,1,0,4,1,2010
2010-04-19,16,0,5,0,1,1.4,2010
2010-04-26,17,0,2,0,1,0.7,2010
2010-05-03,18,0,1,0,1,0.6,2010
2010-05-10,19,0,1,0,0,0.2,2010
