Date,Week number,Season,Rate
3 October 2016,40,2016 to 2017,0.0
10 October 2016,41,2016 to 2017,0.0
17 October 2016,42,2016 to 2017,0.1
24 October 2016,43,2016 to 2017,0.0
31 October 2016,44,2016 to 2017,0.0
7 November 2016,45,2016 to 2017,0.0
14 November 2016,46,2016 to 2017,0.0
21 November 2016,47,2016 to 2017,0.3
28 November 2016,48,2016 to 2017,0.6
5 December 2016,49,2016 to 2017,0.4
12 December 2016,50,2016 to 2017,0.8
19 December 2016,51,2016 to 2017,1.6
26 December 2016,52,2016 to 2017,2.0
2 January 2017,1,2016 to 2017,2.3
9 January 2017,2,2016 to 2017,2.4
16 January 2017,3,2016 to 2017,2.1
23 January 2017,4,2016 to 2017,2.4
30 January 2017,5,2016 to 2017,2.6
6 February 2017,6,2016 to 2017,1.7
13 February 2017,7,2016 to 2017,1.8
20 February 2017,8,2016 to 2017,1.5
27 February 2017,9,2016 to 2017,0.6
6 March 2017,10,2016 to 2017,0.5
13 March 2017,11,2016 to 2017,0.2
20 March 2017,12,2016 to 2017,0.1
27 March 2017,13,2016 to 2017,0.2
3 April 2017,14,2016 to 2017,0.1
10 April 2017,15,2016 to 2017,0.1
17 April 2017,16,2016 to 2017,0.1
24 April 2017,17,2016 to 2017,0.1
1 May 2017,18,2016 to 2017,0.1
8 May 2017,19,2016 to 2017,0.1
15 May 2017,20,2016 to 2017,0.1
2 October 2017,40,2017 to 2018,0.1
9 October 2017,41,2017 to 2018,0.1
16 October 2017,42,2017 to 2018,0.1
23 October 2017,43,2017 to 2018,0.1
30 October 2017,44,2017 to 2018,0.0
6 November 2017,45,2017 to 2018,0.1
13 November 2017,46,2017 to 2018,0.2
20 November 2017,47,2017 to 2018,0.3
27 November 2017,48,2017 to 2018,0.5
4 December 2017,49,2017 to 2018,0.8
11 December 2017,50,2017 to 2018,1.3
18 December 2017,51,2017 to 2018,2.9
25 December 2017,52,2017 to 2018,5.1
1 January 2018,1,2017 to 2018,6.3
8 January 2018,2,2017 to 2018,7.9
15 January 2018,3,2017 to 2018,7.0
22 January 2018,4,2017 to 2018,6.8
29 January 2018,5,2017 to 2018,5.6
5 February 2018,6,2017 to 2018,5.5
12 February 2018,7,2017 to 2018,6.2
19 February 2018,8,2017 to 2018,6.2
26 February 2018,9,2017 to 2018,4.2
5 March 2018,10,2017 to 2018,3.8
12 March 2018,11,2017 to 2018,3.3
19 March 2018,12,2017 to 2018,2.9
26 March 2018,13,2017 to 2018,2.5
2 April 2018,14,2017 to 2018,2.1
9 April 2018,15,2017 to 2018,1.0
16 April 2018,16,2017 to 2018,0.6
23 April 2018,17,2017 to 2018,0.3
30 April 2018,18,2017 to 2018,0.1
7 May 2018,19,2017 to 2018,0.1
14 May 2018,20,2017 to 2018,0.1
1 October 2018,40,2018 to 2019,0.0
8 October 2018,41,2018 to 2019,0.1
15 October 2018,42,2018 to 2019,0.0
22 October 2018,43,2018 to 2019,0.1
29 October 2018,44,2018 to 2019,0.1
5 November 2018,45,2018 to 2019,0.2
12 November 2018,46,2018 to 2019,0.2
19 November 2018,47,2018 to 2019,0.2
26 November 2018,48,2018 to 2019,0.3
3 December 2018,49,2018 to 2019,0.5
10 December 2018,50,2018 to 2019,0.7
17 December 2018,51,2018 to 2019,1.0
24 December 2018,52,2018 to 2019,2.1
31 December 2018,1,2018 to 2019,3.2
7 January 2019,2,2018 to 2019,4.3
14 January 2019,3,2018 to 2019,4.5
21 January 2019,4,2018 to 2019,5.3
28 January 2019,5,2018 to 2019,5.4
4 February 2019,6,2018 to 2019,6.1
11 February 2019,7,2018 to 2019,5.3
18 February 2019,8,2018 to 2019,3.7
25 February 2019,9,2018 to 2019,1.9
4 March 2019,10,2018 to 2019,1.4
11 March 2019,11,2018 to 2019,1.3
18 March 2019,12,2018 to 2019,1.0
25 March 2019,13,2018 to 2019,0.9
1 April 2019,14,2018 to 2019,0.8
8 April 2019,15,2018 to 2019,0.6
15 April 2019,16,2018 to 2019,0.6
22 April 2019,17,2018 to 2019,0.7
29 April 2019,18,2018 to 2019,0.2
6 May 2019,19,2018 to 2019,0.2
13 May 2019,20,2018 to 2019,0.2
3 October 2022,40,2022 to 2023,0.7
10 October 2022,41,2022 to 2023,1.0
17 October 2022,42,2022 to 2023,1.1
24 October 2022,43,2022 to 2023,1.2
31 October 2022,44,2022 to 2023,1.4
7 November 2022,45,2022 to 2023,1.7
14 November 2022,46,2022 to 2023,2.6
21 November 2022,47,2022 to 2023,3.2
28 November 2022,48,2022 to 2023,4.8
5 December 2022,49,2022 to 2023,8.4
12 December 2022,50,2022 to 2023,12.7
19 December 2022,51,2022 to 2023,18.1
26 December 2022,52,2022 to 2023,12.7
2 January 2023,1,2022 to 2023,8.0
9 January 2023,2,2022 to 2023,3.7
16 January 2023,3,2022 to 2023,1.7
23 January 2023,4,2022 to 2023,1.6
30 January 2023,5,2022 to 2023,1.4
