Date,number_of_influenza_samples,age_group
2025-10-27,0.21,less than 5
2025-10-20,3.382,less than 5
2025-10-13,3.382,less than 5
2025-10-13,2.324,less than 5
2025-10-06,2.324,less than 5
2025-10-06,6.289,less than 5
2025-09-29,6.289,less than 5
2025-09-22,7.347,less than 5
2025-09-15,8.404,less than 5
2025-09-08,16.334,less than 5
2025-09-01,7.347,less than 5
2025-08-25,5.232,less than 5
2025-08-18,2.324,less than 5
2025-08-11,0.21,less than 5
2025-08-04,0.21,less than 5
2025-07-28,0.21,less than 5
2025-07-21,2.324,less than 5
2025-07-14,0.21,less than 5
2025-07-07,0.21,less than 5
2025-06-30,0.21,less than 5
2025-06-23,1.267,less than 5
2025-06-16,0.21,less than 5
2025-06-09,0.21,less than 5
2025-06-02,1.267,less than 5
2023-11-20,0.21,less than 5
2023-10-16,0.21,less than 5
2023-10-09,0.21,less than 5
2023-10-02,0.21,less than 5
2023-07-31,0.21,less than 5
2023-07-24,0.21,less than 5
2023-06-26,0.21,less than 5
2023-06-19,0.21,less than 5
2023-06-12,0.21,less than 5
2023-06-05,0.21,less than 5
2023-05-29,0.21,less than 5
2023-05-29,2.324,less than 5
2023-05-22,2.324,less than 5
2023-05-15,0.21,less than 5
2023-05-08,0.21,less than 5
2023-05-01,0.21,less than 5
2023-04-24,0.21,less than 5
2023-04-17,0.21,less than 5
2023-04-10,0.21,less than 5
2023-02-20,0.21,less than 5
2023-02-13,0.21,less than 5
2023-01-09,0.21,less than 5
2023-01-02,0.21,less than 5
2022-11-28,1.267,less than 5
2022-11-21,1.267,less than 5
2022-11-21,0.21,less than 5
2022-11-14,0.21,less than 5
2022-11-14,1.267,less than 5
2022-11-07,1.267,less than 5
2022-11-07,3.382,less than 5
2022-10-31,3.382,less than 5
2022-10-31,5.232,less than 5
2022-10-24,5.232,less than 5
2022-10-24,3.382,less than 5
2022-10-17,3.382,less than 5
2022-10-17,7.347,less than 5
2022-10-10,7.347,less than 5
2022-10-10,3.382,less than 5
2022-10-03,3.382,less than 5
2022-09-26,3.382,less than 5
2022-09-26,30.344,less than 5
2022-09-19,30.344,less than 5
2022-09-19,24.265,less than 5
2022-09-12,24.265,less than 5
