Date,Week number,Up to 5 years,5 to 14 years,15 to 44 years,45 to 64 years,65 to 79 years,80 years and above
1 July 2024,27,0.5,0.0,1.8,0.5,0.6,0.3
8 July 2024,28,1.0,1.7,2.2,1.0,0.8,0.9
15 July 2024,29,1.6,0.8,3.1,1.0,0.6,0.6
22 July 2024,30,0.7,0.3,2.1,0.9,1.0,1.1
29 July 2024,31,0.9,0.0,2.7,1.1,0.8,1.3
5 August 2024,32,0.9,0.9,1.0,0.7,0.7,1.2
12 August 2024,33,0.7,3.1,1.9,1.9,0.9,1.1
19 August 2024,34,1.4,1.5,2.0,1.4,0.3,0.3
26 August 2024,35,0.4,2.5,1.7,1.0,0.5,0.5
2 September 2024,36,1.2,1.5,1.7,1.1,0.3,0.7
9 September 2024,37,0.7,2.5,2.2,1.4,0.5,0.6
16 September 2024,38,1.2,1.4,3.5,1.0,0.6,0.2
23 September 2024,39,1.6,1.9,2.5,0.9,0.3,1.7
30 September 2024,40,3.0,3.3,2.6,0.7,1.2,1.7
7 October 2024,41,3.6,2.9,2.6,1.9,2.1,2.1
14 October 2024,42,1.9,4.0,3.6,2.0,1.8,1.1
21 October 2024,43,3.2,7.2,5.3,3.0,1.8,1.7
28 October 2024,44,2.8,6.2,3.9,2.9,1.9,1.8
4 November 2024,45,2.2,8.2,4.2,3.1,1.7,2.0
11 November 2024,46,4.5,10.2,6.5,3.9,2.8,3.0
18 November 2024,47,6.3,11.0,10.9,7.8,5.3,4.7
25 November 2024,48,7.9,18.1,15.1,11.8,7.5,8.8
2 December 2024,49,12.6,23.0,20.0,16.5,11.8,12.1
9 December 2024,50,18.5,28.8,25.7,20.6,13.2,15.7
16 December 2024,51,25.0,32.6,29.6,22.5,17.9,16.1
23 December 2024,52,28.9,37.2,35.8,28.1,21.4,23.6
30 December 2024,1,25.7,30.3,28.8,24.6,20.1,20.3
6 January 2025,2,19.2,25.6,20.2,19.9,15.5,16.2
13 January 2025,3,20.0,25.7,22.6,14.5,11.4,11.8
20 January 2025,4,18.6,22.1,21.6,11.8,9.9,10.4
27 January 2025,5,16.6,25.3,20.1,11.5,9.2,8.6
3 February 2025,6,12.5,22.6,20.3,10.8,6.4,7.6
10 February 2025,7,12.9,16.7,20.4,8.8,5.9,6.9
17 February 2025,8,9.6,19.3,22.8,7.7,5.2,6.5
24 February 2025,9,8.9,15.5,19.8,7.0,6.0,4.5
3 March 2025,10,7.5,14.0,16.7,4.2,2.8,4.1
10 March 2025,11,9.4,12.8,14.2,5.5,4.2,4.3
17 March 2025,12,5.9,10.6,13.9,4.3,4.6,4.8
24 March 2025,13,6.0,12.5,14.1,4.3,3.3,4.3
31 March 2025,14,4.0,7.0,10.6,4.6,3.4,2.8
7 April 2025,15,3.6,5.4,9.2,2.9,2.8,2.3
14 April 2025,16,2.7,3.9,5.8,2.3,2.8,2.4
21 April 2025,17,1.9,2.1,5.2,1.6,1.6,1.1
28 April 2025,18,1.2,2.6,3.7,0.9,1.5,1.2
5 May 2025,19,0.9,1.1,3.7,1.7,1.4,1.6
12 May 2025,20,0.4,0.4,1.9,1.1,1.1,2.5
19 May 2025,21,0.6,1.7,1.5,1.5,1.1,1.6
26 May 2025,22,0.6,0.5,1.6,1.0,0.8,1.3
2 June 2025,23,0.2,1.4,1.6,0.3,0.7,0.8
9 June 2025,24,1.0,1.2,1.5,0.7,0.3,0.3
16 June 2025,25,0.8,0.0,0.9,1.0,0.9,0.5
23 June 2025,26,0.5,0.4,0.9,1.4,1.3,0.8
30 June 2025,27,0.9,0.5,0.9,0.7,0.5,0.0
7 July 2025,28,0.9,0.0,0.8,1.1,0.4,0.0
14 July 2025,29,0.2,0.0,1.1,0.7,1.1,0.2
21 July 2025,30,0.5,1.6,1.8,0.4,0.6,0.7
28 July 2025,31,0.8,0.6,0.7,0.3,0.1,1.0
4 August 2025,32,0.5,1.3,1.6,0.8,0.9,1.1
11 August 2025,33,0.5,1.4,1.3,0.3,0.4,0.5
18 August 2025,34,0.3,0.7,1.2,1.4,1.4,1.1
25 August 2025,35,2.1,2.2,1.4,2.5,1.1,1.2
1 September 2025,36,0.9,2.3,1.4,1.3,0.8,0.4
8 September 2025,37,0.4,3.1,1.6,1.2,1.1,0.4
15 September 2025,38,0.6,2.5,2.8,1.2,1.3,0.3
22 September 2025,39,2.7,3.1,7.2,1.2,0.9,1.4
29 September 2025,40,3.2,4.9,11.0,3.1,2.3,3.7
6 October 2025,41,6.1,10.5,11.7,5.4,4.2,4.6
13 October 2025,42,8.0,21.2,11.0,4.7,4.8,4.9
20 October 2025,43,10.6,30.2,14.0,4.9,5.3,6.2
27 October 2025,44,15.3,30.4,18.4,8.2,7.0,6.3
